omics,layer,node_index,importance,mapped_name,overall_position
SNV,input,0,0.3090586,A2M,
SNV,input,1,0.07859927,AAAS,
SNV,input,2,0.2494533,ABCA1,
SNV,input,3,0.486444,ABCA12,
SNV,input,4,0.5626674,ABCA13,
SNV,input,5,0.2752469,ABCA2,
SNV,input,6,0.16833514,ABCA3,
SNV,input,7,0.35351396,ABCA5,
SNV,input,8,0.35366997,ABCA6,
SNV,input,9,0.32606032,ABCA7,
SNV,input,10,0.31979522,ABCA9,
SNV,input,11,0.31074947,ABCB4,
SNV,input,12,0.12793021,ABCB6,
SNV,input,13,0.23448445,ABCB7,
SNV,input,14,0.2460413,ABCB8,
SNV,input,15,0.20333087,ABCC2,
SNV,input,16,0.23551558,ABCC3,
SNV,input,17,0.3276885,ABCC4,
SNV,input,18,0.2699706,ABCC5,
SNV,input,19,0.40202588,ABCC9,
SNV,input,20,0.039794005,ABCD1,
SNV,input,21,0.3119894,ABCD2,
SNV,input,22,0.12879524,ABCD3,
SNV,input,23,0.23987192,ABCD4,
SNV,input,24,0.1071625,ABCE1,
SNV,input,25,0.19201064,ABCF2,
SNV,input,26,0.13025887,ABCG1,
SNV,input,27,0.26391542,ABCG2,
SNV,input,28,0.28104398,ABCG4,
SNV,input,29,0.29768768,ABCG5,
SNV,input,30,0.28592283,ABCG8,
SNV,input,31,0.14404102,ABHD17B,
SNV,input,32,0.078599274,ABHD4,
SNV,input,33,0.11741656,ABI1,
SNV,input,34,0.10925636,ABI2,
SNV,input,35,0.21403629,ABL1,
SNV,input,36,0.34078804,ABL2,
SNV,input,37,0.21134442,ABLIM2,
SNV,input,38,0.25517595,ABLIM3,
SNV,input,39,0.18572639,ABR,
SNV,input,40,0.33658695,ACACB,
SNV,input,41,0.14080133,ACAD10,
SNV,input,42,0.24565333,ACAD11,
SNV,input,43,0.123635724,ACADL,
SNV,input,44,0.21341285,ACADM,
SNV,input,45,0.039794005,ACADS,
SNV,input,46,0.09133242,ACADSB,
SNV,input,47,0.07859927,ACADVL,
SNV,input,48,0.12383495,ACAT1,
SNV,input,49,0.15045203,ACBD4,
SNV,input,50,0.18150605,ACBD5,
SNV,input,51,0.039794005,ACBD6,
SNV,input,52,0.17605095,ACE2,
SNV,input,53,0.22624494,ACER2,
SNV,input,54,0.120686986,ACER3,
SNV,input,55,0.16091542,ACHE,
SNV,input,56,0.18331446,ACKR2,
SNV,input,57,0.21320103,ACKR3,
SNV,input,58,0.09286726,ACKR4,
SNV,input,59,0.09468998,ACLY,
SNV,input,60,0.09133242,ACMSD,
SNV,input,61,0.16155174,ACO2,
SNV,input,62,0.07859928,ACOT1,
SNV,input,63,0.10035452,ACOT11,
SNV,input,64,0.23268576,ACOT12,
SNV,input,65,0.07859927,ACOT13,
SNV,input,66,0.078599274,ACOT2,
SNV,input,67,0.23593318,ACOT4,
SNV,input,68,0.18022917,ACOT7,
SNV,input,69,0.10038803,ACOT9,
SNV,input,70,0.13753773,ACOX1,
SNV,input,71,0.17237052,ACOX2,
SNV,input,72,0.21123184,ACOX3,
SNV,input,73,0.24519932,ACOXL,
