omics,layer,node_index,importance,mapped_name,overall_position
SNV,input,0,0.26700157,A2M,
SNV,input,1,0.068011194,AAAS,
SNV,input,2,0.24137996,ABCA1,
SNV,input,3,0.4302822,ABCA12,
SNV,input,4,0.5655881,ABCA13,
SNV,input,5,0.2566696,ABCA2,
SNV,input,6,0.18146473,ABCA3,
SNV,input,7,0.33382934,ABCA5,
SNV,input,8,0.29016647,ABCA6,
SNV,input,9,0.3638981,ABCA7,
SNV,input,10,0.3009446,ABCA9,
SNV,input,11,0.35217732,ABCB4,
SNV,input,12,0.16387634,ABCB6,
SNV,input,13,0.25680625,ABCB7,
SNV,input,14,0.2409681,ABCB8,
SNV,input,15,0.17962396,ABCC2,
SNV,input,16,0.23714446,ABCC3,
SNV,input,17,0.31219485,ABCC4,
SNV,input,18,0.27626833,ABCC5,
SNV,input,19,0.35331038,ABCC9,
SNV,input,20,0.040214516,ABCD1,
SNV,input,21,0.24658611,ABCD2,
SNV,input,22,0.18615785,ABCD3,
SNV,input,23,0.17664382,ABCD4,
SNV,input,24,0.088324,ABCE1,
SNV,input,25,0.15172784,ABCF2,
SNV,input,26,0.12225488,ABCG1,
SNV,input,27,0.3067243,ABCG2,
SNV,input,28,0.21919046,ABCG4,
SNV,input,29,0.375127,ABCG5,
SNV,input,30,0.23548475,ABCG8,
SNV,input,31,0.12225488,ABHD17B,
SNV,input,32,0.15275723,ABHD4,
SNV,input,33,0.095789574,ABI1,
SNV,input,34,0.088324,ABI2,
SNV,input,35,0.19570191,ABL1,
SNV,input,36,0.3040388,ABL2,
SNV,input,37,0.15990098,ABLIM2,
SNV,input,38,0.29229116,ABLIM3,
SNV,input,39,0.22835995,ABR,
SNV,input,40,0.3702627,ACACB,
SNV,input,41,0.12713599,ACAD10,
SNV,input,42,0.21125783,ACAD11,
SNV,input,43,0.15206666,ACADL,
SNV,input,44,0.17666702,ACADM,
SNV,input,45,0.040214516,ACADS,
SNV,input,46,0.08574076,ACADSB,
SNV,input,47,0.21932283,ACADVL,
SNV,input,48,0.09612708,ACAT1,
SNV,input,49,0.123122275,ACBD4,
SNV,input,50,0.1634638,ACBD5,
SNV,input,51,0.040214516,ACBD6,
SNV,input,52,0.24813797,ACE2,
SNV,input,53,0.18813947,ACER2,
SNV,input,54,0.09612707,ACER3,
SNV,input,55,0.10933715,ACHE,
SNV,input,56,0.2282889,ACKR2,
SNV,input,57,0.29018152,ACKR3,
SNV,input,58,0.08703238,ACKR4,
SNV,input,59,0.0680112,ACLY,
SNV,input,60,0.08574077,ACMSD,
SNV,input,61,0.18807693,ACO2,
SNV,input,62,0.0680112,ACOT1,
SNV,input,63,0.076525144,ACOT11,
SNV,input,64,0.26832107,ACOT12,
SNV,input,65,0.0680112,ACOT13,
SNV,input,66,0.068011194,ACOT2,
SNV,input,67,0.16266973,ACOT4,
SNV,input,68,0.28134006,ACOT7,
SNV,input,69,0.08574076,ACOT9,
SNV,input,70,0.12200269,ACOX1,
SNV,input,71,0.13303828,ACOX2,
SNV,input,72,0.1716867,ACOX3,
SNV,input,73,0.28636372,ACOXL,
SNV,input,74,0.3069924,ACP3,
SNV,input,75,0.088324,ACP6,
SNV,input,76,0.18501653,ACSBG2,
SNV,input,77,0.068011194,ACSF2,
SNV,input,78,0.15949908,ACSF3,
SNV,input,79,0.296775,ACSL1,
SNV,input,80,0.123122275,ACSL3,
SNV,input,81,0.21237092,ACSL4,
SNV,input,82,0.13530502,ACSL5,
SNV,input,83,0.2593042,ACSL6,
SNV,input,84,0.32102674,ACSM2A,
SNV,input,85,0.35400614,ACSM2B,
SNV,input,86,0.117663436,ACSM3,
SNV,input,87,0.10933715,ACSM4,
SNV,input,88,0.3220294,ACSM5,
SNV,input,89,0.16113965,ACSM6,
SNV,input,90,0.058503695,ACSS2,
SNV,input,91,0.21598361,ACSS3,
SNV,input,92,0.18132694,ACTB,
SNV,input,93,0.23107481,ACTC1,
SNV,input,94,0.17646272,ACTG1,
SNV,input,95,0.2024806,ACTG2,
SNV,input,96,0.19137661,ACTL6A,
SNV,input,97,0.11106124,ACTL6B,
SNV,input,98,0.19070186,ACTN1,
SNV,input,99,0.52941793,ACTN2,
SNV,input,100,0.15382357,ACTN3,
SNV,input,101,0.13879131,ACTN4,
SNV,input,102,0.040214516,ACTR10,
SNV,input,103,0.1017021,ACTR1A,
SNV,input,104,0.115243144,ACTR1B,
SNV,input,105,0.058503695,ACTR2,
SNV,input,106,0.09612707,ACTR3,
SNV,input,107,0.11766343,ACTR5,
SNV,input,108,0.16432132,ACTR8,
SNV,input,109,0.22708492,ACVR1C,
SNV,input,110,0.27598122,ACVR2A,
SNV,input,111,0.13303828,ACVR2B,
SNV,input,112,0.226144,ACVRL1,
SNV,input,113,0.1839173,ACY1,
SNV,input,114,0.14942655,ACY3,
SNV,input,115,0.21606423,ADAL,
SNV,input,116,0.17965901,ADAM10,
SNV,input,117,0.10354641,ADAM15,
SNV,input,118,0.13344851,ADAM17,
SNV,input,119,0.45306093,ADAM19,
SNV,input,120,0.221306,ADAM20,
SNV,input,121,0.17931965,ADAM21,
SNV,input,122,0.24839692,ADAM22,
SNV,input,123,0.3627784,ADAM23,
SNV,input,124,0.17179668,ADAM30,
SNV,input,125,0.288581,ADAM33,
SNV,input,126,0.17983186,ADAM8,
SNV,input,127,0.123122275,ADAM9,
SNV,input,128,0.15427972,ADAMTS10,
SNV,input,129,0.6315376,ADAMTS12,
SNV,input,130,0.18991326,ADAMTS13,
SNV,input,131,0.29089883,ADAMTS14,
SNV,input,132,0.26548648,ADAMTS15,
SNV,input,133,0.4809807,ADAMTS16,
SNV,input,134,0.32611948,ADAMTS17,
SNV,input,135,0.34716293,ADAMTS18,
SNV,input,136,0.34008086,ADAMTS19,
SNV,input,137,0.43490842,ADAMTS2,
SNV,input,138,0.49848863,ADAMTS20,
SNV,input,139,0.32708395,ADAMTS3,
SNV,input,140,0.32014757,ADAMTS4,
SNV,input,141,0.36350265,ADAMTS5,
SNV,input,142,0.4284179,ADAMTS6,
SNV,input,143,0.2831534,ADAMTS7,
SNV,input,144,0.13464756,ADAMTS8,
SNV,input,145,0.38688734,ADAMTS9,
SNV,input,146,0.3797743,ADAMTSL1,
SNV,input,147,0.22640742,ADAMTSL2,
SNV,input,148,0.43687811,ADAMTSL3,
SNV,input,149,0.21560334,ADAMTSL4,
SNV,input,150,0.20973882,ADAMTSL5,
SNV,input,151,0.040214516,ADAP1,
SNV,input,152,0.23757246,ADAR,
SNV,input,153,0.25861666,ADARB1,
SNV,input,154,0.310259,ADCY1,
SNV,input,155,0.4198536,ADCY2,
SNV,input,156,0.13943192,ADCY3,
SNV,input,157,0.20740658,ADCY4,
SNV,input,158,0.33824205,ADCY5,
SNV,input,159,0.20060745,ADCY6,
SNV,input,160,0.1855463,ADCY7,
SNV,input,161,0.40479508,ADCY8,
SNV,input,162,0.19530836,ADCY9,
SNV,input,163,0.1828905,ADCYAP1,
SNV,input,164,0.23606667,ADCYAP1R1,
SNV,input,165,0.1404342,ADD1,
SNV,input,166,0.18435353,ADD2,
SNV,input,167,0.2766682,ADD3,
SNV,input,168,0.33529687,ADGRE1,
SNV,input,169,0.3443405,ADGRE2,
SNV,input,170,0.20871074,ADGRE3,
SNV,input,171,0.20274562,ADGRE5,
SNV,input,172,0.18902376,ADGRF5,
