id,name,layer,omics,importance
CNV_layer_1_610,R-HSA-198323,layer_1,CNV,13.475426
CNV_layer_2_353,R-HSA-9012852,layer_2,CNV,5.0235596
CNV_layer_1_86,R-HSA-70221,layer_1,CNV,3.8938522
CNV_layer_3_17,R-HSA-73884,layer_3,CNV,2.8931248
CNV_layer_1_203,R-HSA-9824594,layer_1,CNV,2.6601214
CNV_layer_1_695,R-HSA-2468052,layer_1,CNV,2.4014041
CNV_layer_2_45,R-HSA-194138,layer_2,CNV,2.3717237
CNV_layer_2_42,R-HSA-177929,layer_2,CNV,2.1774814
CNV_layer_1_26,R-HSA-1369062,layer_1,CNV,1.9433588
CNV_layer_1_77,R-HSA-2197563,layer_1,CNV,1.8195701
CNV_layer_2_41,R-HSA-166520,layer_2,CNV,1.8046869
CNV_layer_3_131,R-HSA-927802,layer_3,CNV,1.7979919
CNV_layer_2_110,R-HSA-450385,layer_2,CNV,1.7040555
CNV_layer_1_73,R-HSA-3371453,layer_1,CNV,1.565146
CNV_layer_2_38,R-HSA-1227986,layer_2,CNV,1.4964192
CNV_layer_1_80,R-HSA-5620922,layer_1,CNV,1.4819943
CNV_layer_2_26,R-HSA-70268,layer_2,CNV,1.3737468
CNV_layer_1_32,R-HSA-9639288,layer_1,CNV,1.3152801
CNV_layer_1_82,R-HSA-5624958,layer_1,CNV,1.3118781
CNV_layer_2_16,R-HSA-5387390,layer_2,CNV,1.1710515
CNV_input_681,AUTS2,input,CNV,1.064971
CNV_input_9522,ZNF224,input,CNV,1.0550985
CNV_input_8804,TOMM40,input,CNV,1.0246193
CNV_input_430,APOE,input,CNV,1.0246193
CNV_input_425,APOC1,input,CNV,1.0246193
CNV_input_426,APOC2,input,CNV,1.0167762
CNV_input_428,APOC4,input,CNV,1.0167762
CNV_input_7130,RELB,input,CNV,1.0130705
CNV_input_5287,NECTIN2,input,CNV,1.0039284
CNV_input_3006,GEMIN7,input,CNV,0.99597466
CNV_layer_3_38,R-HSA-74158,layer_3,CNV,0.95128125
CNV_layer_3_10,R-HSA-8949215,layer_3,CNV,0.8439629
CNV_layer_2_51,R-HSA-9842663,layer_2,CNV,0.6441947
CNV_layer_3_7,R-HSA-425407,layer_3,CNV,0.6441749
CNV_layer_2_294,R-HSA-199977,layer_2,CNV,0.62964386
CNV_layer_4_24,R-HSA-8963743,layer_4,CNV,0.61219525
CNV_layer_4_2,R-HSA-1266738,layer_4,CNV,0.5929075
CNV_layer_4_8,R-HSA-1640170,layer_4,CNV,0.5165892
CNV_layer_3_140,R-HSA-5683057,layer_3,CNV,0.4422543
CNV_layer_3_104,R-HSA-1592230,layer_3,CNV,0.39616957
CNV_layer_3_105,R-HSA-5617833,layer_3,CNV,0.367095
CNV_layer_3_5,R-HSA-174824,layer_3,CNV,0.29342607
CNV_layer_3_6,R-HSA-382556,layer_3,CNV,0.24848773
CNV_layer_4_25,R-HSA-9609507,layer_4,CNV,0.16101222
CNV_layer_4_27,R-HSA-9709957,layer_4,CNV,0.07968425
CNV_layer_4_0,R-HSA-109582,layer_4,CNV,0.0779866
CNV_layer_4_4,R-HSA-1474165,layer_4,CNV,0.065982044
CNV_layer_4_6,R-HSA-1500931,layer_4,CNV,0.050377313
CNV_layer_4_16,R-HSA-4839726,layer_4,CNV,0.04171879
CNV_layer_4_12,R-HSA-382551,layer_4,CNV,0.037069924
