Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
R-HSA-198323,CNV,layer_1,13.475426,R-HSA-166520,CNV,layer_2,13.475426
R-HSA-198323,CNV,layer_1,13.475426,R-HSA-450385,CNV,layer_2,13.475426
R-HSA-198323,CNV,layer_1,13.475426,R-HSA-5387390,CNV,layer_2,13.475426
R-HSA-198323,CNV,layer_1,13.475426,R-HSA-1227986,CNV,layer_2,13.475426
R-HSA-198323,CNV,layer_1,13.475426,R-HSA-70268,CNV,layer_2,13.475426
R-HSA-198323,CNV,layer_1,13.475426,R-HSA-199977,CNV,layer_2,13.475426
R-HSA-198323,CNV,layer_1,13.475426,R-HSA-177929,CNV,layer_2,13.475426
R-HSA-198323,CNV,layer_1,13.475426,R-HSA-9842663,CNV,layer_2,13.475426
R-HSA-198323,CNV,layer_1,13.475426,R-HSA-9012852,CNV,layer_2,13.475426
R-HSA-198323,CNV,layer_1,13.475426,R-HSA-194138,CNV,layer_2,13.475426
R-HSA-9012852,CNV,layer_2,5.0235596,R-HSA-174824,CNV,layer_3,5.0235596
R-HSA-9012852,CNV,layer_2,5.0235596,R-HSA-927802,CNV,layer_3,5.0235596
R-HSA-9012852,CNV,layer_2,5.0235596,R-HSA-382556,CNV,layer_3,5.0235596
R-HSA-9012852,CNV,layer_2,5.0235596,R-HSA-74158,CNV,layer_3,5.0235596
R-HSA-9012852,CNV,layer_2,5.0235596,R-HSA-73884,CNV,layer_3,5.0235596
R-HSA-9012852,CNV,layer_2,5.0235596,R-HSA-1592230,CNV,layer_3,5.0235596
R-HSA-9012852,CNV,layer_2,5.0235596,R-HSA-425407,CNV,layer_3,5.0235596
R-HSA-9012852,CNV,layer_2,5.0235596,R-HSA-5683057,CNV,layer_3,5.0235596
R-HSA-9012852,CNV,layer_2,5.0235596,R-HSA-5617833,CNV,layer_3,5.0235596
R-HSA-9012852,CNV,layer_2,5.0235596,R-HSA-8949215,CNV,layer_3,5.0235596
R-HSA-70221,CNV,layer_1,3.8938522,R-HSA-450385,CNV,layer_2,3.8938522
R-HSA-70221,CNV,layer_1,3.8938522,R-HSA-199977,CNV,layer_2,3.8938522
R-HSA-70221,CNV,layer_1,3.8938522,R-HSA-177929,CNV,layer_2,3.8938522
R-HSA-70221,CNV,layer_1,3.8938522,R-HSA-194138,CNV,layer_2,3.8938522
R-HSA-70221,CNV,layer_1,3.8938522,R-HSA-9012852,CNV,layer_2,3.8938522
R-HSA-70221,CNV,layer_1,3.8938522,R-HSA-166520,CNV,layer_2,3.8938522
R-HSA-70221,CNV,layer_1,3.8938522,R-HSA-70268,CNV,layer_2,3.8938522
R-HSA-70221,CNV,layer_1,3.8938522,R-HSA-5387390,CNV,layer_2,3.8938522
R-HSA-70221,CNV,layer_1,3.8938522,R-HSA-9842663,CNV,layer_2,3.8938522
R-HSA-70221,CNV,layer_1,3.8938522,R-HSA-1227986,CNV,layer_2,3.8938522
R-HSA-73884,CNV,layer_3,2.8931248,R-HSA-109582,CNV,layer_4,2.8931248
R-HSA-73884,CNV,layer_3,2.8931248,R-HSA-1474165,CNV,layer_4,2.8931248
R-HSA-73884,CNV,layer_3,2.8931248,R-HSA-9709957,CNV,layer_4,2.8931248
R-HSA-73884,CNV,layer_3,2.8931248,R-HSA-382551,CNV,layer_4,2.8931248
R-HSA-73884,CNV,layer_3,2.8931248,R-HSA-1640170,CNV,layer_4,2.8931248
R-HSA-73884,CNV,layer_3,2.8931248,R-HSA-9609507,CNV,layer_4,2.8931248
R-HSA-73884,CNV,layer_3,2.8931248,R-HSA-4839726,CNV,layer_4,2.8931248
R-HSA-73884,CNV,layer_3,2.8931248,R-HSA-1500931,CNV,layer_4,2.8931248
R-HSA-73884,CNV,layer_3,2.8931248,R-HSA-8963743,CNV,layer_4,2.8931248
R-HSA-73884,CNV,layer_3,2.8931248,R-HSA-1266738,CNV,layer_4,2.8931248
R-HSA-9824594,CNV,layer_1,2.6601214,R-HSA-450385,CNV,layer_2,2.6601214
R-HSA-9824594,CNV,layer_1,2.6601214,R-HSA-1227986,CNV,layer_2,2.6601214
R-HSA-9824594,CNV,layer_1,2.6601214,R-HSA-70268,CNV,layer_2,2.6601214
R-HSA-9824594,CNV,layer_1,2.6601214,R-HSA-5387390,CNV,layer_2,2.6601214
R-HSA-9824594,CNV,layer_1,2.6601214,R-HSA-177929,CNV,layer_2,2.6601214
R-HSA-9824594,CNV,layer_1,2.6601214,R-HSA-166520,CNV,layer_2,2.6601214
R-HSA-9824594,CNV,layer_1,2.6601214,R-HSA-9012852,CNV,layer_2,2.6601214
R-HSA-9824594,CNV,layer_1,2.6601214,R-HSA-194138,CNV,layer_2,2.6601214
R-HSA-9824594,CNV,layer_1,2.6601214,R-HSA-199977,CNV,layer_2,2.6601214
R-HSA-9824594,CNV,layer_1,2.6601214,R-HSA-9842663,CNV,layer_2,2.6601214
R-HSA-2468052,CNV,layer_1,2.4014041,R-HSA-5387390,CNV,layer_2,2.4014041
R-HSA-2468052,CNV,layer_1,2.4014041,R-HSA-70268,CNV,layer_2,2.4014041
R-HSA-2468052,CNV,layer_1,2.4014041,R-HSA-9842663,CNV,layer_2,2.4014041
R-HSA-2468052,CNV,layer_1,2.4014041,R-HSA-199977,CNV,layer_2,2.4014041
R-HSA-2468052,CNV,layer_1,2.4014041,R-HSA-1227986,CNV,layer_2,2.4014041
R-HSA-2468052,CNV,layer_1,2.4014041,R-HSA-450385,CNV,layer_2,2.4014041
R-HSA-2468052,CNV,layer_1,2.4014041,R-HSA-166520,CNV,layer_2,2.4014041
R-HSA-2468052,CNV,layer_1,2.4014041,R-HSA-177929,CNV,layer_2,2.4014041
R-HSA-2468052,CNV,layer_1,2.4014041,R-HSA-9012852,CNV,layer_2,2.4014041
R-HSA-2468052,CNV,layer_1,2.4014041,R-HSA-194138,CNV,layer_2,2.4014041
R-HSA-194138,CNV,layer_2,2.3717237,R-HSA-74158,CNV,layer_3,2.3717237
R-HSA-194138,CNV,layer_2,2.3717237,R-HSA-8949215,CNV,layer_3,2.3717237
R-HSA-194138,CNV,layer_2,2.3717237,R-HSA-73884,CNV,layer_3,2.3717237
R-HSA-194138,CNV,layer_2,2.3717237,R-HSA-927802,CNV,layer_3,2.3717237
R-HSA-194138,CNV,layer_2,2.3717237,R-HSA-1592230,CNV,layer_3,2.3717237
R-HSA-194138,CNV,layer_2,2.3717237,R-HSA-5617833,CNV,layer_3,2.3717237
R-HSA-194138,CNV,layer_2,2.3717237,R-HSA-174824,CNV,layer_3,2.3717237
R-HSA-194138,CNV,layer_2,2.3717237,R-HSA-382556,CNV,layer_3,2.3717237
R-HSA-194138,CNV,layer_2,2.3717237,R-HSA-5683057,CNV,layer_3,2.3717237
R-HSA-194138,CNV,layer_2,2.3717237,R-HSA-425407,CNV,layer_3,2.3717237
R-HSA-177929,CNV,layer_2,2.1774814,R-HSA-74158,CNV,layer_3,2.1774814
R-HSA-177929,CNV,layer_2,2.1774814,R-HSA-8949215,CNV,layer_3,2.1774814
R-HSA-177929,CNV,layer_2,2.1774814,R-HSA-382556,CNV,layer_3,2.1774814
R-HSA-177929,CNV,layer_2,2.1774814,R-HSA-174824,CNV,layer_3,2.1774814
R-HSA-177929,CNV,layer_2,2.1774814,R-HSA-73884,CNV,layer_3,2.1774814
R-HSA-177929,CNV,layer_2,2.1774814,R-HSA-927802,CNV,layer_3,2.1774814
R-HSA-177929,CNV,layer_2,2.1774814,R-HSA-425407,CNV,layer_3,2.1774814
R-HSA-177929,CNV,layer_2,2.1774814,R-HSA-5683057,CNV,layer_3,2.1774814
R-HSA-177929,CNV,layer_2,2.1774814,R-HSA-5617833,CNV,layer_3,2.1774814
R-HSA-177929,CNV,layer_2,2.1774814,R-HSA-1592230,CNV,layer_3,2.1774814
R-HSA-1369062,CNV,layer_1,1.9433588,R-HSA-450385,CNV,layer_2,1.9433588
R-HSA-1369062,CNV,layer_1,1.9433588,R-HSA-1227986,CNV,layer_2,1.9433588
R-HSA-1369062,CNV,layer_1,1.9433588,R-HSA-70268,CNV,layer_2,1.9433588
R-HSA-1369062,CNV,layer_1,1.9433588,R-HSA-5387390,CNV,layer_2,1.9433588
R-HSA-1369062,CNV,layer_1,1.9433588,R-HSA-166520,CNV,layer_2,1.9433588
R-HSA-1369062,CNV,layer_1,1.9433588,R-HSA-177929,CNV,layer_2,1.9433588
R-HSA-1369062,CNV,layer_1,1.9433588,R-HSA-9012852,CNV,layer_2,1.9433588
R-HSA-1369062,CNV,layer_1,1.9433588,R-HSA-194138,CNV,layer_2,1.9433588
