id,name,layer,omics,importance
SNV_layer_1_19,R-HSA-210744,layer_1,SNV,5.365706
SNV_layer_1_24,R-HSA-446107,layer_1,SNV,5.1374965
SNV_layer_1_13,R-HSA-2473224,layer_1,SNV,4.515871
SNV_layer_1_23,R-HSA-389977,layer_1,SNV,3.9457285
SNV_layer_1_29,R-HSA-5658034,layer_1,SNV,3.679177
SNV_input_7746,STAP2,input,SNV,3.474787
SNV_input_2829,GGPS1,input,SNV,3.474787
SNV_input_2072,DTX4,input,SNV,3.474787
SNV_input_4947,NDUFB4,input,SNV,3.474787
SNV_input_6564,RAB42,input,SNV,3.474787
SNV_input_8166,TNFRSF13B,input,SNV,3.474787
SNV_input_4770,MTX1,input,SNV,3.344403
SNV_input_5871,PELI3,input,SNV,3.344403
SNV_input_1036,CCND3,input,SNV,3.344403
SNV_layer_2_98,R-HSA-429958,layer_2,SNV,3.1630075
SNV_layer_1_0,R-HSA-181429,layer_1,SNV,2.95281
SNV_layer_2_14,R-HSA-2028269,layer_2,SNV,2.9253187
SNV_layer_1_188,R-HSA-159234,layer_1,SNV,2.842104
SNV_layer_4_2,R-HSA-1266738,layer_4,SNV,2.6778862
SNV_layer_2_0,R-HSA-1650814,layer_2,SNV,2.6212556
SNV_layer_3_33,R-HSA-69239,layer_3,SNV,2.6077116
SNV_input_1000,CBX4,input,SNV,2.5516267
SNV_layer_2_34,R-HSA-5423646,layer_2,SNV,2.4754577
SNV_layer_1_67,R-HSA-2029482,layer_1,SNV,2.3689857
SNV_layer_1_185,R-HSA-418555,layer_1,SNV,2.3417013
SNV_layer_2_13,R-HSA-112314,layer_2,SNV,2.3281958
SNV_layer_2_3,R-HSA-9837092,layer_2,SNV,2.239131
SNV_layer_1_321,R-HSA-156588,layer_1,SNV,2.2318995
SNV_layer_3_5,R-HSA-174824,layer_3,SNV,2.0158865
SNV_layer_4_7,R-HSA-162582,layer_4,SNV,1.5956308
SNV_layer_2_181,R-HSA-428359,layer_2,SNV,1.5843726
SNV_layer_3_6,R-HSA-382556,layer_3,SNV,1.5753723
SNV_layer_2_72,R-HSA-2892245,layer_2,SNV,1.5642328
SNV_layer_3_0,R-HSA-8935690,layer_3,SNV,1.4445627
SNV_layer_3_13,R-HSA-983712,layer_3,SNV,1.4344095
SNV_layer_2_12,R-HSA-112313,layer_2,SNV,1.1123307
SNV_layer_3_55,R-HSA-373753,layer_3,SNV,1.0856321
SNV_layer_2_108,R-HSA-6785470,layer_2,SNV,1.0736017
SNV_layer_3_2,R-HSA-1500620,layer_3,SNV,1.0299466
SNV_layer_3_25,R-HSA-1566977,layer_3,SNV,0.97309065
SNV_layer_4_11,R-HSA-1852241,layer_4,SNV,0.7080744
SNV_layer_3_37,R-HSA-73864,layer_3,SNV,0.63719845
SNV_layer_3_102,R-HSA-9609523,layer_3,SNV,0.2606946
SNV_layer_4_1,R-HSA-112316,layer_4,SNV,0.12256631
SNV_layer_4_0,R-HSA-109582,layer_4,SNV,0.11587669
SNV_layer_4_26,R-HSA-9612973,layer_4,SNV,0.081523284
SNV_layer_4_28,R-HSA-9748784,layer_4,SNV,0.07080847
SNV_layer_4_3,R-HSA-1430728,layer_4,SNV,0.06859456
SNV_layer_4_13,R-HSA-392499,layer_4,SNV,0.049040016
SNV_layer_4_17,R-HSA-5357801,layer_4,SNV,0.010134409
