Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
R-HSA-210744,SNV,layer_1,5.365706,R-HSA-1650814,SNV,layer_2,5.365706
R-HSA-210744,SNV,layer_1,5.365706,R-HSA-5423646,SNV,layer_2,5.365706
R-HSA-210744,SNV,layer_1,5.365706,R-HSA-428359,SNV,layer_2,5.365706
R-HSA-210744,SNV,layer_1,5.365706,R-HSA-2892245,SNV,layer_2,5.365706
R-HSA-210744,SNV,layer_1,5.365706,R-HSA-112313,SNV,layer_2,5.365706
R-HSA-210744,SNV,layer_1,5.365706,R-HSA-6785470,SNV,layer_2,5.365706
R-HSA-210744,SNV,layer_1,5.365706,R-HSA-2028269,SNV,layer_2,5.365706
R-HSA-210744,SNV,layer_1,5.365706,R-HSA-429958,SNV,layer_2,5.365706
R-HSA-210744,SNV,layer_1,5.365706,R-HSA-9837092,SNV,layer_2,5.365706
R-HSA-210744,SNV,layer_1,5.365706,R-HSA-112314,SNV,layer_2,5.365706
R-HSA-446107,SNV,layer_1,5.1374965,R-HSA-2028269,SNV,layer_2,5.1374965
R-HSA-446107,SNV,layer_1,5.1374965,R-HSA-429958,SNV,layer_2,5.1374965
R-HSA-446107,SNV,layer_1,5.1374965,R-HSA-428359,SNV,layer_2,5.1374965
R-HSA-446107,SNV,layer_1,5.1374965,R-HSA-2892245,SNV,layer_2,5.1374965
R-HSA-446107,SNV,layer_1,5.1374965,R-HSA-112314,SNV,layer_2,5.1374965
R-HSA-446107,SNV,layer_1,5.1374965,R-HSA-9837092,SNV,layer_2,5.1374965
R-HSA-446107,SNV,layer_1,5.1374965,R-HSA-6785470,SNV,layer_2,5.1374965
R-HSA-446107,SNV,layer_1,5.1374965,R-HSA-112313,SNV,layer_2,5.1374965
R-HSA-446107,SNV,layer_1,5.1374965,R-HSA-5423646,SNV,layer_2,5.1374965
R-HSA-446107,SNV,layer_1,5.1374965,R-HSA-1650814,SNV,layer_2,5.1374965
R-HSA-2473224,SNV,layer_1,4.515871,R-HSA-112314,SNV,layer_2,4.515871
R-HSA-2473224,SNV,layer_1,4.515871,R-HSA-9837092,SNV,layer_2,4.515871
R-HSA-2473224,SNV,layer_1,4.515871,R-HSA-1650814,SNV,layer_2,4.515871
R-HSA-2473224,SNV,layer_1,4.515871,R-HSA-5423646,SNV,layer_2,4.515871
R-HSA-2473224,SNV,layer_1,4.515871,R-HSA-2892245,SNV,layer_2,4.515871
R-HSA-2473224,SNV,layer_1,4.515871,R-HSA-428359,SNV,layer_2,4.515871
