id,name,layer,omics,importance
CNV_layer_1_610,R-HSA-198323,layer_1,CNV,13.475426
mrna_layer_1_116,R-HSA-8863795,layer_1,mrna,5.5115533
SNV_layer_1_19,R-HSA-210744,layer_1,SNV,5.365706
SNV_layer_1_24,R-HSA-446107,layer_1,SNV,5.1374965
mrna_layer_1_4,R-HSA-264642,layer_1,mrna,5.135726
CNV_layer_2_353,R-HSA-9012852,layer_2,CNV,5.0235596
SNV_layer_1_13,R-HSA-2473224,layer_1,SNV,4.515871
SNV_layer_1_23,R-HSA-389977,layer_1,SNV,3.9457285
mrna_layer_2_0,R-HSA-1650814,layer_2,mrna,3.9159877
CNV_layer_1_86,R-HSA-70221,layer_1,CNV,3.8938522
mrna_layer_1_225,R-HSA-3215018,layer_1,mrna,3.7495847
SNV_layer_1_29,R-HSA-5658034,layer_1,SNV,3.679177
SNV_input_7746,STAP2,input,SNV,3.474787
SNV_input_4947,NDUFB4,input,SNV,3.474787
SNV_input_6564,RAB42,input,SNV,3.474787
SNV_input_2072,DTX4,input,SNV,3.474787
SNV_input_2829,GGPS1,input,SNV,3.474787
mrna_layer_1_217,R-HSA-209905,layer_1,mrna,3.3306644
SNV_layer_2_98,R-HSA-429958,layer_2,SNV,3.1630075
SNV_layer_2_14,R-HSA-2028269,layer_2,SNV,2.9253187
CNV_layer_3_17,R-HSA-73884,layer_3,CNV,2.8931248
mrna_layer_1_68,R-HSA-2029485,layer_1,mrna,2.868753
SNV_layer_4_2,R-HSA-1266738,layer_4,SNV,2.6778862
CNV_layer_1_203,R-HSA-9824594,layer_1,CNV,2.6601214
SNV_layer_2_0,R-HSA-1650814,layer_2,SNV,2.6212556
SNV_layer_3_33,R-HSA-69239,layer_3,SNV,2.6077116
SNV_layer_2_34,R-HSA-5423646,layer_2,SNV,2.4754577
CNV_layer_1_695,R-HSA-2468052,layer_1,CNV,2.4014041
CNV_layer_2_45,R-HSA-194138,layer_2,CNV,2.3717237
SNV_layer_2_13,R-HSA-112314,layer_2,SNV,2.3281958
CNV_layer_2_42,R-HSA-177929,layer_2,CNV,2.1774814
mrna_layer_2_119,R-HSA-9708296,layer_2,mrna,2.1599991
mrna_layer_2_34,R-HSA-5423646,layer_2,mrna,2.1352499
SNV_layer_3_5,R-HSA-174824,layer_3,SNV,2.0158865
mrna_layer_4_9,R-HSA-1643685,layer_4,mrna,1.983055
CNV_layer_1_26,R-HSA-1369062,layer_1,CNV,1.9433588
CNV_layer_2_41,R-HSA-166520,layer_2,CNV,1.8046869
CNV_layer_3_131,R-HSA-927802,layer_3,CNV,1.7979919
mrna_layer_2_123,R-HSA-1799339,layer_2,mrna,1.720786
CNV_layer_2_110,R-HSA-450385,layer_2,CNV,1.7040555
mrna_input_3765,HSD3B1,input,mrna,1.7011398
mrna_layer_2_129,R-HSA-1222556,layer_2,mrna,1.6843464
SNV_layer_4_7,R-HSA-162582,layer_4,SNV,1.5956308
SNV_layer_3_6,R-HSA-382556,layer_3,SNV,1.5753723
SNV_layer_3_0,R-HSA-8935690,layer_3,SNV,1.4445627
SNV_layer_3_13,R-HSA-983712,layer_3,SNV,1.4344095
mrna_layer_3_40,R-HSA-1475029,layer_3,mrna,1.3873042
mrna_layer_3_13,R-HSA-983712,layer_3,mrna,1.3260831
mrna_layer_3_44,R-HSA-189445,layer_3,mrna,1.2379097
mrna_layer_3_42,R-HSA-15869,layer_3,mrna,1.2232261
mrna_input_4246,KCNK18,input,mrna,1.2080522
mrna_input_8050,SLC12A3,input,mrna,1.1983293
mrna_input_4492,L1CAM,input,mrna,1.1872488
mrna_input_9277,TRPM1,input,mrna,1.1542009
CNV_input_681,AUTS2,input,CNV,1.064971
CNV_input_9522,ZNF224,input,CNV,1.0550985
CNV_input_8804,TOMM40,input,CNV,1.0246193
CNV_input_425,APOC1,input,CNV,1.0246193
CNV_input_430,APOE,input,CNV,1.0246193
mrna_layer_3_36,R-HSA-73857,layer_3,mrna,0.9853394
CNV_layer_3_38,R-HSA-74158,layer_3,CNV,0.95128125
mrna_layer_4_22,R-HSA-8953854,layer_4,mrna,0.86094105
CNV_layer_3_10,R-HSA-8949215,layer_3,CNV,0.8439629
mrna_layer_4_2,R-HSA-1266738,layer_4,mrna,0.8433417
SNV_layer_4_11,R-HSA-1852241,layer_4,SNV,0.7080744
CNV_layer_3_7,R-HSA-425407,layer_3,CNV,0.6441749
CNV_layer_4_24,R-HSA-8963743,layer_4,CNV,0.61219525
CNV_layer_4_2,R-HSA-1266738,layer_4,CNV,0.5929075
CNV_layer_4_8,R-HSA-1640170,layer_4,CNV,0.5165892
CNV_layer_4_25,R-HSA-9609507,layer_4,CNV,0.16101222
mrna_layer_4_5,R-HSA-1474244,layer_4,mrna,0.12879257
SNV_layer_4_1,R-HSA-112316,layer_4,SNV,0.12256631
SNV_layer_4_0,R-HSA-109582,layer_4,SNV,0.11587669
CNV_layer_4_27,R-HSA-9709957,layer_4,CNV,0.07968425
mrna_layer_4_13,R-HSA-392499,layer_4,mrna,0.074027866
