Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
R-HSA-198323,CNV,layer_1,13.475426,R-HSA-194138,CNV,layer_2,13.475426
R-HSA-198323,CNV,layer_1,13.475426,R-HSA-9012852,CNV,layer_2,13.475426
R-HSA-198323,CNV,layer_1,13.475426,R-HSA-450385,CNV,layer_2,13.475426
R-HSA-198323,CNV,layer_1,13.475426,R-HSA-177929,CNV,layer_2,13.475426
R-HSA-198323,CNV,layer_1,13.475426,R-HSA-166520,CNV,layer_2,13.475426
R-HSA-8863795,mrna,layer_1,5.5115533,R-HSA-1650814,mrna,layer_2,5.5115533
R-HSA-8863795,mrna,layer_1,5.5115533,R-HSA-9708296,mrna,layer_2,5.5115533
R-HSA-8863795,mrna,layer_1,5.5115533,R-HSA-5423646,mrna,layer_2,5.5115533
R-HSA-8863795,mrna,layer_1,5.5115533,R-HSA-1222556,mrna,layer_2,5.5115533
R-HSA-8863795,mrna,layer_1,5.5115533,R-HSA-1799339,mrna,layer_2,5.5115533
R-HSA-210744,SNV,layer_1,5.365706,R-HSA-5423646,SNV,layer_2,5.365706
R-HSA-210744,SNV,layer_1,5.365706,R-HSA-2028269,SNV,layer_2,5.365706
R-HSA-210744,SNV,layer_1,5.365706,R-HSA-429958,SNV,layer_2,5.365706
R-HSA-210744,SNV,layer_1,5.365706,R-HSA-1650814,SNV,layer_2,5.365706
R-HSA-210744,SNV,layer_1,5.365706,R-HSA-112314,SNV,layer_2,5.365706
R-HSA-446107,SNV,layer_1,5.1374965,R-HSA-5423646,SNV,layer_2,5.1374965
R-HSA-446107,SNV,layer_1,5.1374965,R-HSA-1650814,SNV,layer_2,5.1374965
R-HSA-446107,SNV,layer_1,5.1374965,R-HSA-2028269,SNV,layer_2,5.1374965
R-HSA-446107,SNV,layer_1,5.1374965,R-HSA-429958,SNV,layer_2,5.1374965
R-HSA-446107,SNV,layer_1,5.1374965,R-HSA-112314,SNV,layer_2,5.1374965
R-HSA-264642,mrna,layer_1,5.135726,R-HSA-9708296,mrna,layer_2,5.135726
R-HSA-264642,mrna,layer_1,5.135726,R-HSA-1799339,mrna,layer_2,5.135726
R-HSA-264642,mrna,layer_1,5.135726,R-HSA-1222556,mrna,layer_2,5.135726
R-HSA-264642,mrna,layer_1,5.135726,R-HSA-5423646,mrna,layer_2,5.135726
R-HSA-264642,mrna,layer_1,5.135726,R-HSA-1650814,mrna,layer_2,5.135726
R-HSA-9012852,CNV,layer_2,5.0235596,R-HSA-74158,CNV,layer_3,5.0235596
R-HSA-9012852,CNV,layer_2,5.0235596,R-HSA-8949215,CNV,layer_3,5.0235596
R-HSA-9012852,CNV,layer_2,5.0235596,R-HSA-425407,CNV,layer_3,5.0235596
R-HSA-9012852,CNV,layer_2,5.0235596,R-HSA-73884,CNV,layer_3,5.0235596
R-HSA-9012852,CNV,layer_2,5.0235596,R-HSA-927802,CNV,layer_3,5.0235596
R-HSA-2473224,SNV,layer_1,4.515871,R-HSA-429958,SNV,layer_2,4.515871
R-HSA-2473224,SNV,layer_1,4.515871,R-HSA-1650814,SNV,layer_2,4.515871
R-HSA-2473224,SNV,layer_1,4.515871,R-HSA-2028269,SNV,layer_2,4.515871
R-HSA-2473224,SNV,layer_1,4.515871,R-HSA-5423646,SNV,layer_2,4.515871
R-HSA-2473224,SNV,layer_1,4.515871,R-HSA-112314,SNV,layer_2,4.515871
R-HSA-389977,SNV,layer_1,3.9457285,R-HSA-2028269,SNV,layer_2,3.9457285
R-HSA-389977,SNV,layer_1,3.9457285,R-HSA-429958,SNV,layer_2,3.9457285
R-HSA-389977,SNV,layer_1,3.9457285,R-HSA-5423646,SNV,layer_2,3.9457285
R-HSA-389977,SNV,layer_1,3.9457285,R-HSA-1650814,SNV,layer_2,3.9457285
R-HSA-389977,SNV,layer_1,3.9457285,R-HSA-112314,SNV,layer_2,3.9457285
R-HSA-1650814,mrna,layer_2,3.9159877,R-HSA-15869,mrna,layer_3,3.9159877
R-HSA-1650814,mrna,layer_2,3.9159877,R-HSA-983712,mrna,layer_3,3.9159877
R-HSA-1650814,mrna,layer_2,3.9159877,R-HSA-189445,mrna,layer_3,3.9159877
R-HSA-1650814,mrna,layer_2,3.9159877,R-HSA-1475029,mrna,layer_3,3.9159877
R-HSA-1650814,mrna,layer_2,3.9159877,R-HSA-73857,mrna,layer_3,3.9159877
R-HSA-70221,CNV,layer_1,3.8938522,R-HSA-166520,CNV,layer_2,3.8938522
R-HSA-70221,CNV,layer_1,3.8938522,R-HSA-9012852,CNV,layer_2,3.8938522
R-HSA-70221,CNV,layer_1,3.8938522,R-HSA-177929,CNV,layer_2,3.8938522
R-HSA-70221,CNV,layer_1,3.8938522,R-HSA-194138,CNV,layer_2,3.8938522
R-HSA-70221,CNV,layer_1,3.8938522,R-HSA-450385,CNV,layer_2,3.8938522
R-HSA-3215018,mrna,layer_1,3.7495847,R-HSA-1799339,mrna,layer_2,3.7495847
R-HSA-3215018,mrna,layer_1,3.7495847,R-HSA-1650814,mrna,layer_2,3.7495847
R-HSA-3215018,mrna,layer_1,3.7495847,R-HSA-1222556,mrna,layer_2,3.7495847
R-HSA-3215018,mrna,layer_1,3.7495847,R-HSA-9708296,mrna,layer_2,3.7495847
R-HSA-3215018,mrna,layer_1,3.7495847,R-HSA-5423646,mrna,layer_2,3.7495847
R-HSA-5658034,SNV,layer_1,3.679177,R-HSA-1650814,SNV,layer_2,3.679177
R-HSA-5658034,SNV,layer_1,3.679177,R-HSA-429958,SNV,layer_2,3.679177
R-HSA-5658034,SNV,layer_1,3.679177,R-HSA-112314,SNV,layer_2,3.679177
R-HSA-5658034,SNV,layer_1,3.679177,R-HSA-5423646,SNV,layer_2,3.679177
R-HSA-5658034,SNV,layer_1,3.679177,R-HSA-2028269,SNV,layer_2,3.679177
DTX4,SNV,input,3.474787,R-HSA-2473224,SNV,layer_1,3.474787
GGPS1,SNV,input,3.474787,R-HSA-389977,SNV,layer_1,3.474787
GGPS1,SNV,input,3.474787,R-HSA-5658034,SNV,layer_1,3.474787
DTX4,SNV,input,3.474787,R-HSA-446107,SNV,layer_1,3.474787
DTX4,SNV,input,3.474787,R-HSA-210744,SNV,layer_1,3.474787
NDUFB4,SNV,input,3.474787,R-HSA-389977,SNV,layer_1,3.474787
GGPS1,SNV,input,3.474787,R-HSA-446107,SNV,layer_1,3.474787
GGPS1,SNV,input,3.474787,R-HSA-2473224,SNV,layer_1,3.474787
RAB42,SNV,input,3.474787,R-HSA-210744,SNV,layer_1,3.474787
STAP2,SNV,input,3.474787,R-HSA-5658034,SNV,layer_1,3.474787
GGPS1,SNV,input,3.474787,R-HSA-210744,SNV,layer_1,3.474787
STAP2,SNV,input,3.474787,R-HSA-2473224,SNV,layer_1,3.474787
STAP2,SNV,input,3.474787,R-HSA-389977,SNV,layer_1,3.474787
STAP2,SNV,input,3.474787,R-HSA-446107,SNV,layer_1,3.474787
STAP2,SNV,input,3.474787,R-HSA-210744,SNV,layer_1,3.474787
RAB42,SNV,input,3.474787,R-HSA-2473224,SNV,layer_1,3.474787
RAB42,SNV,input,3.474787,R-HSA-446107,SNV,layer_1,3.474787
RAB42,SNV,input,3.474787,R-HSA-5658034,SNV,layer_1,3.474787
RAB42,SNV,input,3.474787,R-HSA-389977,SNV,layer_1,3.474787
NDUFB4,SNV,input,3.474787,R-HSA-5658034,SNV,layer_1,3.474787
DTX4,SNV,input,3.474787,R-HSA-5658034,SNV,layer_1,3.474787
NDUFB4,SNV,input,3.474787,R-HSA-210744,SNV,layer_1,3.474787
NDUFB4,SNV,input,3.474787,R-HSA-446107,SNV,layer_1,3.474787
DTX4,SNV,input,3.474787,R-HSA-389977,SNV,layer_1,3.474787
NDUFB4,SNV,input,3.474787,R-HSA-2473224,SNV,layer_1,3.474787
R-HSA-209905,mrna,layer_1,3.3306644,R-HSA-1799339,mrna,layer_2,3.3306644
R-HSA-209905,mrna,layer_1,3.3306644,R-HSA-1650814,mrna,layer_2,3.3306644
R-HSA-209905,mrna,layer_1,3.3306644,R-HSA-9708296,mrna,layer_2,3.3306644
R-HSA-209905,mrna,layer_1,3.3306644,R-HSA-5423646,mrna,layer_2,3.3306644
R-HSA-209905,mrna,layer_1,3.3306644,R-HSA-1222556,mrna,layer_2,3.3306644
R-HSA-429958,SNV,layer_2,3.1630075,R-HSA-174824,SNV,layer_3,3.1630075
