id,name,layer,omics,importance
mrna_layer_1_116,R-HSA-8863795,layer_1,mrna,5.5115533
mrna_layer_1_4,R-HSA-264642,layer_1,mrna,5.135726
mrna_layer_2_0,R-HSA-1650814,layer_2,mrna,3.9159877
mrna_layer_1_225,R-HSA-3215018,layer_1,mrna,3.7495847
mrna_layer_1_217,R-HSA-209905,layer_1,mrna,3.3306644
mrna_layer_1_68,R-HSA-2029485,layer_1,mrna,2.868753
mrna_layer_1_236,R-HSA-2453864,layer_1,mrna,2.6996298
mrna_layer_1_201,R-HSA-446388,layer_1,mrna,2.6283133
mrna_layer_1_237,R-HSA-75205,layer_1,mrna,2.4896839
mrna_layer_1_5,R-HSA-888590,layer_1,mrna,2.4547951
mrna_layer_1_230,R-HSA-418359,layer_1,mrna,2.441772
mrna_layer_2_119,R-HSA-9708296,layer_2,mrna,2.1599991
mrna_layer_2_34,R-HSA-5423646,layer_2,mrna,2.1352499
mrna_layer_4_9,R-HSA-1643685,layer_4,mrna,1.983055
mrna_layer_2_123,R-HSA-1799339,layer_2,mrna,1.720786
mrna_input_3765,HSD3B1,input,mrna,1.7011398
mrna_layer_2_129,R-HSA-1222556,layer_2,mrna,1.6843464
mrna_layer_2_106,R-HSA-5620924,layer_2,mrna,1.5076594
mrna_layer_3_40,R-HSA-1475029,layer_3,mrna,1.3873042
mrna_layer_3_13,R-HSA-983712,layer_3,mrna,1.3260831
mrna_layer_3_44,R-HSA-189445,layer_3,mrna,1.2379097
mrna_layer_3_42,R-HSA-15869,layer_3,mrna,1.2232261
mrna_input_4246,KCNK18,input,mrna,1.2080522
mrna_input_8050,SLC12A3,input,mrna,1.1983293
mrna_input_4492,L1CAM,input,mrna,1.1872488
mrna_input_9277,TRPM1,input,mrna,1.1542009
mrna_input_3253,GNAT1,input,mrna,1.1192735
mrna_input_3346,GPR37L1,input,mrna,1.1115351
mrna_input_8914,TFDP1,input,mrna,1.0731299
mrna_input_3081,GATA3,input,mrna,1.0723473
mrna_input_5558,NKX2-2,input,mrna,1.0681276
mrna_layer_3_36,R-HSA-73857,layer_3,mrna,0.9853394
mrna_layer_2_185,R-HSA-195253,layer_2,mrna,0.96014196
mrna_layer_2_30,R-HSA-73943,layer_2,mrna,0.9318541
mrna_layer_3_119,R-HSA-9675143,layer_3,mrna,0.9143241
mrna_layer_4_22,R-HSA-8953854,layer_4,mrna,0.86094105
mrna_layer_4_2,R-HSA-1266738,layer_4,mrna,0.8433417
mrna_layer_2_8,R-HSA-446353,layer_2,mrna,0.7087636
mrna_layer_2_124,R-HSA-379724,layer_2,mrna,0.6339907
mrna_layer_3_47,R-HSA-211859,layer_3,mrna,0.40189368
mrna_layer_3_118,R-HSA-9675135,layer_3,mrna,0.33538255
mrna_layer_3_4,R-HSA-1480926,layer_3,mrna,0.3238821
mrna_layer_3_117,R-HSA-9671793,layer_3,mrna,0.2919283
mrna_layer_4_5,R-HSA-1474244,layer_4,mrna,0.12879257
mrna_layer_4_13,R-HSA-392499,layer_4,mrna,0.074027866
mrna_layer_4_10,R-HSA-168256,layer_4,mrna,0.060618095
mrna_layer_4_24,R-HSA-8963743,layer_4,mrna,0.054506354
mrna_layer_4_14,R-HSA-397014,layer_4,mrna,0.051949784
mrna_layer_4_11,R-HSA-1852241,layer_4,mrna,0.051625796
mrna_layer_4_15,R-HSA-400253,layer_4,mrna,0.040068183
