Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
R-HSA-8863795,mrna,layer_1,5.5115533,R-HSA-195253,mrna,layer_2,5.5115533
R-HSA-8863795,mrna,layer_1,5.5115533,R-HSA-73943,mrna,layer_2,5.5115533
R-HSA-8863795,mrna,layer_1,5.5115533,R-HSA-1222556,mrna,layer_2,5.5115533
R-HSA-8863795,mrna,layer_1,5.5115533,R-HSA-5620924,mrna,layer_2,5.5115533
R-HSA-8863795,mrna,layer_1,5.5115533,R-HSA-379724,mrna,layer_2,5.5115533
R-HSA-8863795,mrna,layer_1,5.5115533,R-HSA-446353,mrna,layer_2,5.5115533
R-HSA-8863795,mrna,layer_1,5.5115533,R-HSA-1650814,mrna,layer_2,5.5115533
R-HSA-8863795,mrna,layer_1,5.5115533,R-HSA-9708296,mrna,layer_2,5.5115533
R-HSA-8863795,mrna,layer_1,5.5115533,R-HSA-1799339,mrna,layer_2,5.5115533
R-HSA-8863795,mrna,layer_1,5.5115533,R-HSA-5423646,mrna,layer_2,5.5115533
R-HSA-264642,mrna,layer_1,5.135726,R-HSA-1799339,mrna,layer_2,5.135726
R-HSA-264642,mrna,layer_1,5.135726,R-HSA-5423646,mrna,layer_2,5.135726
R-HSA-264642,mrna,layer_1,5.135726,R-HSA-446353,mrna,layer_2,5.135726
R-HSA-264642,mrna,layer_1,5.135726,R-HSA-379724,mrna,layer_2,5.135726
R-HSA-264642,mrna,layer_1,5.135726,R-HSA-1222556,mrna,layer_2,5.135726
R-HSA-264642,mrna,layer_1,5.135726,R-HSA-5620924,mrna,layer_2,5.135726
R-HSA-264642,mrna,layer_1,5.135726,R-HSA-195253,mrna,layer_2,5.135726
R-HSA-264642,mrna,layer_1,5.135726,R-HSA-73943,mrna,layer_2,5.135726
R-HSA-264642,mrna,layer_1,5.135726,R-HSA-1650814,mrna,layer_2,5.135726
R-HSA-264642,mrna,layer_1,5.135726,R-HSA-9708296,mrna,layer_2,5.135726
R-HSA-1650814,mrna,layer_2,3.9159877,R-HSA-9675135,mrna,layer_3,3.9159877
R-HSA-1650814,mrna,layer_2,3.9159877,R-HSA-211859,mrna,layer_3,3.9159877
R-HSA-1650814,mrna,layer_2,3.9159877,R-HSA-1480926,mrna,layer_3,3.9159877
R-HSA-1650814,mrna,layer_2,3.9159877,R-HSA-9671793,mrna,layer_3,3.9159877
R-HSA-1650814,mrna,layer_2,3.9159877,R-HSA-1475029,mrna,layer_3,3.9159877
R-HSA-1650814,mrna,layer_2,3.9159877,R-HSA-983712,mrna,layer_3,3.9159877
R-HSA-1650814,mrna,layer_2,3.9159877,R-HSA-189445,mrna,layer_3,3.9159877
