Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
AKT phosphorylates targets in the cytosol,CNV,layer_1,13.475426,Signaling by NTRKs,CNV,layer_2,13.475426
AKT phosphorylates targets in the cytosol,CNV,layer_1,13.475426,Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA,CNV,layer_2,13.475426
AKT phosphorylates targets in the cytosol,CNV,layer_1,13.475426,Hh mutants abrogate ligand secretion,CNV,layer_2,13.475426
AKT phosphorylates targets in the cytosol,CNV,layer_1,13.475426,Signaling by ERBB2,CNV,layer_2,13.475426
AKT phosphorylates targets in the cytosol,CNV,layer_1,13.475426,Pyruvate metabolism,CNV,layer_2,13.475426
AKT phosphorylates targets in the cytosol,CNV,layer_1,13.475426,ER to Golgi Anterograde Transport,CNV,layer_2,13.475426
AKT phosphorylates targets in the cytosol,CNV,layer_1,13.475426,Signaling by EGFR,CNV,layer_2,13.475426
AKT phosphorylates targets in the cytosol,CNV,layer_1,13.475426,Signaling by LTK,CNV,layer_2,13.475426
AKT phosphorylates targets in the cytosol,CNV,layer_1,13.475426,Signaling by NOTCH3,CNV,layer_2,13.475426
AKT phosphorylates targets in the cytosol,CNV,layer_1,13.475426,Signaling by VEGF,CNV,layer_2,13.475426
Signaling by NOTCH3,CNV,layer_2,5.0235596,"Plasma lipoprotein assembly, remodeling, and clearance",CNV,layer_3,5.0235596
Signaling by NOTCH3,CNV,layer_2,5.0235596,Nonsense-Mediated Decay (NMD),CNV,layer_3,5.0235596
Signaling by NOTCH3,CNV,layer_2,5.0235596,ABC-family proteins mediated transport,CNV,layer_3,5.0235596
Signaling by NOTCH3,CNV,layer_2,5.0235596,RNA Polymerase III Transcription,CNV,layer_3,5.0235596
Signaling by NOTCH3,CNV,layer_2,5.0235596,Base Excision Repair,CNV,layer_3,5.0235596
Signaling by NOTCH3,CNV,layer_2,5.0235596,Mitochondrial biogenesis,CNV,layer_3,5.0235596
Signaling by NOTCH3,CNV,layer_2,5.0235596,SLC-mediated transmembrane transport,CNV,layer_3,5.0235596
Signaling by NOTCH3,CNV,layer_2,5.0235596,MAPK family signaling cascades,CNV,layer_3,5.0235596
Signaling by NOTCH3,CNV,layer_2,5.0235596,Cilium Assembly,CNV,layer_3,5.0235596
Signaling by NOTCH3,CNV,layer_2,5.0235596,Mitochondrial calcium ion transport,CNV,layer_3,5.0235596
Glycogen breakdown (glycogenolysis),CNV,layer_1,3.8938522,Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA,CNV,layer_2,3.8938522
Glycogen breakdown (glycogenolysis),CNV,layer_1,3.8938522,ER to Golgi Anterograde Transport,CNV,layer_2,3.8938522
Glycogen breakdown (glycogenolysis),CNV,layer_1,3.8938522,Signaling by EGFR,CNV,layer_2,3.8938522
Glycogen breakdown (glycogenolysis),CNV,layer_1,3.8938522,Signaling by VEGF,CNV,layer_2,3.8938522
Glycogen breakdown (glycogenolysis),CNV,layer_1,3.8938522,Signaling by NOTCH3,CNV,layer_2,3.8938522
Glycogen breakdown (glycogenolysis),CNV,layer_1,3.8938522,Signaling by NTRKs,CNV,layer_2,3.8938522
Glycogen breakdown (glycogenolysis),CNV,layer_1,3.8938522,Pyruvate metabolism,CNV,layer_2,3.8938522
Glycogen breakdown (glycogenolysis),CNV,layer_1,3.8938522,Hh mutants abrogate ligand secretion,CNV,layer_2,3.8938522
Glycogen breakdown (glycogenolysis),CNV,layer_1,3.8938522,Signaling by LTK,CNV,layer_2,3.8938522
Glycogen breakdown (glycogenolysis),CNV,layer_1,3.8938522,Signaling by ERBB2,CNV,layer_2,3.8938522
Base Excision Repair,CNV,layer_3,2.8931248,Hemostasis,CNV,layer_4,2.8931248
Base Excision Repair,CNV,layer_3,2.8931248,Reproduction,CNV,layer_4,2.8931248
Base Excision Repair,CNV,layer_3,2.8931248,Sensory Perception,CNV,layer_4,2.8931248
Base Excision Repair,CNV,layer_3,2.8931248,Transport of small molecules,CNV,layer_4,2.8931248
Base Excision Repair,CNV,layer_3,2.8931248,Cell Cycle,CNV,layer_4,2.8931248
Base Excision Repair,CNV,layer_3,2.8931248,Protein localization,CNV,layer_4,2.8931248
