Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,SNV,layer_1,5.365706,Collagen biosynthesis and modifying enzymes,SNV,layer_2,5.365706
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,SNV,layer_1,5.365706,Aflatoxin activation and detoxification,SNV,layer_2,5.365706
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,SNV,layer_1,5.365706,Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA,SNV,layer_2,5.365706
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,SNV,layer_1,5.365706,"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation",SNV,layer_2,5.365706
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,SNV,layer_1,5.365706,Neurotransmitter uptake and metabolism In glial cells,SNV,layer_2,5.365706
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,SNV,layer_1,5.365706,tRNA processing in the mitochondrion,SNV,layer_2,5.365706
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,SNV,layer_1,5.365706,Signaling by Hippo,SNV,layer_2,5.365706
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,SNV,layer_1,5.365706,mRNA decay by 3' to 5' exoribonuclease,SNV,layer_2,5.365706
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,SNV,layer_1,5.365706,FASTK family proteins regulate processing and stability of mitochondrial RNAs,SNV,layer_2,5.365706
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,SNV,layer_1,5.365706,Neurotransmitter receptors and postsynaptic signal transmission,SNV,layer_2,5.365706
Type I hemidesmosome assembly,SNV,layer_1,5.1374965,Signaling by Hippo,SNV,layer_2,5.1374965
Type I hemidesmosome assembly,SNV,layer_1,5.1374965,mRNA decay by 3' to 5' exoribonuclease,SNV,layer_2,5.1374965
Type I hemidesmosome assembly,SNV,layer_1,5.1374965,Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) bind RNA,SNV,layer_2,5.1374965
Type I hemidesmosome assembly,SNV,layer_1,5.1374965,"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation",SNV,layer_2,5.1374965
Type I hemidesmosome assembly,SNV,layer_1,5.1374965,Neurotransmitter receptors and postsynaptic signal transmission,SNV,layer_2,5.1374965
Type I hemidesmosome assembly,SNV,layer_1,5.1374965,FASTK family proteins regulate processing and stability of mitochondrial RNAs,SNV,layer_2,5.1374965
Type I hemidesmosome assembly,SNV,layer_1,5.1374965,tRNA processing in the mitochondrion,SNV,layer_2,5.1374965
Type I hemidesmosome assembly,SNV,layer_1,5.1374965,Neurotransmitter uptake and metabolism In glial cells,SNV,layer_2,5.1374965
Type I hemidesmosome assembly,SNV,layer_1,5.1374965,Aflatoxin activation and detoxification,SNV,layer_2,5.1374965
Type I hemidesmosome assembly,SNV,layer_1,5.1374965,Collagen biosynthesis and modifying enzymes,SNV,layer_2,5.1374965
Antagonism of Activin by Follistatin,SNV,layer_1,4.515871,Neurotransmitter receptors and postsynaptic signal transmission,SNV,layer_2,4.515871
