Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
AKT phosphorylates targets in the cytosol,CNV,layer_1,13.475426,Signaling by VEGF,CNV,layer_2,13.475426
AKT phosphorylates targets in the cytosol,CNV,layer_1,13.475426,Signaling by NOTCH3,CNV,layer_2,13.475426
AKT phosphorylates targets in the cytosol,CNV,layer_1,13.475426,Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA,CNV,layer_2,13.475426
AKT phosphorylates targets in the cytosol,CNV,layer_1,13.475426,Signaling by EGFR,CNV,layer_2,13.475426
AKT phosphorylates targets in the cytosol,CNV,layer_1,13.475426,Signaling by NTRKs,CNV,layer_2,13.475426
Downregulation of ERBB2 signaling,mrna,layer_1,5.5115533,Collagen biosynthesis and modifying enzymes,mrna,layer_2,5.5115533
Downregulation of ERBB2 signaling,mrna,layer_1,5.5115533,"tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis",mrna,layer_2,5.5115533
Downregulation of ERBB2 signaling,mrna,layer_1,5.5115533,Aflatoxin activation and detoxification,mrna,layer_2,5.5115533
Downregulation of ERBB2 signaling,mrna,layer_1,5.5115533,ROS and RNS production in phagocytes,mrna,layer_2,5.5115533
Downregulation of ERBB2 signaling,mrna,layer_1,5.5115533,SRP-dependent cotranslational protein targeting to membrane,mrna,layer_2,5.5115533
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,SNV,layer_1,5.365706,Aflatoxin activation and detoxification,SNV,layer_2,5.365706
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,SNV,layer_1,5.365706,Signaling by Hippo,SNV,layer_2,5.365706
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,SNV,layer_1,5.365706,mRNA decay by 3' to 5' exoribonuclease,SNV,layer_2,5.365706
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,SNV,layer_1,5.365706,Collagen biosynthesis and modifying enzymes,SNV,layer_2,5.365706
Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,SNV,layer_1,5.365706,Neurotransmitter receptors and postsynaptic signal transmission,SNV,layer_2,5.365706
Type I hemidesmosome assembly,SNV,layer_1,5.1374965,Aflatoxin activation and detoxification,SNV,layer_2,5.1374965
Type I hemidesmosome assembly,SNV,layer_1,5.1374965,Collagen biosynthesis and modifying enzymes,SNV,layer_2,5.1374965
