Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
Downregulation of ERBB2 signaling,mrna,layer_1,5.5115533,Degradation of beta-catenin by the destruction complex,mrna,layer_2,5.5115533
Downregulation of ERBB2 signaling,mrna,layer_1,5.5115533,Reversal of alkylation damage by DNA dioxygenases,mrna,layer_2,5.5115533
Downregulation of ERBB2 signaling,mrna,layer_1,5.5115533,ROS and RNS production in phagocytes,mrna,layer_2,5.5115533
Downregulation of ERBB2 signaling,mrna,layer_1,5.5115533,Intraflagellar transport,mrna,layer_2,5.5115533
Downregulation of ERBB2 signaling,mrna,layer_1,5.5115533,tRNA Aminoacylation,mrna,layer_2,5.5115533
Downregulation of ERBB2 signaling,mrna,layer_1,5.5115533,Cell-extracellular matrix interactions,mrna,layer_2,5.5115533
Downregulation of ERBB2 signaling,mrna,layer_1,5.5115533,Collagen biosynthesis and modifying enzymes,mrna,layer_2,5.5115533
Downregulation of ERBB2 signaling,mrna,layer_1,5.5115533,"tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis",mrna,layer_2,5.5115533
Downregulation of ERBB2 signaling,mrna,layer_1,5.5115533,SRP-dependent cotranslational protein targeting to membrane,mrna,layer_2,5.5115533
Downregulation of ERBB2 signaling,mrna,layer_1,5.5115533,Aflatoxin activation and detoxification,mrna,layer_2,5.5115533
Acetylcholine Neurotransmitter Release Cycle,mrna,layer_1,5.135726,SRP-dependent cotranslational protein targeting to membrane,mrna,layer_2,5.135726
Acetylcholine Neurotransmitter Release Cycle,mrna,layer_1,5.135726,Aflatoxin activation and detoxification,mrna,layer_2,5.135726
Acetylcholine Neurotransmitter Release Cycle,mrna,layer_1,5.135726,Cell-extracellular matrix interactions,mrna,layer_2,5.135726
Acetylcholine Neurotransmitter Release Cycle,mrna,layer_1,5.135726,tRNA Aminoacylation,mrna,layer_2,5.135726
Acetylcholine Neurotransmitter Release Cycle,mrna,layer_1,5.135726,ROS and RNS production in phagocytes,mrna,layer_2,5.135726
Acetylcholine Neurotransmitter Release Cycle,mrna,layer_1,5.135726,Intraflagellar transport,mrna,layer_2,5.135726
Acetylcholine Neurotransmitter Release Cycle,mrna,layer_1,5.135726,Degradation of beta-catenin by the destruction complex,mrna,layer_2,5.135726
Acetylcholine Neurotransmitter Release Cycle,mrna,layer_1,5.135726,Reversal of alkylation damage by DNA dioxygenases,mrna,layer_2,5.135726
Acetylcholine Neurotransmitter Release Cycle,mrna,layer_1,5.135726,Collagen biosynthesis and modifying enzymes,mrna,layer_2,5.135726
Acetylcholine Neurotransmitter Release Cycle,mrna,layer_1,5.135726,"tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis",mrna,layer_2,5.135726
Collagen biosynthesis and modifying enzymes,mrna,layer_2,3.9159877,Diseases of DNA repair,mrna,layer_3,3.9159877
Collagen biosynthesis and modifying enzymes,mrna,layer_2,3.9159877,Biological oxidations,mrna,layer_3,3.9159877
Collagen biosynthesis and modifying enzymes,mrna,layer_2,3.9159877,O2/CO2 exchange in erythrocytes,mrna,layer_3,3.9159877
Collagen biosynthesis and modifying enzymes,mrna,layer_2,3.9159877,Diseases of hemostasis,mrna,layer_3,3.9159877
Collagen biosynthesis and modifying enzymes,mrna,layer_2,3.9159877,Reversible hydration of carbon dioxide,mrna,layer_3,3.9159877
Collagen biosynthesis and modifying enzymes,mrna,layer_2,3.9159877,Ion channel transport,mrna,layer_3,3.9159877
Collagen biosynthesis and modifying enzymes,mrna,layer_2,3.9159877,Metabolism of porphyrins,mrna,layer_3,3.9159877
Collagen biosynthesis and modifying enzymes,mrna,layer_2,3.9159877,Metabolism of nucleotides,mrna,layer_3,3.9159877
Collagen biosynthesis and modifying enzymes,mrna,layer_2,3.9159877,RNA Polymerase II Transcription,mrna,layer_3,3.9159877
Collagen biosynthesis and modifying enzymes,mrna,layer_2,3.9159877,Diseases of the neuronal system,mrna,layer_3,3.9159877
Processing and activation of SUMO,mrna,layer_1,3.7495847,Cell-extracellular matrix interactions,mrna,layer_2,3.7495847
Processing and activation of SUMO,mrna,layer_1,3.7495847,tRNA Aminoacylation,mrna,layer_2,3.7495847
Processing and activation of SUMO,mrna,layer_1,3.7495847,SRP-dependent cotranslational protein targeting to membrane,mrna,layer_2,3.7495847
Processing and activation of SUMO,mrna,layer_1,3.7495847,Aflatoxin activation and detoxification,mrna,layer_2,3.7495847
Processing and activation of SUMO,mrna,layer_1,3.7495847,"tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis",mrna,layer_2,3.7495847
Processing and activation of SUMO,mrna,layer_1,3.7495847,Collagen biosynthesis and modifying enzymes,mrna,layer_2,3.7495847
Processing and activation of SUMO,mrna,layer_1,3.7495847,Reversal of alkylation damage by DNA dioxygenases,mrna,layer_2,3.7495847
Processing and activation of SUMO,mrna,layer_1,3.7495847,Degradation of beta-catenin by the destruction complex,mrna,layer_2,3.7495847
Processing and activation of SUMO,mrna,layer_1,3.7495847,Intraflagellar transport,mrna,layer_2,3.7495847
Processing and activation of SUMO,mrna,layer_1,3.7495847,ROS and RNS production in phagocytes,mrna,layer_2,3.7495847
Catecholamine biosynthesis,mrna,layer_1,3.3306644,ROS and RNS production in phagocytes,mrna,layer_2,3.3306644
Catecholamine biosynthesis,mrna,layer_1,3.3306644,Intraflagellar transport,mrna,layer_2,3.3306644
Catecholamine biosynthesis,mrna,layer_1,3.3306644,"tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis",mrna,layer_2,3.3306644
Catecholamine biosynthesis,mrna,layer_1,3.3306644,Collagen biosynthesis and modifying enzymes,mrna,layer_2,3.3306644
Catecholamine biosynthesis,mrna,layer_1,3.3306644,Aflatoxin activation and detoxification,mrna,layer_2,3.3306644
Catecholamine biosynthesis,mrna,layer_1,3.3306644,SRP-dependent cotranslational protein targeting to membrane,mrna,layer_2,3.3306644
Catecholamine biosynthesis,mrna,layer_1,3.3306644,Degradation of beta-catenin by the destruction complex,mrna,layer_2,3.3306644
Catecholamine biosynthesis,mrna,layer_1,3.3306644,Reversal of alkylation damage by DNA dioxygenases,mrna,layer_2,3.3306644
Catecholamine biosynthesis,mrna,layer_1,3.3306644,tRNA Aminoacylation,mrna,layer_2,3.3306644
Catecholamine biosynthesis,mrna,layer_1,3.3306644,Cell-extracellular matrix interactions,mrna,layer_2,3.3306644
Role of phospholipids in phagocytosis,mrna,layer_1,2.868753,tRNA Aminoacylation,mrna,layer_2,2.868753
Role of phospholipids in phagocytosis,mrna,layer_1,2.868753,Cell-extracellular matrix interactions,mrna,layer_2,2.868753
Role of phospholipids in phagocytosis,mrna,layer_1,2.868753,Reversal of alkylation damage by DNA dioxygenases,mrna,layer_2,2.868753
Role of phospholipids in phagocytosis,mrna,layer_1,2.868753,Degradation of beta-catenin by the destruction complex,mrna,layer_2,2.868753
Role of phospholipids in phagocytosis,mrna,layer_1,2.868753,Aflatoxin activation and detoxification,mrna,layer_2,2.868753
Role of phospholipids in phagocytosis,mrna,layer_1,2.868753,SRP-dependent cotranslational protein targeting to membrane,mrna,layer_2,2.868753
Role of phospholipids in phagocytosis,mrna,layer_1,2.868753,Collagen biosynthesis and modifying enzymes,mrna,layer_2,2.868753
Role of phospholipids in phagocytosis,mrna,layer_1,2.868753,"tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis",mrna,layer_2,2.868753
Role of phospholipids in phagocytosis,mrna,layer_1,2.868753,ROS and RNS production in phagocytes,mrna,layer_2,2.868753
Role of phospholipids in phagocytosis,mrna,layer_1,2.868753,Intraflagellar transport,mrna,layer_2,2.868753
Retinoid cycle disease events,mrna,layer_1,2.6996298,SRP-dependent cotranslational protein targeting to membrane,mrna,layer_2,2.6996298
Retinoid cycle disease events,mrna,layer_1,2.6996298,Aflatoxin activation and detoxification,mrna,layer_2,2.6996298
Retinoid cycle disease events,mrna,layer_1,2.6996298,ROS and RNS production in phagocytes,mrna,layer_2,2.6996298
Retinoid cycle disease events,mrna,layer_1,2.6996298,Intraflagellar transport,mrna,layer_2,2.6996298
Retinoid cycle disease events,mrna,layer_1,2.6996298,Collagen biosynthesis and modifying enzymes,mrna,layer_2,2.6996298
Retinoid cycle disease events,mrna,layer_1,2.6996298,"tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis",mrna,layer_2,2.6996298
Retinoid cycle disease events,mrna,layer_1,2.6996298,tRNA Aminoacylation,mrna,layer_2,2.6996298
Retinoid cycle disease events,mrna,layer_1,2.6996298,Cell-extracellular matrix interactions,mrna,layer_2,2.6996298
Retinoid cycle disease events,mrna,layer_1,2.6996298,Reversal of alkylation damage by DNA dioxygenases,mrna,layer_2,2.6996298
Retinoid cycle disease events,mrna,layer_1,2.6996298,Degradation of beta-catenin by the destruction complex,mrna,layer_2,2.6996298
Regulation of cytoskeletal remodeling and cell spreading by IPP complex components,mrna,layer_1,2.6283133,ROS and RNS production in phagocytes,mrna,layer_2,2.6283133
Regulation of cytoskeletal remodeling and cell spreading by IPP complex components,mrna,layer_1,2.6283133,Intraflagellar transport,mrna,layer_2,2.6283133
Regulation of cytoskeletal remodeling and cell spreading by IPP complex components,mrna,layer_1,2.6283133,Reversal of alkylation damage by DNA dioxygenases,mrna,layer_2,2.6283133
Regulation of cytoskeletal remodeling and cell spreading by IPP complex components,mrna,layer_1,2.6283133,Degradation of beta-catenin by the destruction complex,mrna,layer_2,2.6283133
Regulation of cytoskeletal remodeling and cell spreading by IPP complex components,mrna,layer_1,2.6283133,Cell-extracellular matrix interactions,mrna,layer_2,2.6283133
Regulation of cytoskeletal remodeling and cell spreading by IPP complex components,mrna,layer_1,2.6283133,tRNA Aminoacylation,mrna,layer_2,2.6283133
Regulation of cytoskeletal remodeling and cell spreading by IPP complex components,mrna,layer_1,2.6283133,Collagen biosynthesis and modifying enzymes,mrna,layer_2,2.6283133
Regulation of cytoskeletal remodeling and cell spreading by IPP complex components,mrna,layer_1,2.6283133,"tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis",mrna,layer_2,2.6283133
Regulation of cytoskeletal remodeling and cell spreading by IPP complex components,mrna,layer_1,2.6283133,Aflatoxin activation and detoxification,mrna,layer_2,2.6283133
Regulation of cytoskeletal remodeling and cell spreading by IPP complex components,mrna,layer_1,2.6283133,SRP-dependent cotranslational protein targeting to membrane,mrna,layer_2,2.6283133
Dissolution of Fibrin Clot,mrna,layer_1,2.4896839,"tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis",mrna,layer_2,2.4896839
Dissolution of Fibrin Clot,mrna,layer_1,2.4896839,Collagen biosynthesis and modifying enzymes,mrna,layer_2,2.4896839
Dissolution of Fibrin Clot,mrna,layer_1,2.4896839,Aflatoxin activation and detoxification,mrna,layer_2,2.4896839
Dissolution of Fibrin Clot,mrna,layer_1,2.4896839,SRP-dependent cotranslational protein targeting to membrane,mrna,layer_2,2.4896839
Dissolution of Fibrin Clot,mrna,layer_1,2.4896839,Intraflagellar transport,mrna,layer_2,2.4896839
Dissolution of Fibrin Clot,mrna,layer_1,2.4896839,ROS and RNS production in phagocytes,mrna,layer_2,2.4896839
Dissolution of Fibrin Clot,mrna,layer_1,2.4896839,Reversal of alkylation damage by DNA dioxygenases,mrna,layer_2,2.4896839
Dissolution of Fibrin Clot,mrna,layer_1,2.4896839,Degradation of beta-catenin by the destruction complex,mrna,layer_2,2.4896839
Dissolution of Fibrin Clot,mrna,layer_1,2.4896839,tRNA Aminoacylation,mrna,layer_2,2.4896839
Dissolution of Fibrin Clot,mrna,layer_1,2.4896839,Cell-extracellular matrix interactions,mrna,layer_2,2.4896839
"GABA synthesis, release, reuptake and degradation",mrna,layer_1,2.4547951,"tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis",mrna,layer_2,2.4547951
"GABA synthesis, release, reuptake and degradation",mrna,layer_1,2.4547951,Collagen biosynthesis and modifying enzymes,mrna,layer_2,2.4547951
"GABA synthesis, release, reuptake and degradation",mrna,layer_1,2.4547951,SRP-dependent cotranslational protein targeting to membrane,mrna,layer_2,2.4547951
"GABA synthesis, release, reuptake and degradation",mrna,layer_1,2.4547951,Aflatoxin activation and detoxification,mrna,layer_2,2.4547951
"GABA synthesis, release, reuptake and degradation",mrna,layer_1,2.4547951,Degradation of beta-catenin by the destruction complex,mrna,layer_2,2.4547951
"GABA synthesis, release, reuptake and degradation",mrna,layer_1,2.4547951,Reversal of alkylation damage by DNA dioxygenases,mrna,layer_2,2.4547951
"GABA synthesis, release, reuptake and degradation",mrna,layer_1,2.4547951,ROS and RNS production in phagocytes,mrna,layer_2,2.4547951
"GABA synthesis, release, reuptake and degradation",mrna,layer_1,2.4547951,Intraflagellar transport,mrna,layer_2,2.4547951
"GABA synthesis, release, reuptake and degradation",mrna,layer_1,2.4547951,Cell-extracellular matrix interactions,mrna,layer_2,2.4547951
"GABA synthesis, release, reuptake and degradation",mrna,layer_1,2.4547951,tRNA Aminoacylation,mrna,layer_2,2.4547951
Reduction of cytosolic Ca++ levels,mrna,layer_1,2.441772,Reversal of alkylation damage by DNA dioxygenases,mrna,layer_2,2.441772
Reduction of cytosolic Ca++ levels,mrna,layer_1,2.441772,Degradation of beta-catenin by the destruction complex,mrna,layer_2,2.441772
Reduction of cytosolic Ca++ levels,mrna,layer_1,2.441772,Cell-extracellular matrix interactions,mrna,layer_2,2.441772
Reduction of cytosolic Ca++ levels,mrna,layer_1,2.441772,tRNA Aminoacylation,mrna,layer_2,2.441772
Reduction of cytosolic Ca++ levels,mrna,layer_1,2.441772,Intraflagellar transport,mrna,layer_2,2.441772
Reduction of cytosolic Ca++ levels,mrna,layer_1,2.441772,ROS and RNS production in phagocytes,mrna,layer_2,2.441772
Reduction of cytosolic Ca++ levels,mrna,layer_1,2.441772,SRP-dependent cotranslational protein targeting to membrane,mrna,layer_2,2.441772
Reduction of cytosolic Ca++ levels,mrna,layer_1,2.441772,Aflatoxin activation and detoxification,mrna,layer_2,2.441772
Reduction of cytosolic Ca++ levels,mrna,layer_1,2.441772,"tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis",mrna,layer_2,2.441772
Reduction of cytosolic Ca++ levels,mrna,layer_1,2.441772,Collagen biosynthesis and modifying enzymes,mrna,layer_2,2.441772
"tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis",mrna,layer_2,2.1599991,RNA Polymerase II Transcription,mrna,layer_3,2.1599991
"tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis",mrna,layer_2,2.1599991,Diseases of the neuronal system,mrna,layer_3,2.1599991
"tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis",mrna,layer_2,2.1599991,Biological oxidations,mrna,layer_3,2.1599991
"tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis",mrna,layer_2,2.1599991,Diseases of DNA repair,mrna,layer_3,2.1599991
"tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis",mrna,layer_2,2.1599991,Metabolism of nucleotides,mrna,layer_3,2.1599991
"tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis",mrna,layer_2,2.1599991,Metabolism of porphyrins,mrna,layer_3,2.1599991
"tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis",mrna,layer_2,2.1599991,Ion channel transport,mrna,layer_3,2.1599991
"tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis",mrna,layer_2,2.1599991,Reversible hydration of carbon dioxide,mrna,layer_3,2.1599991
"tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis",mrna,layer_2,2.1599991,Diseases of hemostasis,mrna,layer_3,2.1599991
"tRNA-derived small RNA (tsRNA or tRNA-related fragment, tRF) biogenesis",mrna,layer_2,2.1599991,O2/CO2 exchange in erythrocytes,mrna,layer_3,2.1599991
Aflatoxin activation and detoxification,mrna,layer_2,2.1352499,Reversible hydration of carbon dioxide,mrna,layer_3,2.1352499
Aflatoxin activation and detoxification,mrna,layer_2,2.1352499,Ion channel transport,mrna,layer_3,2.1352499
Aflatoxin activation and detoxification,mrna,layer_2,2.1352499,RNA Polymerase II Transcription,mrna,layer_3,2.1352499
Aflatoxin activation and detoxification,mrna,layer_2,2.1352499,Diseases of the neuronal system,mrna,layer_3,2.1352499
Aflatoxin activation and detoxification,mrna,layer_2,2.1352499,Biological oxidations,mrna,layer_3,2.1352499
Aflatoxin activation and detoxification,mrna,layer_2,2.1352499,Diseases of DNA repair,mrna,layer_3,2.1352499
Aflatoxin activation and detoxification,mrna,layer_2,2.1352499,Metabolism of porphyrins,mrna,layer_3,2.1352499
Aflatoxin activation and detoxification,mrna,layer_2,2.1352499,Metabolism of nucleotides,mrna,layer_3,2.1352499
Aflatoxin activation and detoxification,mrna,layer_2,2.1352499,Diseases of hemostasis,mrna,layer_3,2.1352499
Aflatoxin activation and detoxification,mrna,layer_2,2.1352499,O2/CO2 exchange in erythrocytes,mrna,layer_3,2.1352499
SRP-dependent cotranslational protein targeting to membrane,mrna,layer_2,1.720786,Diseases of the neuronal system,mrna,layer_3,1.720786
SRP-dependent cotranslational protein targeting to membrane,mrna,layer_2,1.720786,RNA Polymerase II Transcription,mrna,layer_3,1.720786
SRP-dependent cotranslational protein targeting to membrane,mrna,layer_2,1.720786,Metabolism of nucleotides,mrna,layer_3,1.720786
SRP-dependent cotranslational protein targeting to membrane,mrna,layer_2,1.720786,Metabolism of porphyrins,mrna,layer_3,1.720786
SRP-dependent cotranslational protein targeting to membrane,mrna,layer_2,1.720786,Diseases of hemostasis,mrna,layer_3,1.720786
SRP-dependent cotranslational protein targeting to membrane,mrna,layer_2,1.720786,O2/CO2 exchange in erythrocytes,mrna,layer_3,1.720786
SRP-dependent cotranslational protein targeting to membrane,mrna,layer_2,1.720786,Diseases of DNA repair,mrna,layer_3,1.720786
SRP-dependent cotranslational protein targeting to membrane,mrna,layer_2,1.720786,Biological oxidations,mrna,layer_3,1.720786
SRP-dependent cotranslational protein targeting to membrane,mrna,layer_2,1.720786,Reversible hydration of carbon dioxide,mrna,layer_3,1.720786
SRP-dependent cotranslational protein targeting to membrane,mrna,layer_2,1.720786,Ion channel transport,mrna,layer_3,1.720786
HSD3B1,mrna,input,1.7011398,Downregulation of ERBB2 signaling,mrna,layer_1,1.7011398
HSD3B1,mrna,input,1.7011398,Acetylcholine Neurotransmitter Release Cycle,mrna,layer_1,1.7011398
HSD3B1,mrna,input,1.7011398,"GABA synthesis, release, reuptake and degradation",mrna,layer_1,1.7011398
HSD3B1,mrna,input,1.7011398,Reduction of cytosolic Ca++ levels,mrna,layer_1,1.7011398
HSD3B1,mrna,input,1.7011398,Processing and activation of SUMO,mrna,layer_1,1.7011398
HSD3B1,mrna,input,1.7011398,Catecholamine biosynthesis,mrna,layer_1,1.7011398
HSD3B1,mrna,input,1.7011398,Role of phospholipids in phagocytosis,mrna,layer_1,1.7011398
HSD3B1,mrna,input,1.7011398,Retinoid cycle disease events,mrna,layer_1,1.7011398
HSD3B1,mrna,input,1.7011398,Regulation of cytoskeletal remodeling and cell spreading by IPP complex components,mrna,layer_1,1.7011398
HSD3B1,mrna,input,1.7011398,Dissolution of Fibrin Clot,mrna,layer_1,1.7011398
ROS and RNS production in phagocytes,mrna,layer_2,1.6843464,Biological oxidations,mrna,layer_3,1.6843464
ROS and RNS production in phagocytes,mrna,layer_2,1.6843464,Diseases of DNA repair,mrna,layer_3,1.6843464
ROS and RNS production in phagocytes,mrna,layer_2,1.6843464,O2/CO2 exchange in erythrocytes,mrna,layer_3,1.6843464
ROS and RNS production in phagocytes,mrna,layer_2,1.6843464,Diseases of hemostasis,mrna,layer_3,1.6843464
ROS and RNS production in phagocytes,mrna,layer_2,1.6843464,Metabolism of nucleotides,mrna,layer_3,1.6843464
ROS and RNS production in phagocytes,mrna,layer_2,1.6843464,Metabolism of porphyrins,mrna,layer_3,1.6843464
ROS and RNS production in phagocytes,mrna,layer_2,1.6843464,RNA Polymerase II Transcription,mrna,layer_3,1.6843464
ROS and RNS production in phagocytes,mrna,layer_2,1.6843464,Diseases of the neuronal system,mrna,layer_3,1.6843464
ROS and RNS production in phagocytes,mrna,layer_2,1.6843464,Ion channel transport,mrna,layer_3,1.6843464
ROS and RNS production in phagocytes,mrna,layer_2,1.6843464,Reversible hydration of carbon dioxide,mrna,layer_3,1.6843464
