id,name,layer,omics,importance
CNV_layer_1_610,R-HSA-198323,layer_1,CNV,12.719019
CNV_layer_1_254,R-HSA-6811440,layer_1,CNV,7.601614
CNV_layer_1_32,R-HSA-9639288,layer_1,CNV,7.585529
CNV_layer_1_273,R-HSA-9667769,layer_1,CNV,7.1635475
CNV_layer_2_184,R-HSA-1268020,layer_2,CNV,7.100907
CNV_layer_1_115,R-HSA-8847993,layer_1,CNV,7.0017896
CNV_layer_1_11,R-HSA-204998,layer_1,CNV,4.5235248
CNV_layer_2_208,R-HSA-69615,layer_2,CNV,4.4516015
CNV_layer_1_271,R-HSA-73927,layer_1,CNV,4.186216
CNV_layer_2_209,R-HSA-69618,layer_2,CNV,3.7834098
CNV_layer_2_38,R-HSA-1227986,layer_2,CNV,3.6448824
CNV_layer_1_19,R-HSA-210744,layer_1,CNV,3.3468125
CNV_layer_1_119,R-HSA-9670095,layer_1,CNV,3.203757
CNV_layer_1_372,R-HSA-186763,layer_1,CNV,2.9151173
CNV_layer_3_13,R-HSA-983712,layer_3,CNV,2.6784925
CNV_layer_2_331,R-HSA-5576894,layer_2,CNV,2.4762864
CNV_layer_2_32,R-HSA-211945,layer_2,CNV,2.2816525
CNV_layer_2_94,R-HSA-9711123,layer_2,CNV,2.035798
CNV_layer_2_243,R-HSA-1592389,layer_2,CNV,1.892169
CNV_layer_2_9,R-HSA-112308,layer_2,CNV,1.8721968
CNV_layer_2_21,R-HSA-9748787,layer_2,CNV,1.5242026
CNV_layer_3_2,R-HSA-1500620,layer_3,CNV,1.4412332
CNV_layer_3_5,R-HSA-174824,layer_3,CNV,1.1448022
CNV_layer_3_150,R-HSA-9613829,layer_3,CNV,0.96052957
CNV_layer_3_35,R-HSA-212165,layer_3,CNV,0.8271499
CNV_input_1465,CLEC4G,input,CNV,0.7992292
CNV_input_8350,STXBP2,input,CNV,0.7983854
CNV_input_4660,MCEMP1,input,CNV,0.7983854
CNV_input_6167,PCP2,input,CNV,0.7983854
CNV_input_6250,PET100,input,CNV,0.7983854
CNV_input_8873,TRAPPC5,input,CNV,0.7983854
CNV_input_9436,XAB2,input,CNV,0.7983854
CNV_input_2678,FCER2,input,CNV,0.7983854
CNV_input_7136,RETN,input,CNV,0.7983854
CNV_input_167,ADGRE1,input,CNV,0.79778963
CNV_layer_3_114,R-HSA-5663205,layer_3,CNV,0.6643886
CNV_layer_3_118,R-HSA-9675135,layer_3,CNV,0.66431427
CNV_layer_3_45,R-HSA-196854,layer_3,CNV,0.6489928
CNV_layer_3_10,R-HSA-8949215,layer_3,CNV,0.6340768
CNV_layer_4_20,R-HSA-73894,layer_4,CNV,0.6029624
CNV_layer_3_142,R-HSA-9006335,layer_3,CNV,0.5698218
CNV_layer_4_15,R-HSA-400253,layer_4,CNV,0.49660355
CNV_layer_4_21,R-HSA-74160,layer_4,CNV,0.13292941
CNV_layer_4_5,R-HSA-1474244,layer_4,CNV,0.078083746
CNV_layer_4_16,R-HSA-4839726,layer_4,CNV,0.06785825
CNV_layer_4_2,R-HSA-1266738,layer_4,CNV,0.019667728
CNV_layer_4_8,R-HSA-1640170,layer_4,CNV,0.0133183105
CNV_layer_4_22,R-HSA-8953854,layer_4,CNV,0.013167203
CNV_layer_4_26,R-HSA-9612973,layer_4,CNV,0.012001714
CNV_layer_4_1,R-HSA-112316,layer_4,CNV,0.009994839
