id,name,layer,omics,importance
SNV_layer_3_32,R-HSA-69002,layer_3,SNV,8.552235
SNV_layer_1_11,R-HSA-204998,layer_1,SNV,4.7018595
SNV_layer_2_86,R-HSA-1234174,layer_2,SNV,3.9038103
SNV_layer_1_249,R-HSA-5389840,layer_1,SNV,3.1224267
SNV_layer_1_180,R-HSA-351143,layer_1,SNV,3.0693927
SNV_layer_1_179,R-HSA-350562,layer_1,SNV,2.8736591
SNV_layer_2_87,R-HSA-2559583,layer_2,SNV,2.8264062
SNV_layer_1_231,R-HSA-75205,layer_1,SNV,2.6448452
SNV_layer_4_3,R-HSA-1430728,layer_4,SNV,2.416043
SNV_layer_3_17,R-HSA-73884,layer_3,SNV,2.287638
SNV_layer_1_168,R-HSA-3371497,layer_1,SNV,2.2330525
SNV_layer_3_44,R-HSA-189445,layer_3,SNV,2.2248077
SNV_layer_1_19,R-HSA-210744,layer_1,SNV,2.153466
SNV_layer_3_40,R-HSA-1475029,layer_3,SNV,2.129928
SNV_layer_1_395,R-HSA-1606322,layer_1,SNV,1.9314581
SNV_layer_1_54,R-HSA-9634815,layer_1,SNV,1.87736
SNV_layer_1_29,R-HSA-5658034,layer_1,SNV,1.8404098
SNV_layer_3_57,R-HSA-446728,layer_3,SNV,1.7747111
SNV_layer_2_403,R-HSA-5676934,layer_2,SNV,1.7100661
SNV_layer_2_152,R-HSA-388841,layer_2,SNV,1.6723665
SNV_layer_3_13,R-HSA-983712,layer_3,SNV,1.5277139
SNV_layer_2_320,R-HSA-9680350,layer_2,SNV,1.5027369
SNV_layer_2_116,R-HSA-5578749,layer_2,SNV,1.4516683
SNV_layer_2_391,R-HSA-5173105,layer_2,SNV,1.3597305
SNV_layer_2_46,R-HSA-194138,layer_2,SNV,1.3266171
SNV_layer_2_33,R-HSA-211945,layer_2,SNV,1.2680371
SNV_layer_2_358,R-HSA-140875,layer_2,SNV,1.254468
SNV_input_8223,TP53,input,SNV,0.9093888
SNV_input_8408,TTN,input,SNV,0.9017182
SNV_input_4774,MUC16,input,SNV,0.87839246
SNV_input_6981,RYR2,input,SNV,0.8547991
SNV_layer_3_20,R-HSA-109581,layer_3,SNV,0.82667017
SNV_input_7657,SPTA1,input,SNV,0.77065295
SNV_input_4037,KRAS,input,SNV,0.7652671
SNV_input_8784,XIRP2,input,SNV,0.75296396
SNV_input_2582,FLG,input,SNV,0.74006325
SNV_input_1456,COL11A1,input,SNV,0.7073909
SNV_input_339,ANK2,input,SNV,0.7038414
SNV_layer_3_31,R-HSA-2173782,layer_3,SNV,0.66011107
SNV_layer_3_28,R-HSA-3000178,layer_3,SNV,0.65772176
SNV_layer_3_48,R-HSA-2564830,layer_3,SNV,0.6386781
SNV_layer_4_23,R-HSA-8953897,layer_4,SNV,0.45347586
SNV_layer_4_2,R-HSA-1266738,layer_4,SNV,0.2495715
SNV_layer_4_4,R-HSA-1474165,layer_4,SNV,0.17558505
SNV_layer_4_12,R-HSA-382551,layer_4,SNV,0.12291915
SNV_layer_4_24,R-HSA-8963743,layer_4,SNV,0.08675214
SNV_layer_4_18,R-HSA-5653656,layer_4,SNV,0.07429133
SNV_layer_4_7,R-HSA-162582,layer_4,SNV,0.07337141
SNV_layer_4_9,R-HSA-1643685,layer_4,SNV,0.03532173
SNV_layer_4_5,R-HSA-1474244,layer_4,SNV,0.012968224
