Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
R-HSA-69002,SNV,layer_3,8.552235,R-HSA-8963743,SNV,layer_4,8.552235
R-HSA-69002,SNV,layer_3,8.552235,R-HSA-162582,SNV,layer_4,8.552235
R-HSA-69002,SNV,layer_3,8.552235,R-HSA-1643685,SNV,layer_4,8.552235
R-HSA-69002,SNV,layer_3,8.552235,R-HSA-1474244,SNV,layer_4,8.552235
R-HSA-69002,SNV,layer_3,8.552235,R-HSA-1474165,SNV,layer_4,8.552235
R-HSA-69002,SNV,layer_3,8.552235,R-HSA-1266738,SNV,layer_4,8.552235
R-HSA-69002,SNV,layer_3,8.552235,R-HSA-8953897,SNV,layer_4,8.552235
R-HSA-69002,SNV,layer_3,8.552235,R-HSA-1430728,SNV,layer_4,8.552235
R-HSA-69002,SNV,layer_3,8.552235,R-HSA-5653656,SNV,layer_4,8.552235
R-HSA-69002,SNV,layer_3,8.552235,R-HSA-382551,SNV,layer_4,8.552235
R-HSA-204998,SNV,layer_1,4.7018595,R-HSA-211945,SNV,layer_2,4.7018595
R-HSA-204998,SNV,layer_1,4.7018595,R-HSA-140875,SNV,layer_2,4.7018595
R-HSA-204998,SNV,layer_1,4.7018595,R-HSA-194138,SNV,layer_2,4.7018595
R-HSA-204998,SNV,layer_1,4.7018595,R-HSA-5676934,SNV,layer_2,4.7018595
R-HSA-204998,SNV,layer_1,4.7018595,R-HSA-388841,SNV,layer_2,4.7018595
R-HSA-204998,SNV,layer_1,4.7018595,R-HSA-5173105,SNV,layer_2,4.7018595
R-HSA-204998,SNV,layer_1,4.7018595,R-HSA-5578749,SNV,layer_2,4.7018595
R-HSA-204998,SNV,layer_1,4.7018595,R-HSA-2559583,SNV,layer_2,4.7018595
R-HSA-204998,SNV,layer_1,4.7018595,R-HSA-9680350,SNV,layer_2,4.7018595
R-HSA-204998,SNV,layer_1,4.7018595,R-HSA-1234174,SNV,layer_2,4.7018595
R-HSA-1234174,SNV,layer_2,3.9038103,R-HSA-189445,SNV,layer_3,3.9038103
R-HSA-1234174,SNV,layer_2,3.9038103,R-HSA-1475029,SNV,layer_3,3.9038103
R-HSA-1234174,SNV,layer_2,3.9038103,R-HSA-2564830,SNV,layer_3,3.9038103
R-HSA-1234174,SNV,layer_2,3.9038103,R-HSA-73884,SNV,layer_3,3.9038103
R-HSA-1234174,SNV,layer_2,3.9038103,R-HSA-69002,SNV,layer_3,3.9038103
R-HSA-1234174,SNV,layer_2,3.9038103,R-HSA-446728,SNV,layer_3,3.9038103
R-HSA-1234174,SNV,layer_2,3.9038103,R-HSA-2173782,SNV,layer_3,3.9038103
R-HSA-1234174,SNV,layer_2,3.9038103,R-HSA-3000178,SNV,layer_3,3.9038103
R-HSA-1234174,SNV,layer_2,3.9038103,R-HSA-983712,SNV,layer_3,3.9038103
R-HSA-1234174,SNV,layer_2,3.9038103,R-HSA-109581,SNV,layer_3,3.9038103
R-HSA-5389840,SNV,layer_1,3.1224267,R-HSA-9680350,SNV,layer_2,3.1224267
R-HSA-5389840,SNV,layer_1,3.1224267,R-HSA-5173105,SNV,layer_2,3.1224267
R-HSA-5389840,SNV,layer_1,3.1224267,R-HSA-5578749,SNV,layer_2,3.1224267
R-HSA-5389840,SNV,layer_1,3.1224267,R-HSA-5676934,SNV,layer_2,3.1224267
R-HSA-5389840,SNV,layer_1,3.1224267,R-HSA-388841,SNV,layer_2,3.1224267
R-HSA-5389840,SNV,layer_1,3.1224267,R-HSA-1234174,SNV,layer_2,3.1224267
R-HSA-5389840,SNV,layer_1,3.1224267,R-HSA-194138,SNV,layer_2,3.1224267
R-HSA-5389840,SNV,layer_1,3.1224267,R-HSA-2559583,SNV,layer_2,3.1224267
R-HSA-5389840,SNV,layer_1,3.1224267,R-HSA-211945,SNV,layer_2,3.1224267
R-HSA-5389840,SNV,layer_1,3.1224267,R-HSA-140875,SNV,layer_2,3.1224267
R-HSA-351143,SNV,layer_1,3.0693927,R-HSA-194138,SNV,layer_2,3.0693927
R-HSA-351143,SNV,layer_1,3.0693927,R-HSA-5173105,SNV,layer_2,3.0693927
R-HSA-351143,SNV,layer_1,3.0693927,R-HSA-5578749,SNV,layer_2,3.0693927
R-HSA-351143,SNV,layer_1,3.0693927,R-HSA-9680350,SNV,layer_2,3.0693927
R-HSA-351143,SNV,layer_1,3.0693927,R-HSA-388841,SNV,layer_2,3.0693927
R-HSA-351143,SNV,layer_1,3.0693927,R-HSA-5676934,SNV,layer_2,3.0693927
R-HSA-351143,SNV,layer_1,3.0693927,R-HSA-2559583,SNV,layer_2,3.0693927
R-HSA-351143,SNV,layer_1,3.0693927,R-HSA-1234174,SNV,layer_2,3.0693927
R-HSA-351143,SNV,layer_1,3.0693927,R-HSA-211945,SNV,layer_2,3.0693927
R-HSA-351143,SNV,layer_1,3.0693927,R-HSA-140875,SNV,layer_2,3.0693927
R-HSA-350562,SNV,layer_1,2.8736591,R-HSA-5173105,SNV,layer_2,2.8736591
R-HSA-350562,SNV,layer_1,2.8736591,R-HSA-194138,SNV,layer_2,2.8736591
R-HSA-350562,SNV,layer_1,2.8736591,R-HSA-2559583,SNV,layer_2,2.8736591
R-HSA-350562,SNV,layer_1,2.8736591,R-HSA-1234174,SNV,layer_2,2.8736591
R-HSA-350562,SNV,layer_1,2.8736591,R-HSA-140875,SNV,layer_2,2.8736591
R-HSA-350562,SNV,layer_1,2.8736591,R-HSA-211945,SNV,layer_2,2.8736591
R-HSA-350562,SNV,layer_1,2.8736591,R-HSA-5578749,SNV,layer_2,2.8736591
R-HSA-350562,SNV,layer_1,2.8736591,R-HSA-9680350,SNV,layer_2,2.8736591
R-HSA-350562,SNV,layer_1,2.8736591,R-HSA-5676934,SNV,layer_2,2.8736591
R-HSA-350562,SNV,layer_1,2.8736591,R-HSA-388841,SNV,layer_2,2.8736591
R-HSA-2559583,SNV,layer_2,2.8264062,R-HSA-446728,SNV,layer_3,2.8264062
R-HSA-2559583,SNV,layer_2,2.8264062,R-HSA-983712,SNV,layer_3,2.8264062
R-HSA-2559583,SNV,layer_2,2.8264062,R-HSA-189445,SNV,layer_3,2.8264062
R-HSA-2559583,SNV,layer_2,2.8264062,R-HSA-1475029,SNV,layer_3,2.8264062
R-HSA-2559583,SNV,layer_2,2.8264062,R-HSA-69002,SNV,layer_3,2.8264062
R-HSA-2559583,SNV,layer_2,2.8264062,R-HSA-73884,SNV,layer_3,2.8264062
R-HSA-2559583,SNV,layer_2,2.8264062,R-HSA-2173782,SNV,layer_3,2.8264062
R-HSA-2559583,SNV,layer_2,2.8264062,R-HSA-109581,SNV,layer_3,2.8264062
R-HSA-2559583,SNV,layer_2,2.8264062,R-HSA-3000178,SNV,layer_3,2.8264062
R-HSA-2559583,SNV,layer_2,2.8264062,R-HSA-2564830,SNV,layer_3,2.8264062
R-HSA-75205,SNV,layer_1,2.6448452,R-HSA-194138,SNV,layer_2,2.6448452
R-HSA-75205,SNV,layer_1,2.6448452,R-HSA-5173105,SNV,layer_2,2.6448452
R-HSA-75205,SNV,layer_1,2.6448452,R-HSA-388841,SNV,layer_2,2.6448452
R-HSA-75205,SNV,layer_1,2.6448452,R-HSA-5676934,SNV,layer_2,2.6448452
R-HSA-75205,SNV,layer_1,2.6448452,R-HSA-2559583,SNV,layer_2,2.6448452
R-HSA-75205,SNV,layer_1,2.6448452,R-HSA-1234174,SNV,layer_2,2.6448452
R-HSA-75205,SNV,layer_1,2.6448452,R-HSA-211945,SNV,layer_2,2.6448452
R-HSA-75205,SNV,layer_1,2.6448452,R-HSA-140875,SNV,layer_2,2.6448452
R-HSA-75205,SNV,layer_1,2.6448452,R-HSA-9680350,SNV,layer_2,2.6448452
R-HSA-75205,SNV,layer_1,2.6448452,R-HSA-5578749,SNV,layer_2,2.6448452
R-HSA-73884,SNV,layer_3,2.287638,R-HSA-8963743,SNV,layer_4,2.287638
R-HSA-73884,SNV,layer_3,2.287638,R-HSA-382551,SNV,layer_4,2.287638
R-HSA-73884,SNV,layer_3,2.287638,R-HSA-1474244,SNV,layer_4,2.287638
R-HSA-73884,SNV,layer_3,2.287638,R-HSA-1643685,SNV,layer_4,2.287638
R-HSA-73884,SNV,layer_3,2.287638,R-HSA-5653656,SNV,layer_4,2.287638
R-HSA-73884,SNV,layer_3,2.287638,R-HSA-162582,SNV,layer_4,2.287638
R-HSA-73884,SNV,layer_3,2.287638,R-HSA-1430728,SNV,layer_4,2.287638
R-HSA-73884,SNV,layer_3,2.287638,R-HSA-8953897,SNV,layer_4,2.287638
R-HSA-73884,SNV,layer_3,2.287638,R-HSA-1266738,SNV,layer_4,2.287638
R-HSA-73884,SNV,layer_3,2.287638,R-HSA-1474165,SNV,layer_4,2.287638
R-HSA-3371497,SNV,layer_1,2.2330525,R-HSA-1234174,SNV,layer_2,2.2330525
R-HSA-3371497,SNV,layer_1,2.2330525,R-HSA-2559583,SNV,layer_2,2.2330525
R-HSA-3371497,SNV,layer_1,2.2330525,R-HSA-140875,SNV,layer_2,2.2330525
R-HSA-3371497,SNV,layer_1,2.2330525,R-HSA-211945,SNV,layer_2,2.2330525
R-HSA-3371497,SNV,layer_1,2.2330525,R-HSA-194138,SNV,layer_2,2.2330525
R-HSA-3371497,SNV,layer_1,2.2330525,R-HSA-5173105,SNV,layer_2,2.2330525
R-HSA-3371497,SNV,layer_1,2.2330525,R-HSA-5578749,SNV,layer_2,2.2330525
R-HSA-3371497,SNV,layer_1,2.2330525,R-HSA-9680350,SNV,layer_2,2.2330525
R-HSA-3371497,SNV,layer_1,2.2330525,R-HSA-388841,SNV,layer_2,2.2330525
R-HSA-3371497,SNV,layer_1,2.2330525,R-HSA-5676934,SNV,layer_2,2.2330525
R-HSA-189445,SNV,layer_3,2.2248077,R-HSA-1474165,SNV,layer_4,2.2248077
R-HSA-189445,SNV,layer_3,2.2248077,R-HSA-1430728,SNV,layer_4,2.2248077
