id,name,layer,omics,importance
CNV_layer_1_610,R-HSA-198323,layer_1,CNV,12.719019
mrna_layer_1_86,R-HSA-156902,layer_1,mrna,9.755493
mrna_layer_1_11,R-HSA-204998,layer_1,mrna,9.268203
mrna_layer_1_4,R-HSA-264642,layer_1,mrna,8.956236
mrna_layer_2_125,R-HSA-5368287,layer_2,mrna,8.768768
SNV_layer_3_32,R-HSA-69002,layer_3,SNV,8.552235
mrna_layer_1_189,R-HSA-418555,layer_1,mrna,8.451381
mrna_layer_1_619,R-HSA-2028269,layer_1,mrna,7.7498856
CNV_layer_1_254,R-HSA-6811440,layer_1,CNV,7.601614
CNV_layer_1_32,R-HSA-9639288,layer_1,CNV,7.585529
CNV_layer_1_273,R-HSA-9667769,layer_1,CNV,7.1635475
CNV_layer_2_184,R-HSA-1268020,layer_2,CNV,7.100907
CNV_layer_1_115,R-HSA-8847993,layer_1,CNV,7.0017896
mrna_layer_2_45,R-HSA-190236,layer_2,mrna,5.3198357
SNV_layer_1_11,R-HSA-204998,layer_1,SNV,4.7018595
CNV_layer_2_208,R-HSA-69615,layer_2,CNV,4.4516015
SNV_layer_2_86,R-HSA-1234174,layer_2,SNV,3.9038103
CNV_layer_2_209,R-HSA-69618,layer_2,CNV,3.7834098
CNV_layer_2_38,R-HSA-1227986,layer_2,CNV,3.6448824
mrna_layer_2_40,R-HSA-1236394,layer_2,mrna,3.2972925
mrna_layer_2_73,R-HSA-2892245,layer_2,mrna,3.23259
SNV_layer_1_249,R-HSA-5389840,layer_1,SNV,3.1224267
SNV_layer_1_180,R-HSA-351143,layer_1,SNV,3.0693927
SNV_layer_1_179,R-HSA-350562,layer_1,SNV,2.8736591
SNV_layer_2_87,R-HSA-2559583,layer_2,SNV,2.8264062
mrna_layer_3_111,R-HSA-168249,layer_3,mrna,2.7005868
CNV_layer_3_13,R-HSA-983712,layer_3,CNV,2.6784925
SNV_layer_1_231,R-HSA-75205,layer_1,SNV,2.6448452
mrna_layer_2_295,R-HSA-199992,layer_2,mrna,2.6200352
CNV_layer_2_331,R-HSA-5576894,layer_2,CNV,2.4762864
SNV_layer_4_3,R-HSA-1430728,layer_4,SNV,2.416043
SNV_layer_3_17,R-HSA-73884,layer_3,SNV,2.287638
SNV_layer_3_44,R-HSA-189445,layer_3,SNV,2.2248077
SNV_layer_3_40,R-HSA-1475029,layer_3,SNV,2.129928
SNV_layer_3_57,R-HSA-446728,layer_3,SNV,1.7747111
SNV_layer_2_403,R-HSA-5676934,layer_2,SNV,1.7100661
SNV_layer_2_152,R-HSA-388841,layer_2,SNV,1.6723665
SNV_layer_2_320,R-HSA-9680350,layer_2,SNV,1.5027369
CNV_layer_3_2,R-HSA-1500620,layer_3,CNV,1.4412332
CNV_layer_3_5,R-HSA-174824,layer_3,CNV,1.1448022
CNV_layer_3_150,R-HSA-9613829,layer_3,CNV,0.96052957
mrna_input_7667,RPS4Y1,input,mrna,0.93352044
mrna_input_3438,GSTM1,input,mrna,0.9177601
mrna_layer_3_24,R-HSA-1566948,layer_3,mrna,0.91622835
SNV_input_8223,TP53,input,SNV,0.9093888
mrna_layer_3_7,R-HSA-425407,layer_3,mrna,0.9091531
SNV_input_8408,TTN,input,SNV,0.9017182
mrna_input_1509,CLDN10,input,mrna,0.88517916
SNV_input_4774,MUC16,input,SNV,0.87839246
mrna_input_4297,KDM5D,input,mrna,0.87311095
mrna_input_9617,UTY,input,mrna,0.87271327
SNV_input_6981,RYR2,input,SNV,0.8547991
mrna_layer_3_29,R-HSA-8941237,layer_3,mrna,0.8486458
CNV_layer_3_35,R-HSA-212165,layer_3,CNV,0.8271499
CNV_input_1465,CLEC4G,input,CNV,0.7992292
CNV_input_8350,STXBP2,input,CNV,0.7983854
CNV_input_6167,PCP2,input,CNV,0.7983854
CNV_input_6250,PET100,input,CNV,0.7983854
CNV_input_4660,MCEMP1,input,CNV,0.7983854
mrna_layer_3_132,R-HSA-9836573,layer_3,mrna,0.79652244
SNV_input_7657,SPTA1,input,SNV,0.77065295
CNV_layer_4_20,R-HSA-73894,layer_4,CNV,0.6029624
CNV_layer_4_15,R-HSA-400253,layer_4,CNV,0.49660355
SNV_layer_4_23,R-HSA-8953897,layer_4,SNV,0.45347586
SNV_layer_4_2,R-HSA-1266738,layer_4,SNV,0.2495715
mrna_layer_4_12,R-HSA-382551,layer_4,mrna,0.23859164
SNV_layer_4_4,R-HSA-1474165,layer_4,SNV,0.17558505
CNV_layer_4_21,R-HSA-74160,layer_4,CNV,0.13292941
SNV_layer_4_12,R-HSA-382551,layer_4,SNV,0.12291915
mrna_layer_4_6,R-HSA-1500931,layer_4,mrna,0.11923473
mrna_layer_4_24,R-HSA-8963743,layer_4,mrna,0.10740081
CNV_layer_4_5,R-HSA-1474244,layer_4,CNV,0.078083746
CNV_layer_4_16,R-HSA-4839726,layer_4,CNV,0.06785825
mrna_layer_4_11,R-HSA-1852241,layer_4,mrna,0.052591648
mrna_layer_4_3,R-HSA-1430728,layer_4,mrna,0.030185102
