Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
R-HSA-198323,CNV,layer_1,12.719019,R-HSA-1227986,CNV,layer_2,12.719019
R-HSA-198323,CNV,layer_1,12.719019,R-HSA-5576894,CNV,layer_2,12.719019
R-HSA-198323,CNV,layer_1,12.719019,R-HSA-1268020,CNV,layer_2,12.719019
R-HSA-198323,CNV,layer_1,12.719019,R-HSA-69618,CNV,layer_2,12.719019
R-HSA-198323,CNV,layer_1,12.719019,R-HSA-69615,CNV,layer_2,12.719019
R-HSA-156902,mrna,layer_1,9.755493,R-HSA-199992,mrna,layer_2,9.755493
R-HSA-156902,mrna,layer_1,9.755493,R-HSA-5368287,mrna,layer_2,9.755493
R-HSA-156902,mrna,layer_1,9.755493,R-HSA-1236394,mrna,layer_2,9.755493
R-HSA-156902,mrna,layer_1,9.755493,R-HSA-190236,mrna,layer_2,9.755493
R-HSA-156902,mrna,layer_1,9.755493,R-HSA-2892245,mrna,layer_2,9.755493
R-HSA-204998,mrna,layer_1,9.268203,R-HSA-1236394,mrna,layer_2,9.268203
R-HSA-204998,mrna,layer_1,9.268203,R-HSA-5368287,mrna,layer_2,9.268203
R-HSA-204998,mrna,layer_1,9.268203,R-HSA-199992,mrna,layer_2,9.268203
R-HSA-204998,mrna,layer_1,9.268203,R-HSA-2892245,mrna,layer_2,9.268203
R-HSA-204998,mrna,layer_1,9.268203,R-HSA-190236,mrna,layer_2,9.268203
R-HSA-264642,mrna,layer_1,8.956236,R-HSA-1236394,mrna,layer_2,8.956236
R-HSA-264642,mrna,layer_1,8.956236,R-HSA-199992,mrna,layer_2,8.956236
R-HSA-264642,mrna,layer_1,8.956236,R-HSA-190236,mrna,layer_2,8.956236
R-HSA-264642,mrna,layer_1,8.956236,R-HSA-2892245,mrna,layer_2,8.956236
R-HSA-264642,mrna,layer_1,8.956236,R-HSA-5368287,mrna,layer_2,8.956236
R-HSA-5368287,mrna,layer_2,8.768768,R-HSA-168249,mrna,layer_3,8.768768
R-HSA-5368287,mrna,layer_2,8.768768,R-HSA-9836573,mrna,layer_3,8.768768
R-HSA-5368287,mrna,layer_2,8.768768,R-HSA-8941237,mrna,layer_3,8.768768
R-HSA-5368287,mrna,layer_2,8.768768,R-HSA-425407,mrna,layer_3,8.768768
R-HSA-5368287,mrna,layer_2,8.768768,R-HSA-1566948,mrna,layer_3,8.768768
R-HSA-69002,SNV,layer_3,8.552235,R-HSA-1430728,SNV,layer_4,8.552235
R-HSA-69002,SNV,layer_3,8.552235,R-HSA-8953897,SNV,layer_4,8.552235
R-HSA-69002,SNV,layer_3,8.552235,R-HSA-1266738,SNV,layer_4,8.552235
R-HSA-69002,SNV,layer_3,8.552235,R-HSA-1474165,SNV,layer_4,8.552235
R-HSA-69002,SNV,layer_3,8.552235,R-HSA-382551,SNV,layer_4,8.552235
R-HSA-418555,mrna,layer_1,8.451381,R-HSA-2892245,mrna,layer_2,8.451381
R-HSA-418555,mrna,layer_1,8.451381,R-HSA-1236394,mrna,layer_2,8.451381
R-HSA-418555,mrna,layer_1,8.451381,R-HSA-199992,mrna,layer_2,8.451381
R-HSA-418555,mrna,layer_1,8.451381,R-HSA-5368287,mrna,layer_2,8.451381
R-HSA-418555,mrna,layer_1,8.451381,R-HSA-190236,mrna,layer_2,8.451381
R-HSA-2028269,mrna,layer_1,7.7498856,R-HSA-1236394,mrna,layer_2,7.7498856
R-HSA-2028269,mrna,layer_1,7.7498856,R-HSA-5368287,mrna,layer_2,7.7498856
R-HSA-2028269,mrna,layer_1,7.7498856,R-HSA-2892245,mrna,layer_2,7.7498856
R-HSA-2028269,mrna,layer_1,7.7498856,R-HSA-199992,mrna,layer_2,7.7498856
R-HSA-2028269,mrna,layer_1,7.7498856,R-HSA-190236,mrna,layer_2,7.7498856
R-HSA-6811440,CNV,layer_1,7.601614,R-HSA-69618,CNV,layer_2,7.601614
R-HSA-6811440,CNV,layer_1,7.601614,R-HSA-69615,CNV,layer_2,7.601614
R-HSA-6811440,CNV,layer_1,7.601614,R-HSA-1268020,CNV,layer_2,7.601614
R-HSA-6811440,CNV,layer_1,7.601614,R-HSA-5576894,CNV,layer_2,7.601614
R-HSA-6811440,CNV,layer_1,7.601614,R-HSA-1227986,CNV,layer_2,7.601614
R-HSA-9639288,CNV,layer_1,7.585529,R-HSA-1268020,CNV,layer_2,7.585529
R-HSA-9639288,CNV,layer_1,7.585529,R-HSA-69615,CNV,layer_2,7.585529
R-HSA-9639288,CNV,layer_1,7.585529,R-HSA-5576894,CNV,layer_2,7.585529
R-HSA-9639288,CNV,layer_1,7.585529,R-HSA-1227986,CNV,layer_2,7.585529
R-HSA-9639288,CNV,layer_1,7.585529,R-HSA-69618,CNV,layer_2,7.585529
R-HSA-9667769,CNV,layer_1,7.1635475,R-HSA-5576894,CNV,layer_2,7.1635475
R-HSA-9667769,CNV,layer_1,7.1635475,R-HSA-1227986,CNV,layer_2,7.1635475
R-HSA-9667769,CNV,layer_1,7.1635475,R-HSA-1268020,CNV,layer_2,7.1635475
R-HSA-9667769,CNV,layer_1,7.1635475,R-HSA-69618,CNV,layer_2,7.1635475
R-HSA-9667769,CNV,layer_1,7.1635475,R-HSA-69615,CNV,layer_2,7.1635475
R-HSA-1268020,CNV,layer_2,7.100907,R-HSA-983712,CNV,layer_3,7.100907
R-HSA-1268020,CNV,layer_2,7.100907,R-HSA-174824,CNV,layer_3,7.100907
R-HSA-1268020,CNV,layer_2,7.100907,R-HSA-1500620,CNV,layer_3,7.100907
R-HSA-1268020,CNV,layer_2,7.100907,R-HSA-9613829,CNV,layer_3,7.100907
R-HSA-1268020,CNV,layer_2,7.100907,R-HSA-212165,CNV,layer_3,7.100907
R-HSA-8847993,CNV,layer_1,7.0017896,R-HSA-69618,CNV,layer_2,7.0017896
R-HSA-8847993,CNV,layer_1,7.0017896,R-HSA-1268020,CNV,layer_2,7.0017896
R-HSA-8847993,CNV,layer_1,7.0017896,R-HSA-69615,CNV,layer_2,7.0017896
R-HSA-8847993,CNV,layer_1,7.0017896,R-HSA-1227986,CNV,layer_2,7.0017896
R-HSA-8847993,CNV,layer_1,7.0017896,R-HSA-5576894,CNV,layer_2,7.0017896
R-HSA-190236,mrna,layer_2,5.3198357,R-HSA-8941237,mrna,layer_3,5.3198357
R-HSA-190236,mrna,layer_2,5.3198357,R-HSA-9836573,mrna,layer_3,5.3198357
R-HSA-190236,mrna,layer_2,5.3198357,R-HSA-1566948,mrna,layer_3,5.3198357
R-HSA-190236,mrna,layer_2,5.3198357,R-HSA-168249,mrna,layer_3,5.3198357
R-HSA-190236,mrna,layer_2,5.3198357,R-HSA-425407,mrna,layer_3,5.3198357
R-HSA-204998,SNV,layer_1,4.7018595,R-HSA-388841,SNV,layer_2,4.7018595
R-HSA-204998,SNV,layer_1,4.7018595,R-HSA-9680350,SNV,layer_2,4.7018595
R-HSA-204998,SNV,layer_1,4.7018595,R-HSA-1234174,SNV,layer_2,4.7018595
R-HSA-204998,SNV,layer_1,4.7018595,R-HSA-2559583,SNV,layer_2,4.7018595
R-HSA-204998,SNV,layer_1,4.7018595,R-HSA-5676934,SNV,layer_2,4.7018595
R-HSA-69615,CNV,layer_2,4.4516015,R-HSA-1500620,CNV,layer_3,4.4516015
R-HSA-69615,CNV,layer_2,4.4516015,R-HSA-174824,CNV,layer_3,4.4516015
R-HSA-69615,CNV,layer_2,4.4516015,R-HSA-983712,CNV,layer_3,4.4516015
R-HSA-69615,CNV,layer_2,4.4516015,R-HSA-9613829,CNV,layer_3,4.4516015
R-HSA-69615,CNV,layer_2,4.4516015,R-HSA-212165,CNV,layer_3,4.4516015
R-HSA-1234174,SNV,layer_2,3.9038103,R-HSA-69002,SNV,layer_3,3.9038103
R-HSA-1234174,SNV,layer_2,3.9038103,R-HSA-73884,SNV,layer_3,3.9038103
R-HSA-1234174,SNV,layer_2,3.9038103,R-HSA-446728,SNV,layer_3,3.9038103
R-HSA-1234174,SNV,layer_2,3.9038103,R-HSA-1475029,SNV,layer_3,3.9038103
