id,name,layer,omics,importance
mrna_layer_1_86,R-HSA-156902,layer_1,mrna,9.755493
mrna_layer_1_11,R-HSA-204998,layer_1,mrna,9.268203
mrna_layer_1_4,R-HSA-264642,layer_1,mrna,8.956236
mrna_layer_2_125,R-HSA-5368287,layer_2,mrna,8.768768
mrna_layer_1_189,R-HSA-418555,layer_1,mrna,8.451381
mrna_layer_1_619,R-HSA-2028269,layer_1,mrna,7.7498856
mrna_layer_1_230,R-HSA-418359,layer_1,mrna,6.2880535
mrna_layer_2_45,R-HSA-190236,layer_2,mrna,5.3198357
mrna_layer_1_92,R-HSA-373080,layer_1,mrna,5.1739006
mrna_layer_1_0,R-HSA-181429,layer_1,mrna,4.546027
mrna_layer_1_5,R-HSA-888590,layer_1,mrna,4.2261114
mrna_layer_1_13,R-HSA-2473224,layer_1,mrna,4.121613
mrna_layer_2_40,R-HSA-1236394,layer_2,mrna,3.2972925
mrna_layer_2_73,R-HSA-2892245,layer_2,mrna,3.23259
mrna_layer_3_111,R-HSA-168249,layer_3,mrna,2.7005868
mrna_layer_2_295,R-HSA-199992,layer_2,mrna,2.6200352
mrna_layer_2_355,R-HSA-114508,layer_2,mrna,2.2393403
mrna_layer_2_175,R-HSA-8848584,layer_2,mrna,1.9022936
mrna_layer_2_352,R-HSA-1980143,layer_2,mrna,1.7024046
mrna_layer_2_405,R-HSA-9907900,layer_2,mrna,1.4593059
mrna_layer_2_415,R-HSA-977225,layer_2,mrna,1.3283418
mrna_input_7667,RPS4Y1,input,mrna,0.93352044
mrna_input_3438,GSTM1,input,mrna,0.9177601
mrna_layer_3_24,R-HSA-1566948,layer_3,mrna,0.91622835
mrna_layer_3_7,R-HSA-425407,layer_3,mrna,0.9091531
mrna_input_1509,CLDN10,input,mrna,0.88517916
mrna_input_4297,KDM5D,input,mrna,0.87311095
mrna_input_9617,UTY,input,mrna,0.87271327
mrna_input_3046,GALNT14,input,mrna,0.8674935
mrna_input_3897,IGF2BP3,input,mrna,0.86249244
mrna_input_5038,MMP12,input,mrna,0.8619122
mrna_input_5531,NGEF,input,mrna,0.8605345
mrna_input_757,B3GNT6,input,mrna,0.85670346
mrna_layer_3_29,R-HSA-8941237,layer_3,mrna,0.8486458
mrna_layer_3_132,R-HSA-9836573,layer_3,mrna,0.79652244
mrna_layer_3_10,R-HSA-8949215,layer_3,mrna,0.6145862
mrna_layer_3_116,R-HSA-9645723,layer_3,mrna,0.49501103
mrna_layer_3_112,R-HSA-5619115,layer_3,mrna,0.47821447
mrna_layer_3_109,R-HSA-1280215,layer_3,mrna,0.3774081
mrna_layer_3_107,R-HSA-69620,layer_3,mrna,0.3752674
mrna_layer_4_12,R-HSA-382551,layer_4,mrna,0.23859164
mrna_layer_4_6,R-HSA-1500931,layer_4,mrna,0.11923473
mrna_layer_4_24,R-HSA-8963743,layer_4,mrna,0.10740081
mrna_layer_4_11,R-HSA-1852241,layer_4,mrna,0.052591648
mrna_layer_4_3,R-HSA-1430728,layer_4,mrna,0.030185102
mrna_layer_4_21,R-HSA-74160,layer_4,mrna,0.02067429
mrna_layer_4_5,R-HSA-1474244,layer_4,mrna,0.01552825
mrna_layer_4_2,R-HSA-1266738,layer_4,mrna,0.009645545
mrna_layer_4_23,R-HSA-8953897,layer_4,mrna,0.009403242
mrna_layer_4_1,R-HSA-112316,layer_4,mrna,0.008140311
