Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
R-HSA-156902,mrna,layer_1,9.755493,R-HSA-8848584,mrna,layer_2,9.755493
R-HSA-156902,mrna,layer_1,9.755493,R-HSA-1980143,mrna,layer_2,9.755493
R-HSA-156902,mrna,layer_1,9.755493,R-HSA-9907900,mrna,layer_2,9.755493
R-HSA-156902,mrna,layer_1,9.755493,R-HSA-199992,mrna,layer_2,9.755493
R-HSA-156902,mrna,layer_1,9.755493,R-HSA-2892245,mrna,layer_2,9.755493
R-HSA-156902,mrna,layer_1,9.755493,R-HSA-114508,mrna,layer_2,9.755493
R-HSA-156902,mrna,layer_1,9.755493,R-HSA-1236394,mrna,layer_2,9.755493
R-HSA-156902,mrna,layer_1,9.755493,R-HSA-5368287,mrna,layer_2,9.755493
R-HSA-156902,mrna,layer_1,9.755493,R-HSA-977225,mrna,layer_2,9.755493
R-HSA-156902,mrna,layer_1,9.755493,R-HSA-190236,mrna,layer_2,9.755493
R-HSA-204998,mrna,layer_1,9.268203,R-HSA-199992,mrna,layer_2,9.268203
R-HSA-204998,mrna,layer_1,9.268203,R-HSA-1236394,mrna,layer_2,9.268203
R-HSA-204998,mrna,layer_1,9.268203,R-HSA-8848584,mrna,layer_2,9.268203
R-HSA-204998,mrna,layer_1,9.268203,R-HSA-114508,mrna,layer_2,9.268203
R-HSA-204998,mrna,layer_1,9.268203,R-HSA-977225,mrna,layer_2,9.268203
R-HSA-204998,mrna,layer_1,9.268203,R-HSA-1980143,mrna,layer_2,9.268203
R-HSA-204998,mrna,layer_1,9.268203,R-HSA-9907900,mrna,layer_2,9.268203
R-HSA-204998,mrna,layer_1,9.268203,R-HSA-2892245,mrna,layer_2,9.268203
R-HSA-204998,mrna,layer_1,9.268203,R-HSA-5368287,mrna,layer_2,9.268203
R-HSA-204998,mrna,layer_1,9.268203,R-HSA-190236,mrna,layer_2,9.268203
R-HSA-264642,mrna,layer_1,8.956236,R-HSA-9907900,mrna,layer_2,8.956236
R-HSA-264642,mrna,layer_1,8.956236,R-HSA-977225,mrna,layer_2,8.956236
R-HSA-264642,mrna,layer_1,8.956236,R-HSA-2892245,mrna,layer_2,8.956236
R-HSA-264642,mrna,layer_1,8.956236,R-HSA-1236394,mrna,layer_2,8.956236
R-HSA-264642,mrna,layer_1,8.956236,R-HSA-190236,mrna,layer_2,8.956236
R-HSA-264642,mrna,layer_1,8.956236,R-HSA-5368287,mrna,layer_2,8.956236
R-HSA-264642,mrna,layer_1,8.956236,R-HSA-8848584,mrna,layer_2,8.956236
R-HSA-264642,mrna,layer_1,8.956236,R-HSA-1980143,mrna,layer_2,8.956236
R-HSA-264642,mrna,layer_1,8.956236,R-HSA-114508,mrna,layer_2,8.956236
R-HSA-264642,mrna,layer_1,8.956236,R-HSA-199992,mrna,layer_2,8.956236
R-HSA-5368287,mrna,layer_2,8.768768,R-HSA-69620,mrna,layer_3,8.768768
R-HSA-5368287,mrna,layer_2,8.768768,R-HSA-168249,mrna,layer_3,8.768768
R-HSA-5368287,mrna,layer_2,8.768768,R-HSA-1280215,mrna,layer_3,8.768768
R-HSA-5368287,mrna,layer_2,8.768768,R-HSA-5619115,mrna,layer_3,8.768768
R-HSA-5368287,mrna,layer_2,8.768768,R-HSA-8949215,mrna,layer_3,8.768768
R-HSA-5368287,mrna,layer_2,8.768768,R-HSA-9645723,mrna,layer_3,8.768768
R-HSA-5368287,mrna,layer_2,8.768768,R-HSA-9836573,mrna,layer_3,8.768768
R-HSA-5368287,mrna,layer_2,8.768768,R-HSA-8941237,mrna,layer_3,8.768768
R-HSA-5368287,mrna,layer_2,8.768768,R-HSA-425407,mrna,layer_3,8.768768
R-HSA-5368287,mrna,layer_2,8.768768,R-HSA-1566948,mrna,layer_3,8.768768
R-HSA-418555,mrna,layer_1,8.451381,R-HSA-8848584,mrna,layer_2,8.451381
R-HSA-418555,mrna,layer_1,8.451381,R-HSA-1980143,mrna,layer_2,8.451381
R-HSA-418555,mrna,layer_1,8.451381,R-HSA-5368287,mrna,layer_2,8.451381
R-HSA-418555,mrna,layer_1,8.451381,R-HSA-1236394,mrna,layer_2,8.451381
R-HSA-418555,mrna,layer_1,8.451381,R-HSA-190236,mrna,layer_2,8.451381
R-HSA-418555,mrna,layer_1,8.451381,R-HSA-114508,mrna,layer_2,8.451381
R-HSA-418555,mrna,layer_1,8.451381,R-HSA-2892245,mrna,layer_2,8.451381
R-HSA-418555,mrna,layer_1,8.451381,R-HSA-199992,mrna,layer_2,8.451381
R-HSA-418555,mrna,layer_1,8.451381,R-HSA-9907900,mrna,layer_2,8.451381
R-HSA-418555,mrna,layer_1,8.451381,R-HSA-977225,mrna,layer_2,8.451381
R-HSA-2028269,mrna,layer_1,7.7498856,R-HSA-5368287,mrna,layer_2,7.7498856
R-HSA-2028269,mrna,layer_1,7.7498856,R-HSA-199992,mrna,layer_2,7.7498856
R-HSA-2028269,mrna,layer_1,7.7498856,R-HSA-114508,mrna,layer_2,7.7498856
R-HSA-2028269,mrna,layer_1,7.7498856,R-HSA-1980143,mrna,layer_2,7.7498856
R-HSA-2028269,mrna,layer_1,7.7498856,R-HSA-8848584,mrna,layer_2,7.7498856
R-HSA-2028269,mrna,layer_1,7.7498856,R-HSA-9907900,mrna,layer_2,7.7498856
R-HSA-2028269,mrna,layer_1,7.7498856,R-HSA-1236394,mrna,layer_2,7.7498856
R-HSA-2028269,mrna,layer_1,7.7498856,R-HSA-2892245,mrna,layer_2,7.7498856
R-HSA-2028269,mrna,layer_1,7.7498856,R-HSA-977225,mrna,layer_2,7.7498856
R-HSA-2028269,mrna,layer_1,7.7498856,R-HSA-190236,mrna,layer_2,7.7498856
R-HSA-418359,mrna,layer_1,6.2880535,R-HSA-2892245,mrna,layer_2,6.2880535
R-HSA-418359,mrna,layer_1,6.2880535,R-HSA-199992,mrna,layer_2,6.2880535
R-HSA-418359,mrna,layer_1,6.2880535,R-HSA-5368287,mrna,layer_2,6.2880535
R-HSA-418359,mrna,layer_1,6.2880535,R-HSA-190236,mrna,layer_2,6.2880535
R-HSA-418359,mrna,layer_1,6.2880535,R-HSA-8848584,mrna,layer_2,6.2880535
R-HSA-418359,mrna,layer_1,6.2880535,R-HSA-977225,mrna,layer_2,6.2880535
R-HSA-418359,mrna,layer_1,6.2880535,R-HSA-1980143,mrna,layer_2,6.2880535
R-HSA-418359,mrna,layer_1,6.2880535,R-HSA-9907900,mrna,layer_2,6.2880535
R-HSA-418359,mrna,layer_1,6.2880535,R-HSA-1236394,mrna,layer_2,6.2880535
R-HSA-418359,mrna,layer_1,6.2880535,R-HSA-114508,mrna,layer_2,6.2880535
R-HSA-190236,mrna,layer_2,5.3198357,R-HSA-1566948,mrna,layer_3,5.3198357
R-HSA-190236,mrna,layer_2,5.3198357,R-HSA-168249,mrna,layer_3,5.3198357
R-HSA-190236,mrna,layer_2,5.3198357,R-HSA-9836573,mrna,layer_3,5.3198357
R-HSA-190236,mrna,layer_2,5.3198357,R-HSA-8941237,mrna,layer_3,5.3198357
R-HSA-190236,mrna,layer_2,5.3198357,R-HSA-8949215,mrna,layer_3,5.3198357
R-HSA-190236,mrna,layer_2,5.3198357,R-HSA-425407,mrna,layer_3,5.3198357
R-HSA-190236,mrna,layer_2,5.3198357,R-HSA-69620,mrna,layer_3,5.3198357
R-HSA-190236,mrna,layer_2,5.3198357,R-HSA-1280215,mrna,layer_3,5.3198357
R-HSA-190236,mrna,layer_2,5.3198357,R-HSA-5619115,mrna,layer_3,5.3198357
R-HSA-190236,mrna,layer_2,5.3198357,R-HSA-9645723,mrna,layer_3,5.3198357
R-HSA-373080,mrna,layer_1,5.1739006,R-HSA-977225,mrna,layer_2,5.1739006
R-HSA-373080,mrna,layer_1,5.1739006,R-HSA-1980143,mrna,layer_2,5.1739006
R-HSA-373080,mrna,layer_1,5.1739006,R-HSA-8848584,mrna,layer_2,5.1739006
R-HSA-373080,mrna,layer_1,5.1739006,R-HSA-114508,mrna,layer_2,5.1739006
R-HSA-373080,mrna,layer_1,5.1739006,R-HSA-199992,mrna,layer_2,5.1739006
R-HSA-373080,mrna,layer_1,5.1739006,R-HSA-2892245,mrna,layer_2,5.1739006
R-HSA-373080,mrna,layer_1,5.1739006,R-HSA-1236394,mrna,layer_2,5.1739006
R-HSA-373080,mrna,layer_1,5.1739006,R-HSA-190236,mrna,layer_2,5.1739006
R-HSA-373080,mrna,layer_1,5.1739006,R-HSA-5368287,mrna,layer_2,5.1739006
R-HSA-373080,mrna,layer_1,5.1739006,R-HSA-9907900,mrna,layer_2,5.1739006
R-HSA-181429,mrna,layer_1,4.546027,R-HSA-977225,mrna,layer_2,4.546027
R-HSA-181429,mrna,layer_1,4.546027,R-HSA-8848584,mrna,layer_2,4.546027
R-HSA-181429,mrna,layer_1,4.546027,R-HSA-2892245,mrna,layer_2,4.546027
R-HSA-181429,mrna,layer_1,4.546027,R-HSA-199992,mrna,layer_2,4.546027
R-HSA-181429,mrna,layer_1,4.546027,R-HSA-114508,mrna,layer_2,4.546027
R-HSA-181429,mrna,layer_1,4.546027,R-HSA-190236,mrna,layer_2,4.546027
R-HSA-181429,mrna,layer_1,4.546027,R-HSA-1980143,mrna,layer_2,4.546027
R-HSA-181429,mrna,layer_1,4.546027,R-HSA-9907900,mrna,layer_2,4.546027
R-HSA-181429,mrna,layer_1,4.546027,R-HSA-1236394,mrna,layer_2,4.546027
R-HSA-181429,mrna,layer_1,4.546027,R-HSA-5368287,mrna,layer_2,4.546027
R-HSA-888590,mrna,layer_1,4.2261114,R-HSA-190236,mrna,layer_2,4.2261114
R-HSA-888590,mrna,layer_1,4.2261114,R-HSA-1236394,mrna,layer_2,4.2261114
R-HSA-888590,mrna,layer_1,4.2261114,R-HSA-2892245,mrna,layer_2,4.2261114
R-HSA-888590,mrna,layer_1,4.2261114,R-HSA-199992,mrna,layer_2,4.2261114
R-HSA-888590,mrna,layer_1,4.2261114,R-HSA-114508,mrna,layer_2,4.2261114
R-HSA-888590,mrna,layer_1,4.2261114,R-HSA-8848584,mrna,layer_2,4.2261114
R-HSA-888590,mrna,layer_1,4.2261114,R-HSA-9907900,mrna,layer_2,4.2261114
R-HSA-888590,mrna,layer_1,4.2261114,R-HSA-1980143,mrna,layer_2,4.2261114
R-HSA-888590,mrna,layer_1,4.2261114,R-HSA-977225,mrna,layer_2,4.2261114
R-HSA-888590,mrna,layer_1,4.2261114,R-HSA-5368287,mrna,layer_2,4.2261114
R-HSA-2473224,mrna,layer_1,4.121613,R-HSA-199992,mrna,layer_2,4.121613
R-HSA-2473224,mrna,layer_1,4.121613,R-HSA-8848584,mrna,layer_2,4.121613
R-HSA-2473224,mrna,layer_1,4.121613,R-HSA-1236394,mrna,layer_2,4.121613
R-HSA-2473224,mrna,layer_1,4.121613,R-HSA-977225,mrna,layer_2,4.121613
R-HSA-2473224,mrna,layer_1,4.121613,R-HSA-9907900,mrna,layer_2,4.121613
R-HSA-2473224,mrna,layer_1,4.121613,R-HSA-1980143,mrna,layer_2,4.121613
R-HSA-2473224,mrna,layer_1,4.121613,R-HSA-114508,mrna,layer_2,4.121613
R-HSA-2473224,mrna,layer_1,4.121613,R-HSA-5368287,mrna,layer_2,4.121613
R-HSA-2473224,mrna,layer_1,4.121613,R-HSA-190236,mrna,layer_2,4.121613
R-HSA-2473224,mrna,layer_1,4.121613,R-HSA-2892245,mrna,layer_2,4.121613
R-HSA-1236394,mrna,layer_2,3.2972925,R-HSA-69620,mrna,layer_3,3.2972925
R-HSA-1236394,mrna,layer_2,3.2972925,R-HSA-8949215,mrna,layer_3,3.2972925
R-HSA-1236394,mrna,layer_2,3.2972925,R-HSA-425407,mrna,layer_3,3.2972925
R-HSA-1236394,mrna,layer_2,3.2972925,R-HSA-8941237,mrna,layer_3,3.2972925
R-HSA-1236394,mrna,layer_2,3.2972925,R-HSA-168249,mrna,layer_3,3.2972925
R-HSA-1236394,mrna,layer_2,3.2972925,R-HSA-9836573,mrna,layer_3,3.2972925
R-HSA-1236394,mrna,layer_2,3.2972925,R-HSA-5619115,mrna,layer_3,3.2972925
R-HSA-1236394,mrna,layer_2,3.2972925,R-HSA-1280215,mrna,layer_3,3.2972925
R-HSA-1236394,mrna,layer_2,3.2972925,R-HSA-9645723,mrna,layer_3,3.2972925
R-HSA-1236394,mrna,layer_2,3.2972925,R-HSA-1566948,mrna,layer_3,3.2972925
R-HSA-2892245,mrna,layer_2,3.23259,R-HSA-1566948,mrna,layer_3,3.23259
R-HSA-2892245,mrna,layer_2,3.23259,R-HSA-168249,mrna,layer_3,3.23259
R-HSA-2892245,mrna,layer_2,3.23259,R-HSA-425407,mrna,layer_3,3.23259
R-HSA-2892245,mrna,layer_2,3.23259,R-HSA-8941237,mrna,layer_3,3.23259
R-HSA-2892245,mrna,layer_2,3.23259,R-HSA-9836573,mrna,layer_3,3.23259
R-HSA-2892245,mrna,layer_2,3.23259,R-HSA-9645723,mrna,layer_3,3.23259
R-HSA-2892245,mrna,layer_2,3.23259,R-HSA-5619115,mrna,layer_3,3.23259
R-HSA-2892245,mrna,layer_2,3.23259,R-HSA-1280215,mrna,layer_3,3.23259
R-HSA-2892245,mrna,layer_2,3.23259,R-HSA-69620,mrna,layer_3,3.23259
R-HSA-2892245,mrna,layer_2,3.23259,R-HSA-8949215,mrna,layer_3,3.23259
R-HSA-168249,mrna,layer_3,2.7005868,R-HSA-1500931,mrna,layer_4,2.7005868
R-HSA-168249,mrna,layer_3,2.7005868,R-HSA-8963743,mrna,layer_4,2.7005868
R-HSA-168249,mrna,layer_3,2.7005868,R-HSA-1852241,mrna,layer_4,2.7005868
R-HSA-168249,mrna,layer_3,2.7005868,R-HSA-382551,mrna,layer_4,2.7005868
R-HSA-168249,mrna,layer_3,2.7005868,R-HSA-1266738,mrna,layer_4,2.7005868
R-HSA-168249,mrna,layer_3,2.7005868,R-HSA-8953897,mrna,layer_4,2.7005868
R-HSA-168249,mrna,layer_3,2.7005868,R-HSA-112316,mrna,layer_4,2.7005868
R-HSA-168249,mrna,layer_3,2.7005868,R-HSA-1474244,mrna,layer_4,2.7005868
