Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
AKT phosphorylates targets in the cytosol,CNV,layer_1,12.719019,Cellular response to chemical stress,CNV,layer_2,12.719019
AKT phosphorylates targets in the cytosol,CNV,layer_1,12.719019,Activation of Matrix Metalloproteinases,CNV,layer_2,12.719019
AKT phosphorylates targets in the cytosol,CNV,layer_1,12.719019,Presynaptic depolarization and calcium channel opening,CNV,layer_2,12.719019
AKT phosphorylates targets in the cytosol,CNV,layer_1,12.719019,Phase 1 - inactivation of fast Na+ channels,CNV,layer_2,12.719019
AKT phosphorylates targets in the cytosol,CNV,layer_1,12.719019,Signaling by ERBB2,CNV,layer_2,12.719019
AKT phosphorylates targets in the cytosol,CNV,layer_1,12.719019,Phase I - Functionalization of compounds,CNV,layer_2,12.719019
AKT phosphorylates targets in the cytosol,CNV,layer_1,12.719019,Mitotic Spindle Checkpoint,CNV,layer_2,12.719019
AKT phosphorylates targets in the cytosol,CNV,layer_1,12.719019,Mitochondrial protein import,CNV,layer_2,12.719019
AKT phosphorylates targets in the cytosol,CNV,layer_1,12.719019,Azathioprine ADME,CNV,layer_2,12.719019
AKT phosphorylates targets in the cytosol,CNV,layer_1,12.719019,G1/S DNA Damage Checkpoints,CNV,layer_2,12.719019
Retrograde transport at the Trans-Golgi-Network,CNV,layer_1,7.601614,Phase 1 - inactivation of fast Na+ channels,CNV,layer_2,7.601614
Retrograde transport at the Trans-Golgi-Network,CNV,layer_1,7.601614,Mitotic Spindle Checkpoint,CNV,layer_2,7.601614
Retrograde transport at the Trans-Golgi-Network,CNV,layer_1,7.601614,Cellular response to chemical stress,CNV,layer_2,7.601614
Retrograde transport at the Trans-Golgi-Network,CNV,layer_1,7.601614,Phase I - Functionalization of compounds,CNV,layer_2,7.601614
Retrograde transport at the Trans-Golgi-Network,CNV,layer_1,7.601614,Azathioprine ADME,CNV,layer_2,7.601614
Retrograde transport at the Trans-Golgi-Network,CNV,layer_1,7.601614,Activation of Matrix Metalloproteinases,CNV,layer_2,7.601614
Retrograde transport at the Trans-Golgi-Network,CNV,layer_1,7.601614,Presynaptic depolarization and calcium channel opening,CNV,layer_2,7.601614
Retrograde transport at the Trans-Golgi-Network,CNV,layer_1,7.601614,Signaling by ERBB2,CNV,layer_2,7.601614
Retrograde transport at the Trans-Golgi-Network,CNV,layer_1,7.601614,Mitochondrial protein import,CNV,layer_2,7.601614
Retrograde transport at the Trans-Golgi-Network,CNV,layer_1,7.601614,G1/S DNA Damage Checkpoints,CNV,layer_2,7.601614
Amino acids regulate mTORC1,CNV,layer_1,7.585529,Presynaptic depolarization and calcium channel opening,CNV,layer_2,7.585529
Amino acids regulate mTORC1,CNV,layer_1,7.585529,Azathioprine ADME,CNV,layer_2,7.585529
Amino acids regulate mTORC1,CNV,layer_1,7.585529,Signaling by ERBB2,CNV,layer_2,7.585529
Amino acids regulate mTORC1,CNV,layer_1,7.585529,Mitotic Spindle Checkpoint,CNV,layer_2,7.585529
Amino acids regulate mTORC1,CNV,layer_1,7.585529,G1/S DNA Damage Checkpoints,CNV,layer_2,7.585529
Amino acids regulate mTORC1,CNV,layer_1,7.585529,Mitochondrial protein import,CNV,layer_2,7.585529
Amino acids regulate mTORC1,CNV,layer_1,7.585529,Cellular response to chemical stress,CNV,layer_2,7.585529
Amino acids regulate mTORC1,CNV,layer_1,7.585529,Activation of Matrix Metalloproteinases,CNV,layer_2,7.585529
Amino acids regulate mTORC1,CNV,layer_1,7.585529,Phase I - Functionalization of compounds,CNV,layer_2,7.585529
Amino acids regulate mTORC1,CNV,layer_1,7.585529,Phase 1 - inactivation of fast Na+ channels,CNV,layer_2,7.585529
Acetylcholine inhibits contraction of outer hair cells,CNV,layer_1,7.1635475,Signaling by ERBB2,CNV,layer_2,7.1635475
Acetylcholine inhibits contraction of outer hair cells,CNV,layer_1,7.1635475,Phase I - Functionalization of compounds,CNV,layer_2,7.1635475
Acetylcholine inhibits contraction of outer hair cells,CNV,layer_1,7.1635475,Cellular response to chemical stress,CNV,layer_2,7.1635475
Acetylcholine inhibits contraction of outer hair cells,CNV,layer_1,7.1635475,Activation of Matrix Metalloproteinases,CNV,layer_2,7.1635475
Acetylcholine inhibits contraction of outer hair cells,CNV,layer_1,7.1635475,Mitochondrial protein import,CNV,layer_2,7.1635475
Acetylcholine inhibits contraction of outer hair cells,CNV,layer_1,7.1635475,Phase 1 - inactivation of fast Na+ channels,CNV,layer_2,7.1635475
Acetylcholine inhibits contraction of outer hair cells,CNV,layer_1,7.1635475,Mitotic Spindle Checkpoint,CNV,layer_2,7.1635475
Acetylcholine inhibits contraction of outer hair cells,CNV,layer_1,7.1635475,G1/S DNA Damage Checkpoints,CNV,layer_2,7.1635475
Acetylcholine inhibits contraction of outer hair cells,CNV,layer_1,7.1635475,Presynaptic depolarization and calcium channel opening,CNV,layer_2,7.1635475
Acetylcholine inhibits contraction of outer hair cells,CNV,layer_1,7.1635475,Azathioprine ADME,CNV,layer_2,7.1635475
