id,name,layer,omics,importance
SNV_layer_3_32,DNA Replication Pre-Initiation,layer_3,SNV,8.552235
SNV_layer_1_11,"Cell death signalling via NRAGE, NRIF and NADE",layer_1,SNV,4.7018595
SNV_layer_2_86,Cellular response to hypoxia,layer_2,SNV,3.9038103
SNV_layer_1_249,Mitochondrial translation elongation,layer_1,SNV,3.1224267
SNV_layer_1_180,Agmatine biosynthesis,layer_1,SNV,3.0693927
SNV_layer_1_179,Regulation of ornithine decarboxylase (ODC),layer_1,SNV,2.8736591
SNV_layer_2_87,Cellular Senescence,layer_2,SNV,2.8264062
SNV_layer_1_231,Dissolution of Fibrin Clot,layer_1,SNV,2.6448452
SNV_layer_4_3,Metabolism,layer_4,SNV,2.416043
SNV_layer_3_17,Base Excision Repair,layer_3,SNV,2.287638
SNV_layer_1_168,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,layer_1,SNV,2.2330525
SNV_layer_3_44,Metabolism of porphyrins,layer_3,SNV,2.2248077
SNV_layer_1_19,Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells,layer_1,SNV,2.153466
SNV_layer_3_40,Reversible hydration of carbon dioxide,layer_3,SNV,2.129928
SNV_layer_1_395,ZBP1(DAI) mediated induction of type I IFNs,layer_1,SNV,1.9314581
SNV_layer_1_54,Transcriptional Regulation by NPAS4,layer_1,SNV,1.87736
SNV_layer_1_29,HHAT G278V doesn't palmitoylate Hh-Np,layer_1,SNV,1.8404098
SNV_layer_3_57,Cell junction organization,layer_3,SNV,1.7747111
SNV_layer_2_403,Protein repair,layer_2,SNV,1.7100661
SNV_layer_2_152,Costimulation by the CD28 family,layer_2,SNV,1.6723665
SNV_layer_3_13,Ion channel transport,layer_3,SNV,1.5277139
SNV_layer_2_320,Signaling by CSF1 (M-CSF) in myeloid cells,layer_2,SNV,1.5027369
SNV_layer_2_116,Transcriptional regulation by small RNAs,layer_2,SNV,1.4516683
SNV_layer_2_391,O-linked glycosylation,layer_2,SNV,1.3597305
SNV_layer_2_46,Signaling by VEGF,layer_2,SNV,1.3266171
SNV_layer_2_33,Phase I - Functionalization of compounds,layer_2,SNV,1.2680371
SNV_layer_2_358,Common Pathway of Fibrin Clot Formation,layer_2,SNV,1.254468
SNV_input_8223,TP53,input,SNV,0.9093888
SNV_input_8408,TTN,input,SNV,0.9017182
SNV_input_4774,MUC16,input,SNV,0.87839246
SNV_input_6981,RYR2,input,SNV,0.8547991
SNV_layer_3_20,Apoptosis,layer_3,SNV,0.82667017
SNV_input_7657,SPTA1,input,SNV,0.77065295
SNV_input_4037,KRAS,input,SNV,0.7652671
SNV_input_8784,XIRP2,input,SNV,0.75296396
SNV_input_2582,FLG,input,SNV,0.74006325
SNV_input_1456,COL11A1,input,SNV,0.7073909
SNV_input_339,ANK2,input,SNV,0.7038414
SNV_layer_3_31,Binding and Uptake of Ligands by Scavenger Receptors,layer_3,SNV,0.66011107
SNV_layer_3_28,ECM proteoglycans,layer_3,SNV,0.65772176
SNV_layer_3_48,Cytosolic iron-sulfur cluster assembly,layer_3,SNV,0.6386781
SNV_layer_4_23,Cellular responses to stimuli,layer_4,SNV,0.45347586
SNV_layer_4_2,Developmental Biology,layer_4,SNV,0.2495715
SNV_layer_4_4,Reproduction,layer_4,SNV,0.17558505
SNV_layer_4_12,Transport of small molecules,layer_4,SNV,0.12291915
SNV_layer_4_24,Digestion and absorption,layer_4,SNV,0.08675214
SNV_layer_4_18,Vesicle-mediated transport,layer_4,SNV,0.07429133
SNV_layer_4_7,Signal Transduction,layer_4,SNV,0.07337141
SNV_layer_4_9,Disease,layer_4,SNV,0.03532173
SNV_layer_4_5,Extracellular matrix organization,layer_4,SNV,0.012968224
