Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
DNA Replication Pre-Initiation,SNV,layer_3,8.552235,Digestion and absorption,SNV,layer_4,8.552235
DNA Replication Pre-Initiation,SNV,layer_3,8.552235,Signal Transduction,SNV,layer_4,8.552235
DNA Replication Pre-Initiation,SNV,layer_3,8.552235,Disease,SNV,layer_4,8.552235
DNA Replication Pre-Initiation,SNV,layer_3,8.552235,Extracellular matrix organization,SNV,layer_4,8.552235
DNA Replication Pre-Initiation,SNV,layer_3,8.552235,Reproduction,SNV,layer_4,8.552235
DNA Replication Pre-Initiation,SNV,layer_3,8.552235,Developmental Biology,SNV,layer_4,8.552235
DNA Replication Pre-Initiation,SNV,layer_3,8.552235,Cellular responses to stimuli,SNV,layer_4,8.552235
DNA Replication Pre-Initiation,SNV,layer_3,8.552235,Metabolism,SNV,layer_4,8.552235
DNA Replication Pre-Initiation,SNV,layer_3,8.552235,Vesicle-mediated transport,SNV,layer_4,8.552235
DNA Replication Pre-Initiation,SNV,layer_3,8.552235,Transport of small molecules,SNV,layer_4,8.552235
"Cell death signalling via NRAGE, NRIF and NADE",SNV,layer_1,4.7018595,Phase I - Functionalization of compounds,SNV,layer_2,4.7018595
"Cell death signalling via NRAGE, NRIF and NADE",SNV,layer_1,4.7018595,Common Pathway of Fibrin Clot Formation,SNV,layer_2,4.7018595
"Cell death signalling via NRAGE, NRIF and NADE",SNV,layer_1,4.7018595,Signaling by VEGF,SNV,layer_2,4.7018595
"Cell death signalling via NRAGE, NRIF and NADE",SNV,layer_1,4.7018595,Protein repair,SNV,layer_2,4.7018595
"Cell death signalling via NRAGE, NRIF and NADE",SNV,layer_1,4.7018595,Costimulation by the CD28 family,SNV,layer_2,4.7018595
"Cell death signalling via NRAGE, NRIF and NADE",SNV,layer_1,4.7018595,O-linked glycosylation,SNV,layer_2,4.7018595
"Cell death signalling via NRAGE, NRIF and NADE",SNV,layer_1,4.7018595,Transcriptional regulation by small RNAs,SNV,layer_2,4.7018595
"Cell death signalling via NRAGE, NRIF and NADE",SNV,layer_1,4.7018595,Cellular Senescence,SNV,layer_2,4.7018595
"Cell death signalling via NRAGE, NRIF and NADE",SNV,layer_1,4.7018595,Signaling by CSF1 (M-CSF) in myeloid cells,SNV,layer_2,4.7018595
"Cell death signalling via NRAGE, NRIF and NADE",SNV,layer_1,4.7018595,Cellular response to hypoxia,SNV,layer_2,4.7018595
Cellular response to hypoxia,SNV,layer_2,3.9038103,Metabolism of porphyrins,SNV,layer_3,3.9038103
Cellular response to hypoxia,SNV,layer_2,3.9038103,Reversible hydration of carbon dioxide,SNV,layer_3,3.9038103
Cellular response to hypoxia,SNV,layer_2,3.9038103,Cytosolic iron-sulfur cluster assembly,SNV,layer_3,3.9038103
Cellular response to hypoxia,SNV,layer_2,3.9038103,Base Excision Repair,SNV,layer_3,3.9038103
Cellular response to hypoxia,SNV,layer_2,3.9038103,DNA Replication Pre-Initiation,SNV,layer_3,3.9038103
Cellular response to hypoxia,SNV,layer_2,3.9038103,Cell junction organization,SNV,layer_3,3.9038103
Cellular response to hypoxia,SNV,layer_2,3.9038103,Binding and Uptake of Ligands by Scavenger Receptors,SNV,layer_3,3.9038103
Cellular response to hypoxia,SNV,layer_2,3.9038103,ECM proteoglycans,SNV,layer_3,3.9038103
Cellular response to hypoxia,SNV,layer_2,3.9038103,Ion channel transport,SNV,layer_3,3.9038103
Cellular response to hypoxia,SNV,layer_2,3.9038103,Apoptosis,SNV,layer_3,3.9038103
Mitochondrial translation elongation,SNV,layer_1,3.1224267,Signaling by CSF1 (M-CSF) in myeloid cells,SNV,layer_2,3.1224267
Mitochondrial translation elongation,SNV,layer_1,3.1224267,O-linked glycosylation,SNV,layer_2,3.1224267
Mitochondrial translation elongation,SNV,layer_1,3.1224267,Transcriptional regulation by small RNAs,SNV,layer_2,3.1224267
Mitochondrial translation elongation,SNV,layer_1,3.1224267,Protein repair,SNV,layer_2,3.1224267
Mitochondrial translation elongation,SNV,layer_1,3.1224267,Costimulation by the CD28 family,SNV,layer_2,3.1224267
Mitochondrial translation elongation,SNV,layer_1,3.1224267,Cellular response to hypoxia,SNV,layer_2,3.1224267
Mitochondrial translation elongation,SNV,layer_1,3.1224267,Signaling by VEGF,SNV,layer_2,3.1224267
Mitochondrial translation elongation,SNV,layer_1,3.1224267,Cellular Senescence,SNV,layer_2,3.1224267
Mitochondrial translation elongation,SNV,layer_1,3.1224267,Phase I - Functionalization of compounds,SNV,layer_2,3.1224267
Mitochondrial translation elongation,SNV,layer_1,3.1224267,Common Pathway of Fibrin Clot Formation,SNV,layer_2,3.1224267
Agmatine biosynthesis,SNV,layer_1,3.0693927,Signaling by VEGF,SNV,layer_2,3.0693927
Agmatine biosynthesis,SNV,layer_1,3.0693927,O-linked glycosylation,SNV,layer_2,3.0693927
Agmatine biosynthesis,SNV,layer_1,3.0693927,Transcriptional regulation by small RNAs,SNV,layer_2,3.0693927
Agmatine biosynthesis,SNV,layer_1,3.0693927,Signaling by CSF1 (M-CSF) in myeloid cells,SNV,layer_2,3.0693927
Agmatine biosynthesis,SNV,layer_1,3.0693927,Costimulation by the CD28 family,SNV,layer_2,3.0693927
Agmatine biosynthesis,SNV,layer_1,3.0693927,Protein repair,SNV,layer_2,3.0693927
Agmatine biosynthesis,SNV,layer_1,3.0693927,Cellular Senescence,SNV,layer_2,3.0693927
Agmatine biosynthesis,SNV,layer_1,3.0693927,Cellular response to hypoxia,SNV,layer_2,3.0693927
Agmatine biosynthesis,SNV,layer_1,3.0693927,Phase I - Functionalization of compounds,SNV,layer_2,3.0693927
Agmatine biosynthesis,SNV,layer_1,3.0693927,Common Pathway of Fibrin Clot Formation,SNV,layer_2,3.0693927
Regulation of ornithine decarboxylase (ODC),SNV,layer_1,2.8736591,O-linked glycosylation,SNV,layer_2,2.8736591
Regulation of ornithine decarboxylase (ODC),SNV,layer_1,2.8736591,Signaling by VEGF,SNV,layer_2,2.8736591
Regulation of ornithine decarboxylase (ODC),SNV,layer_1,2.8736591,Cellular Senescence,SNV,layer_2,2.8736591
Regulation of ornithine decarboxylase (ODC),SNV,layer_1,2.8736591,Cellular response to hypoxia,SNV,layer_2,2.8736591
Regulation of ornithine decarboxylase (ODC),SNV,layer_1,2.8736591,Common Pathway of Fibrin Clot Formation,SNV,layer_2,2.8736591
Regulation of ornithine decarboxylase (ODC),SNV,layer_1,2.8736591,Phase I - Functionalization of compounds,SNV,layer_2,2.8736591
Regulation of ornithine decarboxylase (ODC),SNV,layer_1,2.8736591,Transcriptional regulation by small RNAs,SNV,layer_2,2.8736591
Regulation of ornithine decarboxylase (ODC),SNV,layer_1,2.8736591,Signaling by CSF1 (M-CSF) in myeloid cells,SNV,layer_2,2.8736591
Regulation of ornithine decarboxylase (ODC),SNV,layer_1,2.8736591,Protein repair,SNV,layer_2,2.8736591
Regulation of ornithine decarboxylase (ODC),SNV,layer_1,2.8736591,Costimulation by the CD28 family,SNV,layer_2,2.8736591
Cellular Senescence,SNV,layer_2,2.8264062,Cell junction organization,SNV,layer_3,2.8264062
Cellular Senescence,SNV,layer_2,2.8264062,Ion channel transport,SNV,layer_3,2.8264062
Cellular Senescence,SNV,layer_2,2.8264062,Metabolism of porphyrins,SNV,layer_3,2.8264062
Cellular Senescence,SNV,layer_2,2.8264062,Reversible hydration of carbon dioxide,SNV,layer_3,2.8264062
Cellular Senescence,SNV,layer_2,2.8264062,DNA Replication Pre-Initiation,SNV,layer_3,2.8264062
Cellular Senescence,SNV,layer_2,2.8264062,Base Excision Repair,SNV,layer_3,2.8264062
Cellular Senescence,SNV,layer_2,2.8264062,Binding and Uptake of Ligands by Scavenger Receptors,SNV,layer_3,2.8264062
Cellular Senescence,SNV,layer_2,2.8264062,Apoptosis,SNV,layer_3,2.8264062
Cellular Senescence,SNV,layer_2,2.8264062,ECM proteoglycans,SNV,layer_3,2.8264062
Cellular Senescence,SNV,layer_2,2.8264062,Cytosolic iron-sulfur cluster assembly,SNV,layer_3,2.8264062
Dissolution of Fibrin Clot,SNV,layer_1,2.6448452,Signaling by VEGF,SNV,layer_2,2.6448452
Dissolution of Fibrin Clot,SNV,layer_1,2.6448452,O-linked glycosylation,SNV,layer_2,2.6448452
Dissolution of Fibrin Clot,SNV,layer_1,2.6448452,Costimulation by the CD28 family,SNV,layer_2,2.6448452
Dissolution of Fibrin Clot,SNV,layer_1,2.6448452,Protein repair,SNV,layer_2,2.6448452
Dissolution of Fibrin Clot,SNV,layer_1,2.6448452,Cellular Senescence,SNV,layer_2,2.6448452
Dissolution of Fibrin Clot,SNV,layer_1,2.6448452,Cellular response to hypoxia,SNV,layer_2,2.6448452
Dissolution of Fibrin Clot,SNV,layer_1,2.6448452,Phase I - Functionalization of compounds,SNV,layer_2,2.6448452
Dissolution of Fibrin Clot,SNV,layer_1,2.6448452,Common Pathway of Fibrin Clot Formation,SNV,layer_2,2.6448452
Dissolution of Fibrin Clot,SNV,layer_1,2.6448452,Signaling by CSF1 (M-CSF) in myeloid cells,SNV,layer_2,2.6448452
Dissolution of Fibrin Clot,SNV,layer_1,2.6448452,Transcriptional regulation by small RNAs,SNV,layer_2,2.6448452
Base Excision Repair,SNV,layer_3,2.287638,Digestion and absorption,SNV,layer_4,2.287638
Base Excision Repair,SNV,layer_3,2.287638,Transport of small molecules,SNV,layer_4,2.287638
Base Excision Repair,SNV,layer_3,2.287638,Extracellular matrix organization,SNV,layer_4,2.287638
Base Excision Repair,SNV,layer_3,2.287638,Disease,SNV,layer_4,2.287638
Base Excision Repair,SNV,layer_3,2.287638,Vesicle-mediated transport,SNV,layer_4,2.287638
Base Excision Repair,SNV,layer_3,2.287638,Signal Transduction,SNV,layer_4,2.287638
Base Excision Repair,SNV,layer_3,2.287638,Metabolism,SNV,layer_4,2.287638
Base Excision Repair,SNV,layer_3,2.287638,Cellular responses to stimuli,SNV,layer_4,2.287638
Base Excision Repair,SNV,layer_3,2.287638,Developmental Biology,SNV,layer_4,2.287638
Base Excision Repair,SNV,layer_3,2.287638,Reproduction,SNV,layer_4,2.287638
HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,SNV,layer_1,2.2330525,Cellular response to hypoxia,SNV,layer_2,2.2330525
HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,SNV,layer_1,2.2330525,Cellular Senescence,SNV,layer_2,2.2330525
HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,SNV,layer_1,2.2330525,Common Pathway of Fibrin Clot Formation,SNV,layer_2,2.2330525
HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,SNV,layer_1,2.2330525,Phase I - Functionalization of compounds,SNV,layer_2,2.2330525
HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,SNV,layer_1,2.2330525,Signaling by VEGF,SNV,layer_2,2.2330525
HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,SNV,layer_1,2.2330525,O-linked glycosylation,SNV,layer_2,2.2330525
HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,SNV,layer_1,2.2330525,Transcriptional regulation by small RNAs,SNV,layer_2,2.2330525
