id,name,layer,omics,importance
CNV_layer_1_610,AKT phosphorylates targets in the cytosol,layer_1,CNV,12.719019
mrna_layer_1_86,Peptide chain elongation,layer_1,mrna,9.755493
mrna_layer_1_11,"Cell death signalling via NRAGE, NRIF and NADE",layer_1,mrna,9.268203
mrna_layer_1_4,Acetylcholine Neurotransmitter Release Cycle,layer_1,mrna,8.956236
mrna_layer_2_125,Mitochondrial translation,layer_2,mrna,8.768768
SNV_layer_3_32,DNA Replication Pre-Initiation,layer_3,SNV,8.552235
mrna_layer_1_189,G alpha (s) signalling events,layer_1,mrna,8.451381
mrna_layer_1_619,Signaling by Hippo,layer_1,mrna,7.7498856
CNV_layer_1_254,Retrograde transport at the Trans-Golgi-Network,layer_1,CNV,7.601614
CNV_layer_1_32,Amino acids regulate mTORC1,layer_1,CNV,7.585529
CNV_layer_1_273,Acetylcholine inhibits contraction of outer hair cells,layer_1,CNV,7.1635475
CNV_layer_2_184,Mitochondrial protein import,layer_2,CNV,7.100907
CNV_layer_1_115,ERBB2 Activates PTK6 Signaling,layer_1,CNV,7.0017896
mrna_layer_2_45,Signaling by FGFR,layer_2,mrna,5.3198357
SNV_layer_1_11,"Cell death signalling via NRAGE, NRIF and NADE",layer_1,SNV,4.7018595
CNV_layer_2_208,G1/S DNA Damage Checkpoints,layer_2,CNV,4.4516015
SNV_layer_2_86,Cellular response to hypoxia,layer_2,SNV,3.9038103
CNV_layer_2_209,Mitotic Spindle Checkpoint,layer_2,CNV,3.7834098
CNV_layer_2_38,Signaling by ERBB2,layer_2,CNV,3.6448824
mrna_layer_2_40,Signaling by ERBB4,layer_2,mrna,3.2972925
mrna_layer_2_73,"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation",layer_2,mrna,3.23259
SNV_layer_1_249,Mitochondrial translation elongation,layer_1,SNV,3.1224267
SNV_layer_1_180,Agmatine biosynthesis,layer_1,SNV,3.0693927
SNV_layer_1_179,Regulation of ornithine decarboxylase (ODC),layer_1,SNV,2.8736591
SNV_layer_2_87,Cellular Senescence,layer_2,SNV,2.8264062
mrna_layer_3_111,Innate Immune System,layer_3,mrna,2.7005868
CNV_layer_3_13,Ion channel transport,layer_3,CNV,2.6784925
SNV_layer_1_231,Dissolution of Fibrin Clot,layer_1,SNV,2.6448452
mrna_layer_2_295,trans-Golgi Network Vesicle Budding,layer_2,mrna,2.6200352
CNV_layer_2_331,Phase 1 - inactivation of fast Na+ channels,layer_2,CNV,2.4762864
SNV_layer_4_3,Metabolism,layer_4,SNV,2.416043
SNV_layer_3_17,Base Excision Repair,layer_3,SNV,2.287638
SNV_layer_3_44,Metabolism of porphyrins,layer_3,SNV,2.2248077
SNV_layer_3_40,Reversible hydration of carbon dioxide,layer_3,SNV,2.129928
SNV_layer_3_57,Cell junction organization,layer_3,SNV,1.7747111
SNV_layer_2_403,Protein repair,layer_2,SNV,1.7100661
SNV_layer_2_152,Costimulation by the CD28 family,layer_2,SNV,1.6723665
SNV_layer_2_320,Signaling by CSF1 (M-CSF) in myeloid cells,layer_2,SNV,1.5027369
CNV_layer_3_2,Meiosis,layer_3,CNV,1.4412332
CNV_layer_3_5,"Plasma lipoprotein assembly, remodeling, and clearance",layer_3,CNV,1.1448022
CNV_layer_3_150,Chaperone Mediated Autophagy,layer_3,CNV,0.96052957
mrna_input_7667,RPS4Y1,input,mrna,0.93352044
mrna_input_3438,GSTM1,input,mrna,0.9177601
mrna_layer_3_24,Elastic fibre formation,layer_3,mrna,0.91622835
SNV_input_8223,TP53,input,SNV,0.9093888
mrna_layer_3_7,SLC-mediated transmembrane transport,layer_3,mrna,0.9091531
SNV_input_8408,TTN,input,SNV,0.9017182
mrna_input_1509,CLDN10,input,mrna,0.88517916
SNV_input_4774,MUC16,input,SNV,0.87839246
mrna_input_4297,KDM5D,input,mrna,0.87311095
mrna_input_9617,UTY,input,mrna,0.87271327
SNV_input_6981,RYR2,input,SNV,0.8547991
mrna_layer_3_29,Invadopodia formation,layer_3,mrna,0.8486458
CNV_layer_3_35,Epigenetic regulation of gene expression,layer_3,CNV,0.8271499
CNV_input_1465,CLEC4G,input,CNV,0.7992292
CNV_input_8350,STXBP2,input,CNV,0.7983854
CNV_input_6167,PCP2,input,CNV,0.7983854
CNV_input_6250,PET100,input,CNV,0.7983854
CNV_input_4660,MCEMP1,input,CNV,0.7983854
mrna_layer_3_132,Mitochondrial RNA degradation,layer_3,mrna,0.79652244
SNV_input_7657,SPTA1,input,SNV,0.77065295
CNV_layer_4_20,DNA Repair,layer_4,CNV,0.6029624
CNV_layer_4_15,Circadian Clock,layer_4,CNV,0.49660355
SNV_layer_4_23,Cellular responses to stimuli,layer_4,SNV,0.45347586
SNV_layer_4_2,Developmental Biology,layer_4,SNV,0.2495715
mrna_layer_4_12,Transport of small molecules,layer_4,mrna,0.23859164
SNV_layer_4_4,Reproduction,layer_4,SNV,0.17558505
CNV_layer_4_21,Gene expression (Transcription),layer_4,CNV,0.13292941
SNV_layer_4_12,Transport of small molecules,layer_4,SNV,0.12291915
mrna_layer_4_6,Cell-Cell communication,layer_4,mrna,0.11923473
mrna_layer_4_24,Digestion and absorption,layer_4,mrna,0.10740081
CNV_layer_4_5,Extracellular matrix organization,layer_4,CNV,0.078083746
CNV_layer_4_16,Chromatin organization,layer_4,CNV,0.06785825
mrna_layer_4_11,Organelle biogenesis and maintenance,layer_4,mrna,0.052591648
mrna_layer_4_3,Metabolism,layer_4,mrna,0.030185102
