Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
AKT phosphorylates targets in the cytosol,CNV,layer_1,12.719019,Signaling by ERBB2,CNV,layer_2,12.719019
AKT phosphorylates targets in the cytosol,CNV,layer_1,12.719019,Phase 1 - inactivation of fast Na+ channels,CNV,layer_2,12.719019
AKT phosphorylates targets in the cytosol,CNV,layer_1,12.719019,Mitochondrial protein import,CNV,layer_2,12.719019
AKT phosphorylates targets in the cytosol,CNV,layer_1,12.719019,Mitotic Spindle Checkpoint,CNV,layer_2,12.719019
AKT phosphorylates targets in the cytosol,CNV,layer_1,12.719019,G1/S DNA Damage Checkpoints,CNV,layer_2,12.719019
Peptide chain elongation,mrna,layer_1,9.755493,trans-Golgi Network Vesicle Budding,mrna,layer_2,9.755493
Peptide chain elongation,mrna,layer_1,9.755493,Mitochondrial translation,mrna,layer_2,9.755493
Peptide chain elongation,mrna,layer_1,9.755493,Signaling by ERBB4,mrna,layer_2,9.755493
Peptide chain elongation,mrna,layer_1,9.755493,Signaling by FGFR,mrna,layer_2,9.755493
Peptide chain elongation,mrna,layer_1,9.755493,"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation",mrna,layer_2,9.755493
"Cell death signalling via NRAGE, NRIF and NADE",mrna,layer_1,9.268203,Signaling by ERBB4,mrna,layer_2,9.268203
"Cell death signalling via NRAGE, NRIF and NADE",mrna,layer_1,9.268203,Mitochondrial translation,mrna,layer_2,9.268203
"Cell death signalling via NRAGE, NRIF and NADE",mrna,layer_1,9.268203,trans-Golgi Network Vesicle Budding,mrna,layer_2,9.268203
"Cell death signalling via NRAGE, NRIF and NADE",mrna,layer_1,9.268203,"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation",mrna,layer_2,9.268203
"Cell death signalling via NRAGE, NRIF and NADE",mrna,layer_1,9.268203,Signaling by FGFR,mrna,layer_2,9.268203
Acetylcholine Neurotransmitter Release Cycle,mrna,layer_1,8.956236,Signaling by ERBB4,mrna,layer_2,8.956236
Acetylcholine Neurotransmitter Release Cycle,mrna,layer_1,8.956236,trans-Golgi Network Vesicle Budding,mrna,layer_2,8.956236
Acetylcholine Neurotransmitter Release Cycle,mrna,layer_1,8.956236,Signaling by FGFR,mrna,layer_2,8.956236
Acetylcholine Neurotransmitter Release Cycle,mrna,layer_1,8.956236,"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation",mrna,layer_2,8.956236
Acetylcholine Neurotransmitter Release Cycle,mrna,layer_1,8.956236,Mitochondrial translation,mrna,layer_2,8.956236
Mitochondrial translation,mrna,layer_2,8.768768,Innate Immune System,mrna,layer_3,8.768768
Mitochondrial translation,mrna,layer_2,8.768768,Mitochondrial RNA degradation,mrna,layer_3,8.768768
Mitochondrial translation,mrna,layer_2,8.768768,Invadopodia formation,mrna,layer_3,8.768768
Mitochondrial translation,mrna,layer_2,8.768768,SLC-mediated transmembrane transport,mrna,layer_3,8.768768
Mitochondrial translation,mrna,layer_2,8.768768,Elastic fibre formation,mrna,layer_3,8.768768
DNA Replication Pre-Initiation,SNV,layer_3,8.552235,Metabolism,SNV,layer_4,8.552235
DNA Replication Pre-Initiation,SNV,layer_3,8.552235,Cellular responses to stimuli,SNV,layer_4,8.552235
DNA Replication Pre-Initiation,SNV,layer_3,8.552235,Developmental Biology,SNV,layer_4,8.552235
DNA Replication Pre-Initiation,SNV,layer_3,8.552235,Reproduction,SNV,layer_4,8.552235
DNA Replication Pre-Initiation,SNV,layer_3,8.552235,Transport of small molecules,SNV,layer_4,8.552235
G alpha (s) signalling events,mrna,layer_1,8.451381,"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation",mrna,layer_2,8.451381
G alpha (s) signalling events,mrna,layer_1,8.451381,Signaling by ERBB4,mrna,layer_2,8.451381
G alpha (s) signalling events,mrna,layer_1,8.451381,trans-Golgi Network Vesicle Budding,mrna,layer_2,8.451381
G alpha (s) signalling events,mrna,layer_1,8.451381,Mitochondrial translation,mrna,layer_2,8.451381
G alpha (s) signalling events,mrna,layer_1,8.451381,Signaling by FGFR,mrna,layer_2,8.451381
