id,name,layer,omics,importance
mrna_layer_1_86,Peptide chain elongation,layer_1,mrna,9.755493
mrna_layer_1_11,"Cell death signalling via NRAGE, NRIF and NADE",layer_1,mrna,9.268203
mrna_layer_1_4,Acetylcholine Neurotransmitter Release Cycle,layer_1,mrna,8.956236
mrna_layer_2_125,Mitochondrial translation,layer_2,mrna,8.768768
mrna_layer_1_189,G alpha (s) signalling events,layer_1,mrna,8.451381
mrna_layer_1_619,Signaling by Hippo,layer_1,mrna,7.7498856
mrna_layer_1_230,Reduction of cytosolic Ca++ levels,layer_1,mrna,6.2880535
mrna_layer_2_45,Signaling by FGFR,layer_2,mrna,5.3198357
mrna_layer_1_92,Class B/2 (Secretin family receptors),layer_1,mrna,5.1739006
mrna_layer_1_0,Serotonin Neurotransmitter Release Cycle,layer_1,mrna,4.546027
mrna_layer_1_5,"GABA synthesis, release, reuptake and degradation",layer_1,mrna,4.2261114
mrna_layer_1_13,Antagonism of Activin by Follistatin,layer_1,mrna,4.121613
mrna_layer_2_40,Signaling by ERBB4,layer_2,mrna,3.2972925
mrna_layer_2_73,"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation",layer_2,mrna,3.23259
mrna_layer_3_111,Innate Immune System,layer_3,mrna,2.7005868
mrna_layer_2_295,trans-Golgi Network Vesicle Budding,layer_2,mrna,2.6200352
mrna_layer_2_355,Effects of PIP2 hydrolysis,layer_2,mrna,2.2393403
mrna_layer_2_175,Wax and plasmalogen biosynthesis,layer_2,mrna,1.9022936
mrna_layer_2_352,Signaling by NOTCH1,layer_2,mrna,1.7024046
mrna_layer_2_405,Proteasome assembly,layer_2,mrna,1.4593059
mrna_layer_2_415,Amyloid fiber formation,layer_2,mrna,1.3283418
mrna_input_7667,RPS4Y1,input,mrna,0.93352044
mrna_input_3438,GSTM1,input,mrna,0.9177601
mrna_layer_3_24,Elastic fibre formation,layer_3,mrna,0.91622835
mrna_layer_3_7,SLC-mediated transmembrane transport,layer_3,mrna,0.9091531
mrna_input_1509,CLDN10,input,mrna,0.88517916
mrna_input_4297,KDM5D,input,mrna,0.87311095
mrna_input_9617,UTY,input,mrna,0.87271327
mrna_input_3046,GALNT14,input,mrna,0.8674935
mrna_input_3897,IGF2BP3,input,mrna,0.86249244
mrna_input_5038,MMP12,input,mrna,0.8619122
mrna_input_5531,NGEF,input,mrna,0.8605345
mrna_input_757,B3GNT6,input,mrna,0.85670346
mrna_layer_3_29,Invadopodia formation,layer_3,mrna,0.8486458
mrna_layer_3_132,Mitochondrial RNA degradation,layer_3,mrna,0.79652244
mrna_layer_3_10,Mitochondrial calcium ion transport,layer_3,mrna,0.6145862
mrna_layer_3_116,Diseases of programmed cell death,layer_3,mrna,0.49501103
mrna_layer_3_112,Disorders of transmembrane transporters,layer_3,mrna,0.47821447
mrna_layer_3_109,Cytokine Signaling in Immune system,layer_3,mrna,0.3774081
mrna_layer_3_107,Cell Cycle Checkpoints,layer_3,mrna,0.3752674
mrna_layer_4_12,Transport of small molecules,layer_4,mrna,0.23859164
mrna_layer_4_6,Cell-Cell communication,layer_4,mrna,0.11923473
mrna_layer_4_24,Digestion and absorption,layer_4,mrna,0.10740081
mrna_layer_4_11,Organelle biogenesis and maintenance,layer_4,mrna,0.052591648
mrna_layer_4_3,Metabolism,layer_4,mrna,0.030185102
mrna_layer_4_21,Gene expression (Transcription),layer_4,mrna,0.02067429
mrna_layer_4_5,Extracellular matrix organization,layer_4,mrna,0.01552825
mrna_layer_4_2,Developmental Biology,layer_4,mrna,0.009645545
mrna_layer_4_23,Cellular responses to stimuli,layer_4,mrna,0.009403242
mrna_layer_4_1,Neuronal System,layer_4,mrna,0.008140311
