Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
Peptide chain elongation,mrna,layer_1,9.755493,Wax and plasmalogen biosynthesis,mrna,layer_2,9.755493
Peptide chain elongation,mrna,layer_1,9.755493,Signaling by NOTCH1,mrna,layer_2,9.755493
Peptide chain elongation,mrna,layer_1,9.755493,Proteasome assembly,mrna,layer_2,9.755493
Peptide chain elongation,mrna,layer_1,9.755493,trans-Golgi Network Vesicle Budding,mrna,layer_2,9.755493
Peptide chain elongation,mrna,layer_1,9.755493,"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation",mrna,layer_2,9.755493
Peptide chain elongation,mrna,layer_1,9.755493,Effects of PIP2 hydrolysis,mrna,layer_2,9.755493
Peptide chain elongation,mrna,layer_1,9.755493,Signaling by ERBB4,mrna,layer_2,9.755493
Peptide chain elongation,mrna,layer_1,9.755493,Mitochondrial translation,mrna,layer_2,9.755493
Peptide chain elongation,mrna,layer_1,9.755493,Amyloid fiber formation,mrna,layer_2,9.755493
Peptide chain elongation,mrna,layer_1,9.755493,Signaling by FGFR,mrna,layer_2,9.755493
"Cell death signalling via NRAGE, NRIF and NADE",mrna,layer_1,9.268203,trans-Golgi Network Vesicle Budding,mrna,layer_2,9.268203
"Cell death signalling via NRAGE, NRIF and NADE",mrna,layer_1,9.268203,Signaling by ERBB4,mrna,layer_2,9.268203
"Cell death signalling via NRAGE, NRIF and NADE",mrna,layer_1,9.268203,Wax and plasmalogen biosynthesis,mrna,layer_2,9.268203
"Cell death signalling via NRAGE, NRIF and NADE",mrna,layer_1,9.268203,Effects of PIP2 hydrolysis,mrna,layer_2,9.268203
"Cell death signalling via NRAGE, NRIF and NADE",mrna,layer_1,9.268203,Amyloid fiber formation,mrna,layer_2,9.268203
"Cell death signalling via NRAGE, NRIF and NADE",mrna,layer_1,9.268203,Signaling by NOTCH1,mrna,layer_2,9.268203
"Cell death signalling via NRAGE, NRIF and NADE",mrna,layer_1,9.268203,Proteasome assembly,mrna,layer_2,9.268203
"Cell death signalling via NRAGE, NRIF and NADE",mrna,layer_1,9.268203,"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation",mrna,layer_2,9.268203
"Cell death signalling via NRAGE, NRIF and NADE",mrna,layer_1,9.268203,Mitochondrial translation,mrna,layer_2,9.268203
"Cell death signalling via NRAGE, NRIF and NADE",mrna,layer_1,9.268203,Signaling by FGFR,mrna,layer_2,9.268203
Acetylcholine Neurotransmitter Release Cycle,mrna,layer_1,8.956236,Proteasome assembly,mrna,layer_2,8.956236
Acetylcholine Neurotransmitter Release Cycle,mrna,layer_1,8.956236,Amyloid fiber formation,mrna,layer_2,8.956236
Acetylcholine Neurotransmitter Release Cycle,mrna,layer_1,8.956236,"POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation",mrna,layer_2,8.956236
Acetylcholine Neurotransmitter Release Cycle,mrna,layer_1,8.956236,Signaling by ERBB4,mrna,layer_2,8.956236
Acetylcholine Neurotransmitter Release Cycle,mrna,layer_1,8.956236,Signaling by FGFR,mrna,layer_2,8.956236
Acetylcholine Neurotransmitter Release Cycle,mrna,layer_1,8.956236,Mitochondrial translation,mrna,layer_2,8.956236
Acetylcholine Neurotransmitter Release Cycle,mrna,layer_1,8.956236,Wax and plasmalogen biosynthesis,mrna,layer_2,8.956236
Acetylcholine Neurotransmitter Release Cycle,mrna,layer_1,8.956236,Signaling by NOTCH1,mrna,layer_2,8.956236
