id,name,layer,omics,importance
CNV_layer_1_32,R-HSA-9639288,layer_1,CNV,5.447405
CNV_layer_3_22,R-HSA-1474228,layer_3,CNV,5.332334
CNV_layer_2_65,R-HSA-203641,layer_2,CNV,4.982194
CNV_layer_3_25,R-HSA-1566977,layer_3,CNV,2.1182709
CNV_layer_1_680,R-HSA-140342,layer_1,CNV,2.0938783
CNV_layer_2_73,R-HSA-2892247,layer_2,CNV,1.9645789
CNV_layer_2_64,R-HSA-203615,layer_2,CNV,1.8626292
CNV_layer_2_387,R-HSA-977347,layer_2,CNV,1.5816581
CNV_layer_1_23,R-HSA-389977,layer_1,CNV,1.5675408
CNV_layer_1_26,R-HSA-1369062,layer_1,CNV,1.3414931
CNV_layer_2_22,R-HSA-381340,layer_2,CNV,1.3137981
CNV_layer_1_63,R-HSA-70921,layer_1,CNV,1.2390094
CNV_layer_1_62,R-HSA-977606,layer_1,CNV,1.1188638
CNV_layer_1_19,R-HSA-210744,layer_1,CNV,1.1118166
CNV_layer_1_119,R-HSA-9670095,layer_1,CNV,1.1052105
CNV_layer_1_120,R-HSA-1266695,layer_1,CNV,1.0849036
CNV_layer_1_149,R-HSA-376176,layer_1,CNV,1.0672839
CNV_layer_3_9,R-HSA-5223345,layer_3,CNV,0.8932734
CNV_layer_3_137,R-HSA-2586552,layer_3,CNV,0.89106035
CNV_input_2617,FASLG,input,CNV,0.79586786
CNV_input_7179,RGSL1,input,CNV,0.79434747
CNV_input_2071,DHX9,input,CNV,0.79429585
CNV_input_5458,NPL,input,CNV,0.79429585
CNV_input_8971,TSEN15,input,CNV,0.7941866
CNV_input_7164,RGS16,input,CNV,0.79392916
CNV_input_7176,RGS8,input,CNV,0.79392916
CNV_input_7240,RNASEL,input,CNV,0.79392916
CNV_input_8793,TNR,input,CNV,0.7935528
CNV_input_5456,NPHS2,input,CNV,0.79342055
CNV_layer_2_10,R-HSA-112310,layer_2,CNV,0.7881334
CNV_layer_2_266,R-HSA-390466,layer_2,CNV,0.78053606
CNV_layer_3_29,R-HSA-8941237,layer_3,CNV,0.73855776
CNV_layer_3_7,R-HSA-425407,layer_3,CNV,0.7366486
CNV_layer_2_11,R-HSA-112311,layer_2,CNV,0.73539627
CNV_layer_2_12,R-HSA-112313,layer_2,CNV,0.6735827
CNV_layer_3_5,R-HSA-174824,layer_3,CNV,0.67186874
CNV_layer_4_2,R-HSA-1266738,layer_4,CNV,0.6449306
CNV_layer_3_92,R-HSA-9675108,layer_3,CNV,0.6372815
CNV_layer_2_15,R-HSA-1226099,layer_2,CNV,0.6174855
CNV_layer_3_89,R-HSA-5682910,layer_3,CNV,0.29952922
CNV_layer_3_13,R-HSA-983712,layer_3,CNV,0.22776748
CNV_layer_4_5,R-HSA-1474244,layer_4,CNV,0.062292
CNV_layer_4_17,R-HSA-5357801,layer_4,CNV,0.0067915143
CNV_layer_4_25,R-HSA-9609507,layer_4,CNV,0.0053846673
CNV_layer_4_8,R-HSA-1640170,layer_4,CNV,0.0015627871
CNV_layer_4_12,R-HSA-382551,layer_4,CNV,0.001081623
CNV_layer_4_15,R-HSA-400253,layer_4,CNV,0.00092794944
CNV_layer_4_3,R-HSA-1430728,layer_4,CNV,0.00090450374
CNV_layer_4_16,R-HSA-4839726,layer_4,CNV,0.0008327742
CNV_layer_4_24,R-HSA-8963743,layer_4,CNV,0.00075436564
