Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
R-HSA-9639288,CNV,layer_1,5.447405,R-HSA-203615,CNV,layer_2,5.447405
R-HSA-9639288,CNV,layer_1,5.447405,R-HSA-977347,CNV,layer_2,5.447405
R-HSA-9639288,CNV,layer_1,5.447405,R-HSA-203641,CNV,layer_2,5.447405
R-HSA-9639288,CNV,layer_1,5.447405,R-HSA-2892247,CNV,layer_2,5.447405
R-HSA-9639288,CNV,layer_1,5.447405,R-HSA-381340,CNV,layer_2,5.447405
R-HSA-9639288,CNV,layer_1,5.447405,R-HSA-112310,CNV,layer_2,5.447405
R-HSA-9639288,CNV,layer_1,5.447405,R-HSA-112311,CNV,layer_2,5.447405
R-HSA-9639288,CNV,layer_1,5.447405,R-HSA-390466,CNV,layer_2,5.447405
R-HSA-9639288,CNV,layer_1,5.447405,R-HSA-1226099,CNV,layer_2,5.447405
R-HSA-9639288,CNV,layer_1,5.447405,R-HSA-112313,CNV,layer_2,5.447405
R-HSA-1474228,CNV,layer_3,5.332334,R-HSA-8963743,CNV,layer_4,5.332334
R-HSA-1474228,CNV,layer_3,5.332334,R-HSA-4839726,CNV,layer_4,5.332334
R-HSA-1474228,CNV,layer_3,5.332334,R-HSA-382551,CNV,layer_4,5.332334
R-HSA-1474228,CNV,layer_3,5.332334,R-HSA-1640170,CNV,layer_4,5.332334
R-HSA-1474228,CNV,layer_3,5.332334,R-HSA-1430728,CNV,layer_4,5.332334
R-HSA-1474228,CNV,layer_3,5.332334,R-HSA-400253,CNV,layer_4,5.332334
R-HSA-1474228,CNV,layer_3,5.332334,R-HSA-1266738,CNV,layer_4,5.332334
R-HSA-1474228,CNV,layer_3,5.332334,R-HSA-1474244,CNV,layer_4,5.332334
R-HSA-1474228,CNV,layer_3,5.332334,R-HSA-5357801,CNV,layer_4,5.332334
R-HSA-1474228,CNV,layer_3,5.332334,R-HSA-9609507,CNV,layer_4,5.332334
R-HSA-203641,CNV,layer_2,4.982194,R-HSA-5223345,CNV,layer_3,4.982194
R-HSA-203641,CNV,layer_2,4.982194,R-HSA-2586552,CNV,layer_3,4.982194
