id,name,layer,omics,importance
SNV_layer_3_24,R-HSA-1566948,layer_3,SNV,16.117575
SNV_layer_2_69,R-HSA-9820841,layer_2,SNV,5.541074
SNV_layer_2_68,R-HSA-9819196,layer_2,SNV,4.3779616
SNV_layer_1_133,R-HSA-9818564,layer_1,SNV,2.6896374
SNV_layer_1_134,R-HSA-381676,layer_1,SNV,2.5580614
SNV_layer_1_135,R-HSA-399997,layer_1,SNV,2.2789764
SNV_layer_2_3,R-HSA-9837092,layer_2,SNV,1.7056167
SNV_layer_1_136,R-HSA-400451,layer_1,SNV,1.6611346
SNV_layer_1_13,R-HSA-2473224,layer_1,SNV,1.1344457
SNV_layer_1_23,R-HSA-389977,layer_1,SNV,1.0702621
SNV_layer_1_31,R-HSA-9633012,layer_1,SNV,1.0382856
SNV_layer_2_13,R-HSA-112314,layer_2,SNV,1.0349644
SNV_layer_1_83,R-HSA-70221,layer_1,SNV,0.9845211
SNV_input_8223,TP53,input,SNV,0.87824124
SNV_layer_3_5,R-HSA-174824,layer_3,SNV,0.8660008
SNV_layer_1_78,R-HSA-5620922,layer_1,SNV,0.85504776
SNV_input_8408,TTN,input,SNV,0.8319866
SNV_input_4774,MUC16,input,SNV,0.82636964
SNV_input_6981,RYR2,input,SNV,0.81284267
SNV_input_8784,XIRP2,input,SNV,0.7272863
SNV_input_4037,KRAS,input,SNV,0.7212164
SNV_input_7657,SPTA1,input,SNV,0.70587605
SNV_input_2582,FLG,input,SNV,0.7010437
SNV_input_5785,PCDH15,input,SNV,0.678764
SNV_input_339,ANK2,input,SNV,0.67522174
SNV_layer_1_608,R-HSA-2028269,layer_1,SNV,0.6573912
SNV_layer_2_349,R-HSA-9012852,layer_2,SNV,0.39040858
SNV_layer_2_25,R-HSA-166187,layer_2,SNV,0.3840262
SNV_layer_3_129,R-HSA-927802,layer_3,SNV,0.37058643
SNV_layer_2_157,R-HSA-2564830,layer_2,SNV,0.26271242
SNV_layer_2_20,R-HSA-9700206,layer_2,SNV,0.2526041
SNV_layer_4_5,R-HSA-1474244,layer_4,SNV,0.25088772
SNV_layer_2_10,R-HSA-112310,layer_2,SNV,0.1731896
SNV_layer_2_48,R-HSA-2404192,layer_2,SNV,0.16669
SNV_layer_3_74,R-HSA-5676934,layer_3,SNV,0.1253109
SNV_layer_3_10,R-HSA-8949215,layer_3,SNV,0.120039806
SNV_layer_3_17,R-HSA-73884,layer_3,SNV,0.09835078
SNV_layer_3_86,R-HSA-525793,layer_3,SNV,0.09220128
SNV_layer_4_27,R-HSA-9709957,layer_4,SNV,0.090555824
SNV_layer_3_67,R-HSA-418346,layer_3,SNV,0.081703864
SNV_layer_4_24,R-HSA-8963743,layer_4,SNV,0.070439994
SNV_layer_3_99,R-HSA-1268020,layer_3,SNV,0.059216034
SNV_layer_3_104,R-HSA-5617833,layer_3,SNV,0.057939507
SNV_layer_4_2,R-HSA-1266738,layer_4,SNV,0.0074106366
SNV_layer_4_3,R-HSA-1430728,layer_4,SNV,0.0018639409
SNV_layer_4_1,R-HSA-112316,layer_4,SNV,0.0008724084
SNV_layer_4_20,R-HSA-73894,layer_4,SNV,0.0008674481
SNV_layer_4_14,R-HSA-397014,layer_4,SNV,0.0008563995
SNV_layer_4_9,R-HSA-1643685,layer_4,SNV,0.00075941416
SNV_layer_4_13,R-HSA-392499,layer_4,SNV,0.0006581745
