Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
R-HSA-1566948,SNV,layer_3,16.117575,R-HSA-1430728,SNV,layer_4,16.117575
R-HSA-1566948,SNV,layer_3,16.117575,R-HSA-112316,SNV,layer_4,16.117575
R-HSA-1566948,SNV,layer_3,16.117575,R-HSA-73894,SNV,layer_4,16.117575
R-HSA-1566948,SNV,layer_3,16.117575,R-HSA-1474244,SNV,layer_4,16.117575
R-HSA-1566948,SNV,layer_3,16.117575,R-HSA-9709957,SNV,layer_4,16.117575
R-HSA-1566948,SNV,layer_3,16.117575,R-HSA-1266738,SNV,layer_4,16.117575
R-HSA-1566948,SNV,layer_3,16.117575,R-HSA-1643685,SNV,layer_4,16.117575
R-HSA-1566948,SNV,layer_3,16.117575,R-HSA-392499,SNV,layer_4,16.117575
R-HSA-1566948,SNV,layer_3,16.117575,R-HSA-397014,SNV,layer_4,16.117575
R-HSA-1566948,SNV,layer_3,16.117575,R-HSA-8963743,SNV,layer_4,16.117575
R-HSA-9820841,SNV,layer_2,5.541074,R-HSA-927802,SNV,layer_3,5.541074
R-HSA-9820841,SNV,layer_2,5.541074,R-HSA-5617833,SNV,layer_3,5.541074
R-HSA-9820841,SNV,layer_2,5.541074,R-HSA-1268020,SNV,layer_3,5.541074
R-HSA-9820841,SNV,layer_2,5.541074,R-HSA-1566948,SNV,layer_3,5.541074
R-HSA-9820841,SNV,layer_2,5.541074,R-HSA-8949215,SNV,layer_3,5.541074
R-HSA-9820841,SNV,layer_2,5.541074,R-HSA-73884,SNV,layer_3,5.541074
R-HSA-9820841,SNV,layer_2,5.541074,R-HSA-5676934,SNV,layer_3,5.541074
R-HSA-9820841,SNV,layer_2,5.541074,R-HSA-525793,SNV,layer_3,5.541074
R-HSA-9820841,SNV,layer_2,5.541074,R-HSA-418346,SNV,layer_3,5.541074
R-HSA-9820841,SNV,layer_2,5.541074,R-HSA-174824,SNV,layer_3,5.541074
R-HSA-9819196,SNV,layer_2,4.3779616,R-HSA-174824,SNV,layer_3,4.3779616
R-HSA-9819196,SNV,layer_2,4.3779616,R-HSA-5676934,SNV,layer_3,4.3779616
R-HSA-9819196,SNV,layer_2,4.3779616,R-HSA-73884,SNV,layer_3,4.3779616
R-HSA-9819196,SNV,layer_2,4.3779616,R-HSA-8949215,SNV,layer_3,4.3779616
R-HSA-9819196,SNV,layer_2,4.3779616,R-HSA-927802,SNV,layer_3,4.3779616
R-HSA-9819196,SNV,layer_2,4.3779616,R-HSA-1566948,SNV,layer_3,4.3779616
R-HSA-9819196,SNV,layer_2,4.3779616,R-HSA-525793,SNV,layer_3,4.3779616
R-HSA-9819196,SNV,layer_2,4.3779616,R-HSA-5617833,SNV,layer_3,4.3779616
R-HSA-9819196,SNV,layer_2,4.3779616,R-HSA-418346,SNV,layer_3,4.3779616
R-HSA-9819196,SNV,layer_2,4.3779616,R-HSA-1268020,SNV,layer_3,4.3779616
R-HSA-9818564,SNV,layer_1,2.6896374,R-HSA-112314,SNV,layer_2,2.6896374
R-HSA-9818564,SNV,layer_1,2.6896374,R-HSA-2564830,SNV,layer_2,2.6896374
R-HSA-9818564,SNV,layer_1,2.6896374,R-HSA-9012852,SNV,layer_2,2.6896374
R-HSA-9818564,SNV,layer_1,2.6896374,R-HSA-166187,SNV,layer_2,2.6896374
R-HSA-9818564,SNV,layer_1,2.6896374,R-HSA-9820841,SNV,layer_2,2.6896374
R-HSA-9818564,SNV,layer_1,2.6896374,R-HSA-9837092,SNV,layer_2,2.6896374
R-HSA-9818564,SNV,layer_1,2.6896374,R-HSA-2404192,SNV,layer_2,2.6896374
R-HSA-9818564,SNV,layer_1,2.6896374,R-HSA-9819196,SNV,layer_2,2.6896374
R-HSA-9818564,SNV,layer_1,2.6896374,R-HSA-9700206,SNV,layer_2,2.6896374
R-HSA-9818564,SNV,layer_1,2.6896374,R-HSA-112310,SNV,layer_2,2.6896374
R-HSA-381676,SNV,layer_1,2.5580614,R-HSA-2404192,SNV,layer_2,2.5580614
R-HSA-381676,SNV,layer_1,2.5580614,R-HSA-112310,SNV,layer_2,2.5580614
R-HSA-381676,SNV,layer_1,2.5580614,R-HSA-9700206,SNV,layer_2,2.5580614
R-HSA-381676,SNV,layer_1,2.5580614,R-HSA-2564830,SNV,layer_2,2.5580614
R-HSA-381676,SNV,layer_1,2.5580614,R-HSA-166187,SNV,layer_2,2.5580614
R-HSA-381676,SNV,layer_1,2.5580614,R-HSA-9012852,SNV,layer_2,2.5580614
R-HSA-381676,SNV,layer_1,2.5580614,R-HSA-112314,SNV,layer_2,2.5580614
R-HSA-381676,SNV,layer_1,2.5580614,R-HSA-9837092,SNV,layer_2,2.5580614
R-HSA-381676,SNV,layer_1,2.5580614,R-HSA-9820841,SNV,layer_2,2.5580614
R-HSA-381676,SNV,layer_1,2.5580614,R-HSA-9819196,SNV,layer_2,2.5580614
R-HSA-399997,SNV,layer_1,2.2789764,R-HSA-112310,SNV,layer_2,2.2789764
R-HSA-399997,SNV,layer_1,2.2789764,R-HSA-2404192,SNV,layer_2,2.2789764
R-HSA-399997,SNV,layer_1,2.2789764,R-HSA-9700206,SNV,layer_2,2.2789764
R-HSA-399997,SNV,layer_1,2.2789764,R-HSA-2564830,SNV,layer_2,2.2789764
R-HSA-399997,SNV,layer_1,2.2789764,R-HSA-9819196,SNV,layer_2,2.2789764
R-HSA-399997,SNV,layer_1,2.2789764,R-HSA-9820841,SNV,layer_2,2.2789764
R-HSA-399997,SNV,layer_1,2.2789764,R-HSA-112314,SNV,layer_2,2.2789764
R-HSA-399997,SNV,layer_1,2.2789764,R-HSA-9837092,SNV,layer_2,2.2789764
R-HSA-399997,SNV,layer_1,2.2789764,R-HSA-166187,SNV,layer_2,2.2789764
R-HSA-399997,SNV,layer_1,2.2789764,R-HSA-9012852,SNV,layer_2,2.2789764
R-HSA-9837092,SNV,layer_2,1.7056167,R-HSA-525793,SNV,layer_3,1.7056167
R-HSA-9837092,SNV,layer_2,1.7056167,R-HSA-418346,SNV,layer_3,1.7056167
R-HSA-9837092,SNV,layer_2,1.7056167,R-HSA-174824,SNV,layer_3,1.7056167
R-HSA-9837092,SNV,layer_2,1.7056167,R-HSA-1566948,SNV,layer_3,1.7056167
R-HSA-9837092,SNV,layer_2,1.7056167,R-HSA-5676934,SNV,layer_3,1.7056167
R-HSA-9837092,SNV,layer_2,1.7056167,R-HSA-927802,SNV,layer_3,1.7056167
R-HSA-9837092,SNV,layer_2,1.7056167,R-HSA-8949215,SNV,layer_3,1.7056167
R-HSA-9837092,SNV,layer_2,1.7056167,R-HSA-73884,SNV,layer_3,1.7056167
