Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
R-HSA-1566948,SNV,layer_3,16.117575,R-HSA-9709957,SNV,layer_4,16.117575
R-HSA-1566948,SNV,layer_3,16.117575,R-HSA-1474244,SNV,layer_4,16.117575
R-HSA-1566948,SNV,layer_3,16.117575,R-HSA-8963743,SNV,layer_4,16.117575
R-HSA-1566948,SNV,layer_3,16.117575,R-HSA-1266738,SNV,layer_4,16.117575
R-HSA-1566948,SNV,layer_3,16.117575,R-HSA-1430728,SNV,layer_4,16.117575
R-HSA-983712,mrna,layer_3,5.5886364,R-HSA-1266738,mrna,layer_4,5.5886364
R-HSA-983712,mrna,layer_3,5.5886364,R-HSA-8953854,mrna,layer_4,5.5886364
R-HSA-983712,mrna,layer_3,5.5886364,R-HSA-400253,mrna,layer_4,5.5886364
R-HSA-983712,mrna,layer_3,5.5886364,R-HSA-162582,mrna,layer_4,5.5886364
R-HSA-983712,mrna,layer_3,5.5886364,R-HSA-1643685,mrna,layer_4,5.5886364
R-HSA-9820841,SNV,layer_2,5.541074,R-HSA-927802,SNV,layer_3,5.541074
R-HSA-9820841,SNV,layer_2,5.541074,R-HSA-174824,SNV,layer_3,5.541074
R-HSA-9820841,SNV,layer_2,5.541074,R-HSA-1566948,SNV,layer_3,5.541074
R-HSA-9820841,SNV,layer_2,5.541074,R-HSA-8949215,SNV,layer_3,5.541074
R-HSA-9820841,SNV,layer_2,5.541074,R-HSA-5676934,SNV,layer_3,5.541074
R-HSA-9639288,CNV,layer_1,5.447405,R-HSA-2892247,CNV,layer_2,5.447405
R-HSA-9639288,CNV,layer_1,5.447405,R-HSA-977347,CNV,layer_2,5.447405
R-HSA-9639288,CNV,layer_1,5.447405,R-HSA-203615,CNV,layer_2,5.447405
R-HSA-9639288,CNV,layer_1,5.447405,R-HSA-203641,CNV,layer_2,5.447405
R-HSA-9639288,CNV,layer_1,5.447405,R-HSA-381340,CNV,layer_2,5.447405
R-HSA-1474228,CNV,layer_3,5.332334,R-HSA-1266738,CNV,layer_4,5.332334
R-HSA-1474228,CNV,layer_3,5.332334,R-HSA-9609507,CNV,layer_4,5.332334
R-HSA-1474228,CNV,layer_3,5.332334,R-HSA-5357801,CNV,layer_4,5.332334
R-HSA-1474228,CNV,layer_3,5.332334,R-HSA-1474244,CNV,layer_4,5.332334
R-HSA-1474228,CNV,layer_3,5.332334,R-HSA-1640170,CNV,layer_4,5.332334
R-HSA-203641,CNV,layer_2,4.982194,R-HSA-1474228,CNV,layer_3,4.982194
R-HSA-203641,CNV,layer_2,4.982194,R-HSA-2586552,CNV,layer_3,4.982194
R-HSA-203641,CNV,layer_2,4.982194,R-HSA-1566977,CNV,layer_3,4.982194
R-HSA-203641,CNV,layer_2,4.982194,R-HSA-5223345,CNV,layer_3,4.982194
R-HSA-203641,CNV,layer_2,4.982194,R-HSA-8941237,CNV,layer_3,4.982194
R-HSA-9819196,SNV,layer_2,4.3779616,R-HSA-927802,SNV,layer_3,4.3779616
R-HSA-9819196,SNV,layer_2,4.3779616,R-HSA-1566948,SNV,layer_3,4.3779616
R-HSA-9819196,SNV,layer_2,4.3779616,R-HSA-174824,SNV,layer_3,4.3779616
R-HSA-9819196,SNV,layer_2,4.3779616,R-HSA-5676934,SNV,layer_3,4.3779616
R-HSA-9819196,SNV,layer_2,4.3779616,R-HSA-8949215,SNV,layer_3,4.3779616
R-HSA-425407,mrna,layer_3,3.0687068,R-HSA-1643685,mrna,layer_4,3.0687068
R-HSA-425407,mrna,layer_3,3.0687068,R-HSA-1266738,mrna,layer_4,3.0687068
R-HSA-425407,mrna,layer_3,3.0687068,R-HSA-162582,mrna,layer_4,3.0687068
R-HSA-425407,mrna,layer_3,3.0687068,R-HSA-8953854,mrna,layer_4,3.0687068
