id,name,layer,omics,importance
mrna_layer_3_13,R-HSA-983712,layer_3,mrna,5.5886364
mrna_layer_3_7,R-HSA-425407,layer_3,mrna,3.0687068
mrna_layer_2_16,R-HSA-5387390,layer_2,mrna,2.5215478
mrna_layer_1_26,R-HSA-1369062,layer_1,mrna,2.2069402
mrna_layer_2_33,R-HSA-211945,layer_2,mrna,2.1254325
mrna_layer_1_65,R-HSA-3000480,layer_1,mrna,1.9182488
mrna_layer_2_32,R-HSA-156580,layer_2,mrna,1.4811367
mrna_layer_2_34,R-HSA-5423646,layer_2,mrna,1.4406036
mrna_layer_1_64,R-HSA-6798163,layer_1,mrna,1.4101385
mrna_layer_1_280,R-HSA-5610780,layer_1,mrna,1.2735677
mrna_layer_1_215,R-HSA-9707616,layer_1,mrna,1.2062472
mrna_layer_1_66,R-HSA-2029481,layer_1,mrna,1.1131965
mrna_layer_1_62,R-HSA-70921,layer_1,mrna,0.932827
mrna_input_8919,TFF1,input,mrna,0.9219679
mrna_layer_1_269,R-HSA-1855183,layer_1,mrna,0.9217366
mrna_input_7667,RPS4Y1,input,mrna,0.921486
mrna_input_7993,SHH,input,mrna,0.9201105
mrna_input_5265,MUC5AC,input,mrna,0.9115459
mrna_input_3191,GJB3,input,mrna,0.90566784
mrna_input_7636,RPP40,input,mrna,0.90545857
mrna_input_3344,GPR35,input,mrna,0.9017317
mrna_input_7160,PTRH2,input,mrna,0.9014334
mrna_layer_1_220,R-HSA-445355,layer_1,mrna,0.9006234
mrna_input_8546,SSBP1,input,mrna,0.8980267
mrna_input_5579,NME1,input,mrna,0.89759773
mrna_layer_1_68,R-HSA-2029485,layer_1,mrna,0.86485994
mrna_layer_2_117,R-HSA-5578749,layer_2,mrna,0.8163062
mrna_layer_2_26,R-HSA-611105,layer_2,mrna,0.5992232
mrna_layer_2_25,R-HSA-166187,layer_2,mrna,0.48587382
mrna_layer_2_17,R-HSA-6802957,layer_2,mrna,0.3900337
mrna_layer_2_147,R-HSA-9834899,layer_2,mrna,0.29689276
mrna_layer_3_11,R-HSA-8981607,layer_3,mrna,0.28100255
mrna_layer_2_30,R-HSA-73943,layer_2,mrna,0.2573004
mrna_layer_4_9,R-HSA-1643685,layer_4,mrna,0.2121821
mrna_layer_3_116,R-HSA-9645723,layer_3,mrna,0.1600018
mrna_layer_3_45,R-HSA-196854,layer_3,mrna,0.14657539
mrna_layer_3_47,R-HSA-211859,layer_3,mrna,0.13002793
mrna_layer_3_71,R-HSA-76002,layer_3,mrna,0.12199582
mrna_layer_3_72,R-HSA-2980736,layer_3,mrna,0.10191118
mrna_layer_3_108,R-HSA-73886,layer_3,mrna,0.0949331
mrna_layer_4_2,R-HSA-1266738,layer_4,mrna,0.08769724
mrna_layer_3_48,R-HSA-2564830,layer_3,mrna,0.08702922
mrna_layer_4_15,R-HSA-400253,layer_4,mrna,0.00488555
mrna_layer_4_22,R-HSA-8953854,layer_4,mrna,0.001000501
mrna_layer_4_7,R-HSA-162582,layer_4,mrna,0.00066468434
mrna_layer_4_16,R-HSA-4839726,layer_4,mrna,0.0006409611
mrna_layer_4_25,R-HSA-9609507,layer_4,mrna,0.0006202969
mrna_layer_4_28,R-HSA-9748784,layer_4,mrna,0.0006017313
mrna_layer_4_12,R-HSA-382551,layer_4,mrna,0.00059531245
mrna_layer_4_11,R-HSA-1852241,layer_4,mrna,0.0005901474
