Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
R-HSA-983712,mrna,layer_3,5.5886364,R-HSA-162582,mrna,layer_4,5.5886364
R-HSA-983712,mrna,layer_3,5.5886364,R-HSA-4839726,mrna,layer_4,5.5886364
R-HSA-983712,mrna,layer_3,5.5886364,R-HSA-1643685,mrna,layer_4,5.5886364
R-HSA-983712,mrna,layer_3,5.5886364,R-HSA-1266738,mrna,layer_4,5.5886364
R-HSA-983712,mrna,layer_3,5.5886364,R-HSA-1852241,mrna,layer_4,5.5886364
R-HSA-983712,mrna,layer_3,5.5886364,R-HSA-382551,mrna,layer_4,5.5886364
R-HSA-983712,mrna,layer_3,5.5886364,R-HSA-9748784,mrna,layer_4,5.5886364
R-HSA-983712,mrna,layer_3,5.5886364,R-HSA-9609507,mrna,layer_4,5.5886364
R-HSA-983712,mrna,layer_3,5.5886364,R-HSA-8953854,mrna,layer_4,5.5886364
R-HSA-983712,mrna,layer_3,5.5886364,R-HSA-400253,mrna,layer_4,5.5886364
R-HSA-425407,mrna,layer_3,3.0687068,R-HSA-9748784,mrna,layer_4,3.0687068
R-HSA-425407,mrna,layer_3,3.0687068,R-HSA-9609507,mrna,layer_4,3.0687068
R-HSA-425407,mrna,layer_3,3.0687068,R-HSA-400253,mrna,layer_4,3.0687068
R-HSA-425407,mrna,layer_3,3.0687068,R-HSA-8953854,mrna,layer_4,3.0687068
R-HSA-425407,mrna,layer_3,3.0687068,R-HSA-382551,mrna,layer_4,3.0687068
R-HSA-425407,mrna,layer_3,3.0687068,R-HSA-1852241,mrna,layer_4,3.0687068
R-HSA-425407,mrna,layer_3,3.0687068,R-HSA-1643685,mrna,layer_4,3.0687068
R-HSA-425407,mrna,layer_3,3.0687068,R-HSA-1266738,mrna,layer_4,3.0687068
R-HSA-425407,mrna,layer_3,3.0687068,R-HSA-162582,mrna,layer_4,3.0687068
R-HSA-425407,mrna,layer_3,3.0687068,R-HSA-4839726,mrna,layer_4,3.0687068
R-HSA-5387390,mrna,layer_2,2.5215478,R-HSA-211859,mrna,layer_3,2.5215478
R-HSA-5387390,mrna,layer_2,2.5215478,R-HSA-196854,mrna,layer_3,2.5215478
R-HSA-5387390,mrna,layer_2,2.5215478,R-HSA-425407,mrna,layer_3,2.5215478
R-HSA-5387390,mrna,layer_2,2.5215478,R-HSA-983712,mrna,layer_3,2.5215478
R-HSA-5387390,mrna,layer_2,2.5215478,R-HSA-8981607,mrna,layer_3,2.5215478
R-HSA-5387390,mrna,layer_2,2.5215478,R-HSA-9645723,mrna,layer_3,2.5215478
R-HSA-5387390,mrna,layer_2,2.5215478,R-HSA-73886,mrna,layer_3,2.5215478
R-HSA-5387390,mrna,layer_2,2.5215478,R-HSA-2564830,mrna,layer_3,2.5215478
