Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
Amino acids regulate mTORC1,CNV,layer_1,5.447405,eNOS activation,CNV,layer_2,5.447405
Amino acids regulate mTORC1,CNV,layer_1,5.447405,Serine biosynthesis,CNV,layer_2,5.447405
Amino acids regulate mTORC1,CNV,layer_1,5.447405,NOSTRIN mediated eNOS trafficking,CNV,layer_2,5.447405
Amino acids regulate mTORC1,CNV,layer_1,5.447405,"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",CNV,layer_2,5.447405
Amino acids regulate mTORC1,CNV,layer_1,5.447405,Transcriptional regulation of white adipocyte differentiation,CNV,layer_2,5.447405
Amino acids regulate mTORC1,CNV,layer_1,5.447405,Neurotransmitter release cycle,CNV,layer_2,5.447405
Amino acids regulate mTORC1,CNV,layer_1,5.447405,Neurotransmitter clearance,CNV,layer_2,5.447405
Amino acids regulate mTORC1,CNV,layer_1,5.447405,Chaperonin-mediated protein folding,CNV,layer_2,5.447405
Amino acids regulate mTORC1,CNV,layer_1,5.447405,Signaling by FGFR in disease,CNV,layer_2,5.447405
Amino acids regulate mTORC1,CNV,layer_1,5.447405,Neurotransmitter uptake and metabolism In glial cells,CNV,layer_2,5.447405
Degradation of the extracellular matrix,CNV,layer_3,5.332334,Digestion and absorption,CNV,layer_4,5.332334
Degradation of the extracellular matrix,CNV,layer_3,5.332334,Chromatin organization,CNV,layer_4,5.332334
Degradation of the extracellular matrix,CNV,layer_3,5.332334,Transport of small molecules,CNV,layer_4,5.332334
Degradation of the extracellular matrix,CNV,layer_3,5.332334,Cell Cycle,CNV,layer_4,5.332334
Degradation of the extracellular matrix,CNV,layer_3,5.332334,Metabolism,CNV,layer_4,5.332334
Degradation of the extracellular matrix,CNV,layer_3,5.332334,Circadian Clock,CNV,layer_4,5.332334
Degradation of the extracellular matrix,CNV,layer_3,5.332334,Developmental Biology,CNV,layer_4,5.332334
Degradation of the extracellular matrix,CNV,layer_3,5.332334,Extracellular matrix organization,CNV,layer_4,5.332334
Degradation of the extracellular matrix,CNV,layer_3,5.332334,Programmed Cell Death,CNV,layer_4,5.332334
Degradation of the extracellular matrix,CNV,layer_3,5.332334,Protein localization,CNV,layer_4,5.332334
NOSTRIN mediated eNOS trafficking,CNV,layer_2,4.982194,Miscellaneous transport and binding events,CNV,layer_3,4.982194
NOSTRIN mediated eNOS trafficking,CNV,layer_2,4.982194,Signaling by Leptin,CNV,layer_3,4.982194
NOSTRIN mediated eNOS trafficking,CNV,layer_2,4.982194,SLC-mediated transmembrane transport,CNV,layer_3,4.982194
NOSTRIN mediated eNOS trafficking,CNV,layer_2,4.982194,Invadopodia formation,CNV,layer_3,4.982194
NOSTRIN mediated eNOS trafficking,CNV,layer_2,4.982194,Degradation of the extracellular matrix,CNV,layer_3,4.982194
NOSTRIN mediated eNOS trafficking,CNV,layer_2,4.982194,Fibronectin matrix formation,CNV,layer_3,4.982194
NOSTRIN mediated eNOS trafficking,CNV,layer_2,4.982194,"Plasma lipoprotein assembly, remodeling, and clearance",CNV,layer_3,4.982194
NOSTRIN mediated eNOS trafficking,CNV,layer_2,4.982194,Nervous system development,CNV,layer_3,4.982194
NOSTRIN mediated eNOS trafficking,CNV,layer_2,4.982194,LGI-ADAM interactions,CNV,layer_3,4.982194
NOSTRIN mediated eNOS trafficking,CNV,layer_2,4.982194,Ion channel transport,CNV,layer_3,4.982194
Fibronectin matrix formation,CNV,layer_3,2.1182709,Developmental Biology,CNV,layer_4,2.1182709
Fibronectin matrix formation,CNV,layer_3,2.1182709,Extracellular matrix organization,CNV,layer_4,2.1182709
Fibronectin matrix formation,CNV,layer_3,2.1182709,Programmed Cell Death,CNV,layer_4,2.1182709
Fibronectin matrix formation,CNV,layer_3,2.1182709,Protein localization,CNV,layer_4,2.1182709
Fibronectin matrix formation,CNV,layer_3,2.1182709,Cell Cycle,CNV,layer_4,2.1182709
Fibronectin matrix formation,CNV,layer_3,2.1182709,Transport of small molecules,CNV,layer_4,2.1182709
Fibronectin matrix formation,CNV,layer_3,2.1182709,Circadian Clock,CNV,layer_4,2.1182709
Fibronectin matrix formation,CNV,layer_3,2.1182709,Metabolism,CNV,layer_4,2.1182709
Fibronectin matrix formation,CNV,layer_3,2.1182709,Chromatin organization,CNV,layer_4,2.1182709
Fibronectin matrix formation,CNV,layer_3,2.1182709,Digestion and absorption,CNV,layer_4,2.1182709
Apoptosis induced DNA fragmentation,CNV,layer_1,2.0938783,"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",CNV,layer_2,2.0938783
Apoptosis induced DNA fragmentation,CNV,layer_1,2.0938783,NOSTRIN mediated eNOS trafficking,CNV,layer_2,2.0938783
Apoptosis induced DNA fragmentation,CNV,layer_1,2.0938783,Serine biosynthesis,CNV,layer_2,2.0938783
Apoptosis induced DNA fragmentation,CNV,layer_1,2.0938783,eNOS activation,CNV,layer_2,2.0938783
Apoptosis induced DNA fragmentation,CNV,layer_1,2.0938783,Signaling by FGFR in disease,CNV,layer_2,2.0938783
Apoptosis induced DNA fragmentation,CNV,layer_1,2.0938783,Neurotransmitter uptake and metabolism In glial cells,CNV,layer_2,2.0938783
Apoptosis induced DNA fragmentation,CNV,layer_1,2.0938783,Neurotransmitter clearance,CNV,layer_2,2.0938783
Apoptosis induced DNA fragmentation,CNV,layer_1,2.0938783,Chaperonin-mediated protein folding,CNV,layer_2,2.0938783
Apoptosis induced DNA fragmentation,CNV,layer_1,2.0938783,Transcriptional regulation of white adipocyte differentiation,CNV,layer_2,2.0938783
Apoptosis induced DNA fragmentation,CNV,layer_1,2.0938783,Neurotransmitter release cycle,CNV,layer_2,2.0938783
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",CNV,layer_2,1.9645789,SLC-mediated transmembrane transport,CNV,layer_3,1.9645789
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",CNV,layer_2,1.9645789,Invadopodia formation,CNV,layer_3,1.9645789
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",CNV,layer_2,1.9645789,Miscellaneous transport and binding events,CNV,layer_3,1.9645789
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",CNV,layer_2,1.9645789,Signaling by Leptin,CNV,layer_3,1.9645789
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",CNV,layer_2,1.9645789,Ion channel transport,CNV,layer_3,1.9645789
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",CNV,layer_2,1.9645789,LGI-ADAM interactions,CNV,layer_3,1.9645789
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",CNV,layer_2,1.9645789,Nervous system development,CNV,layer_3,1.9645789
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",CNV,layer_2,1.9645789,"Plasma lipoprotein assembly, remodeling, and clearance",CNV,layer_3,1.9645789
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",CNV,layer_2,1.9645789,Degradation of the extracellular matrix,CNV,layer_3,1.9645789
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",CNV,layer_2,1.9645789,Fibronectin matrix formation,CNV,layer_3,1.9645789
eNOS activation,CNV,layer_2,1.8626292,"Plasma lipoprotein assembly, remodeling, and clearance",CNV,layer_3,1.8626292
eNOS activation,CNV,layer_2,1.8626292,Nervous system development,CNV,layer_3,1.8626292
eNOS activation,CNV,layer_2,1.8626292,Ion channel transport,CNV,layer_3,1.8626292
eNOS activation,CNV,layer_2,1.8626292,LGI-ADAM interactions,CNV,layer_3,1.8626292
eNOS activation,CNV,layer_2,1.8626292,Degradation of the extracellular matrix,CNV,layer_3,1.8626292
eNOS activation,CNV,layer_2,1.8626292,Fibronectin matrix formation,CNV,layer_3,1.8626292
eNOS activation,CNV,layer_2,1.8626292,SLC-mediated transmembrane transport,CNV,layer_3,1.8626292
eNOS activation,CNV,layer_2,1.8626292,Invadopodia formation,CNV,layer_3,1.8626292
eNOS activation,CNV,layer_2,1.8626292,Signaling by Leptin,CNV,layer_3,1.8626292
eNOS activation,CNV,layer_2,1.8626292,Miscellaneous transport and binding events,CNV,layer_3,1.8626292
Serine biosynthesis,CNV,layer_2,1.5816581,Signaling by Leptin,CNV,layer_3,1.5816581
Serine biosynthesis,CNV,layer_2,1.5816581,Miscellaneous transport and binding events,CNV,layer_3,1.5816581
Serine biosynthesis,CNV,layer_2,1.5816581,Degradation of the extracellular matrix,CNV,layer_3,1.5816581
Serine biosynthesis,CNV,layer_2,1.5816581,Fibronectin matrix formation,CNV,layer_3,1.5816581
Serine biosynthesis,CNV,layer_2,1.5816581,LGI-ADAM interactions,CNV,layer_3,1.5816581
Serine biosynthesis,CNV,layer_2,1.5816581,Ion channel transport,CNV,layer_3,1.5816581
Serine biosynthesis,CNV,layer_2,1.5816581,SLC-mediated transmembrane transport,CNV,layer_3,1.5816581
Serine biosynthesis,CNV,layer_2,1.5816581,Invadopodia formation,CNV,layer_3,1.5816581
Serine biosynthesis,CNV,layer_2,1.5816581,"Plasma lipoprotein assembly, remodeling, and clearance",CNV,layer_3,1.5816581
