Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
Elastic fibre formation,SNV,layer_3,16.117575,Metabolism,SNV,layer_4,16.117575
Elastic fibre formation,SNV,layer_3,16.117575,Neuronal System,SNV,layer_4,16.117575
Elastic fibre formation,SNV,layer_3,16.117575,DNA Repair,SNV,layer_4,16.117575
Elastic fibre formation,SNV,layer_3,16.117575,Extracellular matrix organization,SNV,layer_4,16.117575
Elastic fibre formation,SNV,layer_3,16.117575,Sensory Perception,SNV,layer_4,16.117575
Elastic fibre formation,SNV,layer_3,16.117575,Developmental Biology,SNV,layer_4,16.117575
Elastic fibre formation,SNV,layer_3,16.117575,Disease,SNV,layer_4,16.117575
Elastic fibre formation,SNV,layer_3,16.117575,Metabolism of proteins,SNV,layer_4,16.117575
Elastic fibre formation,SNV,layer_3,16.117575,Muscle contraction,SNV,layer_4,16.117575
Elastic fibre formation,SNV,layer_3,16.117575,Digestion and absorption,SNV,layer_4,16.117575
M-decay: degradation of maternal mRNAs by maternally stored factors,SNV,layer_2,5.541074,Nonsense-Mediated Decay (NMD),SNV,layer_3,5.541074
M-decay: degradation of maternal mRNAs by maternally stored factors,SNV,layer_2,5.541074,Cilium Assembly,SNV,layer_3,5.541074
M-decay: degradation of maternal mRNAs by maternally stored factors,SNV,layer_2,5.541074,Mitochondrial protein import,SNV,layer_3,5.541074
M-decay: degradation of maternal mRNAs by maternally stored factors,SNV,layer_2,5.541074,Elastic fibre formation,SNV,layer_3,5.541074
M-decay: degradation of maternal mRNAs by maternally stored factors,SNV,layer_2,5.541074,Mitochondrial calcium ion transport,SNV,layer_3,5.541074
M-decay: degradation of maternal mRNAs by maternally stored factors,SNV,layer_2,5.541074,Base Excision Repair,SNV,layer_3,5.541074
M-decay: degradation of maternal mRNAs by maternally stored factors,SNV,layer_2,5.541074,Protein repair,SNV,layer_3,5.541074
M-decay: degradation of maternal mRNAs by maternally stored factors,SNV,layer_2,5.541074,Myogenesis,SNV,layer_3,5.541074
M-decay: degradation of maternal mRNAs by maternally stored factors,SNV,layer_2,5.541074,Platelet homeostasis,SNV,layer_3,5.541074
M-decay: degradation of maternal mRNAs by maternally stored factors,SNV,layer_2,5.541074,"Plasma lipoprotein assembly, remodeling, and clearance",SNV,layer_3,5.541074
Zygotic genome activation (ZGA),SNV,layer_2,4.3779616,"Plasma lipoprotein assembly, remodeling, and clearance",SNV,layer_3,4.3779616
Zygotic genome activation (ZGA),SNV,layer_2,4.3779616,Protein repair,SNV,layer_3,4.3779616
Zygotic genome activation (ZGA),SNV,layer_2,4.3779616,Base Excision Repair,SNV,layer_3,4.3779616
Zygotic genome activation (ZGA),SNV,layer_2,4.3779616,Mitochondrial calcium ion transport,SNV,layer_3,4.3779616
Zygotic genome activation (ZGA),SNV,layer_2,4.3779616,Nonsense-Mediated Decay (NMD),SNV,layer_3,4.3779616
Zygotic genome activation (ZGA),SNV,layer_2,4.3779616,Elastic fibre formation,SNV,layer_3,4.3779616
Zygotic genome activation (ZGA),SNV,layer_2,4.3779616,Myogenesis,SNV,layer_3,4.3779616
Zygotic genome activation (ZGA),SNV,layer_2,4.3779616,Cilium Assembly,SNV,layer_3,4.3779616
Zygotic genome activation (ZGA),SNV,layer_2,4.3779616,Platelet homeostasis,SNV,layer_3,4.3779616
Zygotic genome activation (ZGA),SNV,layer_2,4.3779616,Mitochondrial protein import,SNV,layer_3,4.3779616
Epigenetic regulation of gene expression by MLL3 and MLL4 complexes,SNV,layer_1,2.6896374,Neurotransmitter receptors and postsynaptic signal transmission,SNV,layer_2,2.6896374
Epigenetic regulation of gene expression by MLL3 and MLL4 complexes,SNV,layer_1,2.6896374,Cytosolic iron-sulfur cluster assembly,SNV,layer_2,2.6896374
Epigenetic regulation of gene expression by MLL3 and MLL4 complexes,SNV,layer_1,2.6896374,Signaling by NOTCH3,SNV,layer_2,2.6896374
Epigenetic regulation of gene expression by MLL3 and MLL4 complexes,SNV,layer_1,2.6896374,Mitochondrial Uncoupling,SNV,layer_2,2.6896374
Epigenetic regulation of gene expression by MLL3 and MLL4 complexes,SNV,layer_1,2.6896374,M-decay: degradation of maternal mRNAs by maternally stored factors,SNV,layer_2,2.6896374
Epigenetic regulation of gene expression by MLL3 and MLL4 complexes,SNV,layer_1,2.6896374,FASTK family proteins regulate processing and stability of mitochondrial RNAs,SNV,layer_2,2.6896374
