id,name,layer,omics,importance
SNV_layer_3_24,Elastic fibre formation,layer_3,SNV,16.117575
mrna_layer_3_13,Ion channel transport,layer_3,mrna,5.5886364
SNV_layer_2_69,M-decay: degradation of maternal mRNAs by maternally stored factors,layer_2,SNV,5.541074
CNV_layer_1_32,Amino acids regulate mTORC1,layer_1,CNV,5.447405
CNV_layer_3_22,Degradation of the extracellular matrix,layer_3,CNV,5.332334
CNV_layer_2_65,NOSTRIN mediated eNOS trafficking,layer_2,CNV,4.982194
SNV_layer_2_68,Zygotic genome activation (ZGA),layer_2,SNV,4.3779616
mrna_layer_3_7,SLC-mediated transmembrane transport,layer_3,mrna,3.0687068
SNV_layer_1_133,Epigenetic regulation of gene expression by MLL3 and MLL4 complexes,layer_1,SNV,2.6896374
SNV_layer_1_134,Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,layer_1,SNV,2.5580614
mrna_layer_2_16,Hh mutants abrogate ligand secretion,layer_2,mrna,2.5215478
SNV_layer_1_135,Acetylcholine regulates insulin secretion,layer_1,SNV,2.2789764
mrna_layer_1_26,ABC transporters in lipid homeostasis,layer_1,mrna,2.2069402
mrna_layer_2_33,Phase I - Functionalization of compounds,layer_2,mrna,2.1254325
CNV_layer_3_25,Fibronectin matrix formation,layer_3,CNV,2.1182709
CNV_layer_1_680,Apoptosis induced DNA fragmentation,layer_1,CNV,2.0938783
CNV_layer_2_73,"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",layer_2,CNV,1.9645789
mrna_layer_1_65,Scavenging by Class A Receptors,layer_1,mrna,1.9182488
CNV_layer_2_64,eNOS activation,layer_2,CNV,1.8626292
SNV_layer_2_3,FASTK family proteins regulate processing and stability of mitochondrial RNAs,layer_2,SNV,1.7056167
SNV_layer_1_136,Free fatty acids regulate insulin secretion,layer_1,SNV,1.6611346
CNV_layer_2_387,Serine biosynthesis,layer_2,CNV,1.5816581
CNV_layer_1_23,Post-chaperonin tubulin folding pathway,layer_1,CNV,1.5675408
mrna_layer_2_32,Phase II - Conjugation of compounds,layer_2,mrna,1.4811367
mrna_layer_2_34,Aflatoxin activation and detoxification,layer_2,mrna,1.4406036
mrna_layer_1_64,Choline catabolism,layer_1,mrna,1.4101385
CNV_layer_1_26,ABC transporters in lipid homeostasis,layer_1,CNV,1.3414931
CNV_layer_2_22,Transcriptional regulation of white adipocyte differentiation,layer_2,CNV,1.3137981
mrna_layer_1_280,Degradation of GLI1 by the proteasome,layer_1,mrna,1.2735677
CNV_layer_1_63,Histidine catabolism,layer_1,CNV,1.2390094
mrna_layer_1_215,Heme signaling,layer_1,mrna,1.2062472
SNV_layer_1_13,Antagonism of Activin by Follistatin,layer_1,SNV,1.1344457
