Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
Elastic fibre formation,SNV,layer_3,16.117575,Sensory Perception,SNV,layer_4,16.117575
Elastic fibre formation,SNV,layer_3,16.117575,Extracellular matrix organization,SNV,layer_4,16.117575
Elastic fibre formation,SNV,layer_3,16.117575,Digestion and absorption,SNV,layer_4,16.117575
Elastic fibre formation,SNV,layer_3,16.117575,Developmental Biology,SNV,layer_4,16.117575
Elastic fibre formation,SNV,layer_3,16.117575,Metabolism,SNV,layer_4,16.117575
Ion channel transport,mrna,layer_3,5.5886364,Developmental Biology,mrna,layer_4,5.5886364
Ion channel transport,mrna,layer_3,5.5886364,Metabolism of RNA,mrna,layer_4,5.5886364
Ion channel transport,mrna,layer_3,5.5886364,Circadian Clock,mrna,layer_4,5.5886364
Ion channel transport,mrna,layer_3,5.5886364,Signal Transduction,mrna,layer_4,5.5886364
Ion channel transport,mrna,layer_3,5.5886364,Disease,mrna,layer_4,5.5886364
M-decay: degradation of maternal mRNAs by maternally stored factors,SNV,layer_2,5.541074,Nonsense-Mediated Decay (NMD),SNV,layer_3,5.541074
M-decay: degradation of maternal mRNAs by maternally stored factors,SNV,layer_2,5.541074,"Plasma lipoprotein assembly, remodeling, and clearance",SNV,layer_3,5.541074
M-decay: degradation of maternal mRNAs by maternally stored factors,SNV,layer_2,5.541074,Elastic fibre formation,SNV,layer_3,5.541074
M-decay: degradation of maternal mRNAs by maternally stored factors,SNV,layer_2,5.541074,Mitochondrial calcium ion transport,SNV,layer_3,5.541074
M-decay: degradation of maternal mRNAs by maternally stored factors,SNV,layer_2,5.541074,Protein repair,SNV,layer_3,5.541074
Amino acids regulate mTORC1,CNV,layer_1,5.447405,"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",CNV,layer_2,5.447405
Amino acids regulate mTORC1,CNV,layer_1,5.447405,Serine biosynthesis,CNV,layer_2,5.447405
Amino acids regulate mTORC1,CNV,layer_1,5.447405,eNOS activation,CNV,layer_2,5.447405
Amino acids regulate mTORC1,CNV,layer_1,5.447405,NOSTRIN mediated eNOS trafficking,CNV,layer_2,5.447405
Amino acids regulate mTORC1,CNV,layer_1,5.447405,Transcriptional regulation of white adipocyte differentiation,CNV,layer_2,5.447405
Degradation of the extracellular matrix,CNV,layer_3,5.332334,Developmental Biology,CNV,layer_4,5.332334
Degradation of the extracellular matrix,CNV,layer_3,5.332334,Protein localization,CNV,layer_4,5.332334
Degradation of the extracellular matrix,CNV,layer_3,5.332334,Programmed Cell Death,CNV,layer_4,5.332334
Degradation of the extracellular matrix,CNV,layer_3,5.332334,Extracellular matrix organization,CNV,layer_4,5.332334
Degradation of the extracellular matrix,CNV,layer_3,5.332334,Cell Cycle,CNV,layer_4,5.332334
NOSTRIN mediated eNOS trafficking,CNV,layer_2,4.982194,Degradation of the extracellular matrix,CNV,layer_3,4.982194
NOSTRIN mediated eNOS trafficking,CNV,layer_2,4.982194,Signaling by Leptin,CNV,layer_3,4.982194
NOSTRIN mediated eNOS trafficking,CNV,layer_2,4.982194,Fibronectin matrix formation,CNV,layer_3,4.982194
NOSTRIN mediated eNOS trafficking,CNV,layer_2,4.982194,Miscellaneous transport and binding events,CNV,layer_3,4.982194
NOSTRIN mediated eNOS trafficking,CNV,layer_2,4.982194,Invadopodia formation,CNV,layer_3,4.982194
Zygotic genome activation (ZGA),SNV,layer_2,4.3779616,Nonsense-Mediated Decay (NMD),SNV,layer_3,4.3779616
Zygotic genome activation (ZGA),SNV,layer_2,4.3779616,Elastic fibre formation,SNV,layer_3,4.3779616
Zygotic genome activation (ZGA),SNV,layer_2,4.3779616,"Plasma lipoprotein assembly, remodeling, and clearance",SNV,layer_3,4.3779616
Zygotic genome activation (ZGA),SNV,layer_2,4.3779616,Protein repair,SNV,layer_3,4.3779616
Zygotic genome activation (ZGA),SNV,layer_2,4.3779616,Mitochondrial calcium ion transport,SNV,layer_3,4.3779616
SLC-mediated transmembrane transport,mrna,layer_3,3.0687068,Disease,mrna,layer_4,3.0687068
SLC-mediated transmembrane transport,mrna,layer_3,3.0687068,Developmental Biology,mrna,layer_4,3.0687068
SLC-mediated transmembrane transport,mrna,layer_3,3.0687068,Signal Transduction,mrna,layer_4,3.0687068
SLC-mediated transmembrane transport,mrna,layer_3,3.0687068,Metabolism of RNA,mrna,layer_4,3.0687068
SLC-mediated transmembrane transport,mrna,layer_3,3.0687068,Circadian Clock,mrna,layer_4,3.0687068
Epigenetic regulation of gene expression by MLL3 and MLL4 complexes,SNV,layer_1,2.6896374,Signaling by NOTCH3,SNV,layer_2,2.6896374
Epigenetic regulation of gene expression by MLL3 and MLL4 complexes,SNV,layer_1,2.6896374,M-decay: degradation of maternal mRNAs by maternally stored factors,SNV,layer_2,2.6896374
Epigenetic regulation of gene expression by MLL3 and MLL4 complexes,SNV,layer_1,2.6896374,Neurotransmitter receptors and postsynaptic signal transmission,SNV,layer_2,2.6896374
Epigenetic regulation of gene expression by MLL3 and MLL4 complexes,SNV,layer_1,2.6896374,FASTK family proteins regulate processing and stability of mitochondrial RNAs,SNV,layer_2,2.6896374
Epigenetic regulation of gene expression by MLL3 and MLL4 complexes,SNV,layer_1,2.6896374,Zygotic genome activation (ZGA),SNV,layer_2,2.6896374
Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,SNV,layer_1,2.5580614,Zygotic genome activation (ZGA),SNV,layer_2,2.5580614
Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,SNV,layer_1,2.5580614,M-decay: degradation of maternal mRNAs by maternally stored factors,SNV,layer_2,2.5580614
Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,SNV,layer_1,2.5580614,Signaling by NOTCH3,SNV,layer_2,2.5580614
Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,SNV,layer_1,2.5580614,Neurotransmitter receptors and postsynaptic signal transmission,SNV,layer_2,2.5580614
Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,SNV,layer_1,2.5580614,FASTK family proteins regulate processing and stability of mitochondrial RNAs,SNV,layer_2,2.5580614
Hh mutants abrogate ligand secretion,mrna,layer_2,2.5215478,Diseases of programmed cell death,mrna,layer_3,2.5215478
Hh mutants abrogate ligand secretion,mrna,layer_2,2.5215478,Metabolism of vitamins and cofactors,mrna,layer_3,2.5215478
Hh mutants abrogate ligand secretion,mrna,layer_2,2.5215478,Intracellular oxygen transport,mrna,layer_3,2.5215478
Hh mutants abrogate ligand secretion,mrna,layer_2,2.5215478,SLC-mediated transmembrane transport,mrna,layer_3,2.5215478
Hh mutants abrogate ligand secretion,mrna,layer_2,2.5215478,Ion channel transport,mrna,layer_3,2.5215478
Acetylcholine regulates insulin secretion,SNV,layer_1,2.2789764,FASTK family proteins regulate processing and stability of mitochondrial RNAs,SNV,layer_2,2.2789764
Acetylcholine regulates insulin secretion,SNV,layer_1,2.2789764,Signaling by NOTCH3,SNV,layer_2,2.2789764
Acetylcholine regulates insulin secretion,SNV,layer_1,2.2789764,M-decay: degradation of maternal mRNAs by maternally stored factors,SNV,layer_2,2.2789764
Acetylcholine regulates insulin secretion,SNV,layer_1,2.2789764,Neurotransmitter receptors and postsynaptic signal transmission,SNV,layer_2,2.2789764
Acetylcholine regulates insulin secretion,SNV,layer_1,2.2789764,Zygotic genome activation (ZGA),SNV,layer_2,2.2789764
ABC transporters in lipid homeostasis,mrna,layer_1,2.2069402,Aflatoxin activation and detoxification,mrna,layer_2,2.2069402
ABC transporters in lipid homeostasis,mrna,layer_1,2.2069402,Transcriptional regulation by small RNAs,mrna,layer_2,2.2069402
ABC transporters in lipid homeostasis,mrna,layer_1,2.2069402,Phase II - Conjugation of compounds,mrna,layer_2,2.2069402
ABC transporters in lipid homeostasis,mrna,layer_1,2.2069402,Hh mutants abrogate ligand secretion,mrna,layer_2,2.2069402
ABC transporters in lipid homeostasis,mrna,layer_1,2.2069402,Phase I - Functionalization of compounds,mrna,layer_2,2.2069402
Phase I - Functionalization of compounds,mrna,layer_2,2.1254325,Diseases of programmed cell death,mrna,layer_3,2.1254325
