Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
Ion channel transport,mrna,layer_3,5.5886364,Signal Transduction,mrna,layer_4,5.5886364
Ion channel transport,mrna,layer_3,5.5886364,Chromatin organization,mrna,layer_4,5.5886364
Ion channel transport,mrna,layer_3,5.5886364,Disease,mrna,layer_4,5.5886364
Ion channel transport,mrna,layer_3,5.5886364,Developmental Biology,mrna,layer_4,5.5886364
Ion channel transport,mrna,layer_3,5.5886364,Organelle biogenesis and maintenance,mrna,layer_4,5.5886364
Ion channel transport,mrna,layer_3,5.5886364,Transport of small molecules,mrna,layer_4,5.5886364
Ion channel transport,mrna,layer_3,5.5886364,Drug ADME,mrna,layer_4,5.5886364
Ion channel transport,mrna,layer_3,5.5886364,Protein localization,mrna,layer_4,5.5886364
Ion channel transport,mrna,layer_3,5.5886364,Metabolism of RNA,mrna,layer_4,5.5886364
Ion channel transport,mrna,layer_3,5.5886364,Circadian Clock,mrna,layer_4,5.5886364
SLC-mediated transmembrane transport,mrna,layer_3,3.0687068,Drug ADME,mrna,layer_4,3.0687068
SLC-mediated transmembrane transport,mrna,layer_3,3.0687068,Protein localization,mrna,layer_4,3.0687068
SLC-mediated transmembrane transport,mrna,layer_3,3.0687068,Circadian Clock,mrna,layer_4,3.0687068
SLC-mediated transmembrane transport,mrna,layer_3,3.0687068,Metabolism of RNA,mrna,layer_4,3.0687068
SLC-mediated transmembrane transport,mrna,layer_3,3.0687068,Transport of small molecules,mrna,layer_4,3.0687068
SLC-mediated transmembrane transport,mrna,layer_3,3.0687068,Organelle biogenesis and maintenance,mrna,layer_4,3.0687068
SLC-mediated transmembrane transport,mrna,layer_3,3.0687068,Disease,mrna,layer_4,3.0687068
SLC-mediated transmembrane transport,mrna,layer_3,3.0687068,Developmental Biology,mrna,layer_4,3.0687068
SLC-mediated transmembrane transport,mrna,layer_3,3.0687068,Signal Transduction,mrna,layer_4,3.0687068
SLC-mediated transmembrane transport,mrna,layer_3,3.0687068,Chromatin organization,mrna,layer_4,3.0687068
Hh mutants abrogate ligand secretion,mrna,layer_2,2.5215478,Biological oxidations,mrna,layer_3,2.5215478
Hh mutants abrogate ligand secretion,mrna,layer_2,2.5215478,Metabolism of vitamins and cofactors,mrna,layer_3,2.5215478
Hh mutants abrogate ligand secretion,mrna,layer_2,2.5215478,SLC-mediated transmembrane transport,mrna,layer_3,2.5215478
Hh mutants abrogate ligand secretion,mrna,layer_2,2.5215478,Ion channel transport,mrna,layer_3,2.5215478
Hh mutants abrogate ligand secretion,mrna,layer_2,2.5215478,Intracellular oxygen transport,mrna,layer_3,2.5215478
Hh mutants abrogate ligand secretion,mrna,layer_2,2.5215478,Diseases of programmed cell death,mrna,layer_3,2.5215478
Hh mutants abrogate ligand secretion,mrna,layer_2,2.5215478,Chromosome Maintenance,mrna,layer_3,2.5215478
Hh mutants abrogate ligand secretion,mrna,layer_2,2.5215478,Cytosolic iron-sulfur cluster assembly,mrna,layer_3,2.5215478
Hh mutants abrogate ligand secretion,mrna,layer_2,2.5215478,Peptide hormone metabolism,mrna,layer_3,2.5215478
Hh mutants abrogate ligand secretion,mrna,layer_2,2.5215478,"Platelet activation, signaling and aggregation",mrna,layer_3,2.5215478
ABC transporters in lipid homeostasis,mrna,layer_1,2.2069402,Reversal of alkylation damage by DNA dioxygenases,mrna,layer_2,2.2069402
ABC transporters in lipid homeostasis,mrna,layer_1,2.2069402,Specification of the neural plate border,mrna,layer_2,2.2069402
ABC transporters in lipid homeostasis,mrna,layer_1,2.2069402,Phase II - Conjugation of compounds,mrna,layer_2,2.2069402
ABC transporters in lipid homeostasis,mrna,layer_1,2.2069402,Aflatoxin activation and detoxification,mrna,layer_2,2.2069402
ABC transporters in lipid homeostasis,mrna,layer_1,2.2069402,Hh mutants abrogate ligand secretion,mrna,layer_2,2.2069402
ABC transporters in lipid homeostasis,mrna,layer_1,2.2069402,Phase I - Functionalization of compounds,mrna,layer_2,2.2069402
ABC transporters in lipid homeostasis,mrna,layer_1,2.2069402,Transcriptional regulation by small RNAs,mrna,layer_2,2.2069402
ABC transporters in lipid homeostasis,mrna,layer_1,2.2069402,Respiratory electron transport,mrna,layer_2,2.2069402
ABC transporters in lipid homeostasis,mrna,layer_1,2.2069402,Mitochondrial Uncoupling,mrna,layer_2,2.2069402
ABC transporters in lipid homeostasis,mrna,layer_1,2.2069402,Oncogenic MAPK signaling,mrna,layer_2,2.2069402
Phase I - Functionalization of compounds,mrna,layer_2,2.1254325,Chromosome Maintenance,mrna,layer_3,2.1254325
Phase I - Functionalization of compounds,mrna,layer_2,2.1254325,Cytosolic iron-sulfur cluster assembly,mrna,layer_3,2.1254325
Phase I - Functionalization of compounds,mrna,layer_2,2.1254325,Intracellular oxygen transport,mrna,layer_3,2.1254325
Phase I - Functionalization of compounds,mrna,layer_2,2.1254325,Diseases of programmed cell death,mrna,layer_3,2.1254325
Phase I - Functionalization of compounds,mrna,layer_2,2.1254325,Peptide hormone metabolism,mrna,layer_3,2.1254325
Phase I - Functionalization of compounds,mrna,layer_2,2.1254325,"Platelet activation, signaling and aggregation",mrna,layer_3,2.1254325
Phase I - Functionalization of compounds,mrna,layer_2,2.1254325,SLC-mediated transmembrane transport,mrna,layer_3,2.1254325
Phase I - Functionalization of compounds,mrna,layer_2,2.1254325,Ion channel transport,mrna,layer_3,2.1254325
Phase I - Functionalization of compounds,mrna,layer_2,2.1254325,Metabolism of vitamins and cofactors,mrna,layer_3,2.1254325
Phase I - Functionalization of compounds,mrna,layer_2,2.1254325,Biological oxidations,mrna,layer_3,2.1254325
Scavenging by Class A Receptors,mrna,layer_1,1.9182488,Phase II - Conjugation of compounds,mrna,layer_2,1.9182488
Scavenging by Class A Receptors,mrna,layer_1,1.9182488,Aflatoxin activation and detoxification,mrna,layer_2,1.9182488
Scavenging by Class A Receptors,mrna,layer_1,1.9182488,Reversal of alkylation damage by DNA dioxygenases,mrna,layer_2,1.9182488
Scavenging by Class A Receptors,mrna,layer_1,1.9182488,Specification of the neural plate border,mrna,layer_2,1.9182488
Scavenging by Class A Receptors,mrna,layer_1,1.9182488,Oncogenic MAPK signaling,mrna,layer_2,1.9182488
Scavenging by Class A Receptors,mrna,layer_1,1.9182488,Mitochondrial Uncoupling,mrna,layer_2,1.9182488
Scavenging by Class A Receptors,mrna,layer_1,1.9182488,Hh mutants abrogate ligand secretion,mrna,layer_2,1.9182488
Scavenging by Class A Receptors,mrna,layer_1,1.9182488,Phase I - Functionalization of compounds,mrna,layer_2,1.9182488
Scavenging by Class A Receptors,mrna,layer_1,1.9182488,Respiratory electron transport,mrna,layer_2,1.9182488
Scavenging by Class A Receptors,mrna,layer_1,1.9182488,Transcriptional regulation by small RNAs,mrna,layer_2,1.9182488
Phase II - Conjugation of compounds,mrna,layer_2,1.4811367,Diseases of programmed cell death,mrna,layer_3,1.4811367
Phase II - Conjugation of compounds,mrna,layer_2,1.4811367,Intracellular oxygen transport,mrna,layer_3,1.4811367
Phase II - Conjugation of compounds,mrna,layer_2,1.4811367,SLC-mediated transmembrane transport,mrna,layer_3,1.4811367
Phase II - Conjugation of compounds,mrna,layer_2,1.4811367,Ion channel transport,mrna,layer_3,1.4811367
Phase II - Conjugation of compounds,mrna,layer_2,1.4811367,Peptide hormone metabolism,mrna,layer_3,1.4811367
Phase II - Conjugation of compounds,mrna,layer_2,1.4811367,"Platelet activation, signaling and aggregation",mrna,layer_3,1.4811367
Phase II - Conjugation of compounds,mrna,layer_2,1.4811367,Cytosolic iron-sulfur cluster assembly,mrna,layer_3,1.4811367
Phase II - Conjugation of compounds,mrna,layer_2,1.4811367,Chromosome Maintenance,mrna,layer_3,1.4811367
Phase II - Conjugation of compounds,mrna,layer_2,1.4811367,Metabolism of vitamins and cofactors,mrna,layer_3,1.4811367
Phase II - Conjugation of compounds,mrna,layer_2,1.4811367,Biological oxidations,mrna,layer_3,1.4811367
Aflatoxin activation and detoxification,mrna,layer_2,1.4406036,SLC-mediated transmembrane transport,mrna,layer_3,1.4406036
Aflatoxin activation and detoxification,mrna,layer_2,1.4406036,Ion channel transport,mrna,layer_3,1.4406036
Aflatoxin activation and detoxification,mrna,layer_2,1.4406036,Chromosome Maintenance,mrna,layer_3,1.4406036
Aflatoxin activation and detoxification,mrna,layer_2,1.4406036,Cytosolic iron-sulfur cluster assembly,mrna,layer_3,1.4406036
Aflatoxin activation and detoxification,mrna,layer_2,1.4406036,"Platelet activation, signaling and aggregation",mrna,layer_3,1.4406036
Aflatoxin activation and detoxification,mrna,layer_2,1.4406036,Peptide hormone metabolism,mrna,layer_3,1.4406036
Aflatoxin activation and detoxification,mrna,layer_2,1.4406036,Diseases of programmed cell death,mrna,layer_3,1.4406036
Aflatoxin activation and detoxification,mrna,layer_2,1.4406036,Intracellular oxygen transport,mrna,layer_3,1.4406036
Aflatoxin activation and detoxification,mrna,layer_2,1.4406036,Biological oxidations,mrna,layer_3,1.4406036
Aflatoxin activation and detoxification,mrna,layer_2,1.4406036,Metabolism of vitamins and cofactors,mrna,layer_3,1.4406036
Choline catabolism,mrna,layer_1,1.4101385,Transcriptional regulation by small RNAs,mrna,layer_2,1.4101385
Choline catabolism,mrna,layer_1,1.4101385,Respiratory electron transport,mrna,layer_2,1.4101385
Choline catabolism,mrna,layer_1,1.4101385,Phase I - Functionalization of compounds,mrna,layer_2,1.4101385
Choline catabolism,mrna,layer_1,1.4101385,Hh mutants abrogate ligand secretion,mrna,layer_2,1.4101385
Choline catabolism,mrna,layer_1,1.4101385,Aflatoxin activation and detoxification,mrna,layer_2,1.4101385
Choline catabolism,mrna,layer_1,1.4101385,Phase II - Conjugation of compounds,mrna,layer_2,1.4101385
Choline catabolism,mrna,layer_1,1.4101385,Specification of the neural plate border,mrna,layer_2,1.4101385
Choline catabolism,mrna,layer_1,1.4101385,Reversal of alkylation damage by DNA dioxygenases,mrna,layer_2,1.4101385
Choline catabolism,mrna,layer_1,1.4101385,Oncogenic MAPK signaling,mrna,layer_2,1.4101385
Choline catabolism,mrna,layer_1,1.4101385,Mitochondrial Uncoupling,mrna,layer_2,1.4101385
Degradation of GLI1 by the proteasome,mrna,layer_1,1.2735677,Aflatoxin activation and detoxification,mrna,layer_2,1.2735677
Degradation of GLI1 by the proteasome,mrna,layer_1,1.2735677,Phase II - Conjugation of compounds,mrna,layer_2,1.2735677
Degradation of GLI1 by the proteasome,mrna,layer_1,1.2735677,Mitochondrial Uncoupling,mrna,layer_2,1.2735677
Degradation of GLI1 by the proteasome,mrna,layer_1,1.2735677,Oncogenic MAPK signaling,mrna,layer_2,1.2735677
