omics,layer,node_index,importance,mapped_name,overall_position
SNV,input,0,0.3431054,A2M,
SNV,input,1,0.10794599,AAAS,
SNV,input,2,0.39195016,ABCA1,
SNV,input,3,0.3868888,ABCA12,
SNV,input,4,0.56256694,ABCA13,
SNV,input,5,0.20226118,ABCA2,
SNV,input,6,0.22630814,ABCA3,
SNV,input,7,0.29307893,ABCA5,
SNV,input,8,0.4137745,ABCA6,
SNV,input,9,0.112009026,ABCA7,
SNV,input,10,0.40121564,ABCA9,
SNV,input,11,0.28184208,ABCB4,
SNV,input,12,0.13532484,ABCB6,
SNV,input,13,0.23136672,ABCB7,
SNV,input,14,0.1760899,ABCB8,
SNV,input,15,0.28710195,ABCC2,
SNV,input,16,0.18708222,ABCC3,
SNV,input,17,0.23501712,ABCC4,
SNV,input,18,0.29799262,ABCC5,
SNV,input,19,0.37956345,ABCC9,
SNV,input,20,0.24681029,ABCD1,
SNV,input,21,0.3943528,ABCD2,
SNV,input,22,0.17931533,ABCD3,
SNV,input,23,0.09391672,ABCD4,
SNV,input,24,0.18075755,ABCE1,
SNV,input,25,0.2128734,ABCF2,
SNV,input,26,0.05872075,ABCG1,
SNV,input,27,0.2547372,ABCG2,
SNV,input,28,0.24469033,ABCG4,
SNV,input,29,0.13408276,ABCG5,
SNV,input,30,0.3426308,ABCG8,
SNV,input,31,0.0919184,ABHD17B,
SNV,input,32,0.12706454,ABHD4,
SNV,input,33,0.04007186,ABHD6,
SNV,input,34,0.22207738,ABI1,
SNV,input,35,0.05672243,ABI2,
SNV,input,36,0.2329623,ABL1,
SNV,input,37,0.23535186,ABL2,
SNV,input,38,0.15436478,ABLIM2,
SNV,input,39,0.21791339,ABLIM3,
SNV,input,40,0.14355843,ABR,
SNV,input,41,0.04007186,ACAA1,
SNV,input,42,0.4112947,ACACB,
SNV,input,43,0.21990435,ACAD10,
SNV,input,44,0.17823026,ACAD11,
SNV,input,45,0.12684953,ACADL,
SNV,input,46,0.23556152,ACADM,
SNV,input,47,0.116548516,ACADS,
SNV,input,48,0.08998483,ACADVL,
SNV,input,49,0.12684953,ACAT1,
SNV,input,50,0.17249681,ACBD4,
SNV,input,51,0.23263943,ACBD5,
SNV,input,52,0.04007186,ACBD6,
SNV,input,53,0.08998483,ACBD7,
SNV,input,54,0.2697403,ACE2,
SNV,input,55,0.15550695,ACER2,
SNV,input,56,0.04007186,ACER3,
SNV,input,57,0.21348777,ACHE,
SNV,input,58,0.15739857,ACKR2,
SNV,input,59,0.18346019,ACKR3,
SNV,input,60,0.13657378,ACKR4,
SNV,input,61,0.13408276,ACLY,
SNV,input,62,0.15615651,ACMSD,
SNV,input,63,0.12684953,ACO2,
SNV,input,64,0.13126019,ACOT11,
SNV,input,65,0.12729664,ACOT12,
SNV,input,66,0.24675521,ACOT2,
SNV,input,67,0.10961058,ACOT4,
