omics,layer,node_index,importance,mapped_name,overall_position
SNV,input,0,0.32983297,A2M,
SNV,input,1,0.10076648,AAAS,
SNV,input,2,0.36438906,ABCA1,
SNV,input,3,0.37593004,ABCA12,
SNV,input,4,0.54872006,ABCA13,
SNV,input,5,0.1786043,ABCA2,
SNV,input,6,0.16813332,ABCA3,
SNV,input,7,0.2955077,ABCA5,
SNV,input,8,0.35093832,ABCA6,
SNV,input,9,0.14104138,ABCA7,
SNV,input,10,0.43655986,ABCA9,
SNV,input,11,0.35431552,ABCB4,
SNV,input,12,0.12250797,ABCB6,
SNV,input,13,0.20926246,ABCB7,
SNV,input,14,0.13587704,ABCB8,
SNV,input,15,0.32184735,ABCC2,
SNV,input,16,0.1681333,ABCC3,
SNV,input,17,0.18896185,ABCC4,
SNV,input,18,0.23460962,ABCC5,
SNV,input,19,0.3396943,ABCC9,
SNV,input,20,0.24198692,ABCD1,
SNV,input,21,0.31780466,ABCD2,
SNV,input,22,0.19922523,ABCD3,
SNV,input,23,0.08475377,ABCD4,
SNV,input,24,0.1366633,ABCE1,
SNV,input,25,0.17800178,ABCF2,
SNV,input,26,0.057688866,ABCG1,
SNV,input,27,0.22989038,ABCG2,
SNV,input,28,0.21393739,ABCG4,
SNV,input,29,0.21090668,ABCG5,
SNV,input,30,0.37612957,ABCG8,
SNV,input,31,0.08171927,ABHD17B,
SNV,input,32,0.08475376,ABHD4,
SNV,input,33,0.038610872,ABHD6,
SNV,input,34,0.27875236,ABI1,
SNV,input,35,0.05465437,ABI2,
SNV,input,36,0.20342273,ABL1,
SNV,input,37,0.22694068,ABL2,
SNV,input,38,0.10878419,ABLIM2,
SNV,input,39,0.2925186,ABLIM3,
SNV,input,40,0.13057753,ABR,
SNV,input,41,0.038610872,ACAA1,
SNV,input,42,0.39147648,ACACB,
SNV,input,43,0.17644675,ACAD10,
SNV,input,44,0.1904723,ACAD11,
SNV,input,45,0.111073285,ACADL,
SNV,input,46,0.20744652,ACADM,
SNV,input,47,0.09150721,ACADS,
SNV,input,48,0.1436584,ACADVL,
SNV,input,49,0.13311018,ACAT1,
SNV,input,50,0.10878416,ACBD4,
SNV,input,51,0.10878418,ACBD5,
SNV,input,52,0.038610872,ACBD6,
SNV,input,53,0.076992795,ACBD7,
SNV,input,54,0.2286528,ACE2,
SNV,input,55,0.26546255,ACER2,
SNV,input,56,0.038610872,ACER3,
SNV,input,57,0.15455309,ACHE,
SNV,input,58,0.13948217,ACKR2,
SNV,input,59,0.15566662,ACKR3,
SNV,input,60,0.111073285,ACKR4,
SNV,input,61,0.15396,ACLY,
SNV,input,62,0.13757889,ACMSD,
SNV,input,63,0.111073285,ACO2,
SNV,input,64,0.11763214,ACOT11,
SNV,input,65,0.108323805,ACOT12,
SNV,input,66,0.15284465,ACOT2,
SNV,input,67,0.08171927,ACOT4,
SNV,input,68,0.12628244,ACOT7,
SNV,input,69,0.19268894,ACOT8,
SNV,input,70,0.038610872,ACOT9,
SNV,input,71,0.21876,ACOX1,
SNV,input,72,0.10832379,ACOX2,
SNV,input,73,0.14310268,ACOX3,
SNV,input,74,0.12250797,ACOXL,
SNV,input,75,0.11763214,ACP3,
SNV,input,76,0.1324266,ACP6,
SNV,input,77,0.05465437,ACSBG2,
SNV,input,78,0.11549828,ACSF2,
SNV,input,79,0.20777105,ACSF3,
SNV,input,80,0.13311018,ACSL1,
SNV,input,81,0.13119392,ACSL3,
SNV,input,82,0.20526776,ACSL5,
SNV,input,83,0.27887556,ACSL6,
SNV,input,84,0.40661016,ACSM2A,
SNV,input,85,0.3139213,ACSM2B,
SNV,input,86,0.24371773,ACSM3,
SNV,input,87,0.31218532,ACSM4,
SNV,input,88,0.21823722,ACSM5,
SNV,input,89,0.1353887,ACSM6,
SNV,input,90,0.10878416,ACSS2,
SNV,input,91,0.3605211,ACSS3,
SNV,input,92,0.14137009,ACTB,
SNV,input,93,0.34108797,ACTC1,
SNV,input,94,0.15488423,ACTG1,
SNV,input,95,0.26141205,ACTG2,
SNV,input,96,0.22968914,ACTL6A,
SNV,input,97,0.19890425,ACTL6B,
SNV,input,98,0.13381349,ACTN1,
SNV,input,99,0.29487684,ACTN2,
SNV,input,100,0.12627487,ACTN3,
SNV,input,101,0.35878885,ACTN4,
SNV,input,102,0.15284465,ACTR10,
SNV,input,103,0.07699279,ACTR1A,
SNV,input,104,0.08903639,ACTR1B,
SNV,input,105,0.05465437,ACTR2,
SNV,input,106,0.13757889,ACTR3,
SNV,input,107,0.12444665,ACTR5,
SNV,input,108,0.1353887,ACTR8,
SNV,input,109,0.2867236,ACVR1C,
SNV,input,110,0.14546478,ACVR2A,
SNV,input,111,0.05465437,ACVR2B,
SNV,input,112,0.2674034,ACVRL1,
SNV,input,113,0.111073285,ACY3,
SNV,input,114,0.09150722,ADAL,
SNV,input,115,0.17404811,ADAM10,
SNV,input,116,0.21991818,ADAM15,
SNV,input,117,0.10291358,ADAM17,
SNV,input,118,0.25876737,ADAM19,
SNV,input,119,0.21291183,ADAM20,
SNV,input,120,0.25753742,ADAM21,
SNV,input,121,0.3360717,ADAM22,
SNV,input,122,0.34052044,ADAM23,
SNV,input,123,0.11549828,ADAM30,
SNV,input,124,0.2006416,ADAM33,
SNV,input,125,0.038610872,ADAM8,
SNV,input,126,0.24514645,ADAM9,
SNV,input,127,0.26266244,ADAMTS10,
SNV,input,128,0.58664006,ADAMTS12,
SNV,input,129,0.2193425,ADAMTS13,
SNV,input,130,0.15368657,ADAMTS14,
SNV,input,131,0.17178114,ADAMTS15,
SNV,input,132,0.4555159,ADAMTS16,
SNV,input,133,0.19911392,ADAMTS17,
SNV,input,134,0.4947822,ADAMTS18,
SNV,input,135,0.335281,ADAMTS19,
SNV,input,136,0.38699237,ADAMTS2,
