id,name,layer,omics,importance
CNV_layer_2_176,R-HSA-5423599,layer_2,CNV,14.7090025
CNV_layer_1_304,R-HSA-447115,layer_1,CNV,10.269516
CNV_layer_2_258,R-HSA-2151201,layer_2,CNV,7.5940056
CNV_layer_1_447,R-HSA-5679090,layer_1,CNV,6.911196
CNV_layer_3_101,R-HSA-5683826,layer_3,CNV,6.5695753
CNV_layer_1_303,R-HSA-446652,layer_1,CNV,5.4609404
CNV_layer_1_186,R-HSA-5662702,layer_1,CNV,4.6602955
CNV_layer_1_228,R-HSA-198693,layer_1,CNV,4.3144255
CNV_layer_2_118,R-HSA-9824443,layer_2,CNV,4.1392837
CNV_layer_3_103,R-HSA-72766,layer_3,CNV,4.039007
CNV_layer_1_203,R-HSA-5620916,layer_1,CNV,3.8837616
CNV_layer_2_129,R-HSA-8868773,layer_2,CNV,3.5616117
CNV_layer_1_212,R-HSA-8963896,layer_1,CNV,3.5586855
CNV_layer_1_210,R-HSA-8866423,layer_1,CNV,3.2726884
CNV_layer_2_104,R-HSA-9907900,layer_2,CNV,3.068947
CNV_layer_1_436,R-HSA-6798163,layer_1,CNV,3.0550714
CNV_layer_1_99,R-HSA-2534343,layer_1,CNV,2.947218
CNV_layer_2_253,R-HSA-500792,layer_2,CNV,2.7510967
CNV_layer_3_48,R-HSA-425407,layer_3,CNV,2.7141123
CNV_layer_2_59,R-HSA-75064,layer_2,CNV,2.707764
CNV_layer_2_261,R-HSA-140834,layer_2,CNV,2.4886887
CNV_layer_3_23,R-HSA-199991,layer_3,CNV,2.4171095
CNV_layer_2_263,R-HSA-140875,layer_2,CNV,2.3902984
CNV_layer_3_69,R-HSA-212165,layer_3,CNV,2.3554091
CNV_layer_3_97,R-HSA-2980736,layer_3,CNV,2.3086338
CNV_layer_2_171,R-HSA-209952,layer_2,CNV,2.266661
CNV_layer_4_13,R-HSA-392499,layer_4,CNV,1.9549296
CNV_layer_4_4,R-HSA-1474165,layer_4,CNV,1.815823
CNV_input_790,BET1,input,CNV,1.475605
CNV_input_3131,GNG11,input,CNV,1.4744023
CNV_input_8879,TRDN,input,CNV,1.4449825
CNV_input_3140,GNGT1,input,CNV,1.4162985
CNV_input_7102,RBP3,input,CNV,1.3097768
CNV_input_2994,GDF2,input,CNV,1.3097768
CNV_input_1551,COL1A2,input,CNV,1.2988652
CNV_input_2815,FPGS,input,CNV,1.2596264
CNV_input_1243,CDK9,input,CNV,1.2596264
CNV_input_5593,NUP93,input,CNV,1.2565496
CNV_layer_3_52,R-HSA-8981607,layer_3,CNV,0.9680952
CNV_layer_3_42,R-HSA-556833,layer_3,CNV,0.95921826
CNV_layer_3_94,R-HSA-390522,layer_3,CNV,0.70985967
CNV_layer_3_60,R-HSA-69620,layer_3,CNV,0.5833047
CNV_layer_4_7,R-HSA-162582,layer_4,CNV,0.5570571
CNV_layer_4_10,R-HSA-168256,layer_4,CNV,0.53944653
CNV_layer_4_25,R-HSA-9609507,layer_4,CNV,0.29974288
CNV_layer_4_17,R-HSA-5357801,layer_4,CNV,0.22509481
CNV_layer_4_18,R-HSA-5653656,layer_4,CNV,0.09996519
CNV_layer_4_20,R-HSA-73894,layer_4,CNV,0.052150175
CNV_layer_4_0,R-HSA-109582,layer_4,CNV,0.035235286
CNV_layer_4_21,R-HSA-74160,layer_4,CNV,0.013659774
