Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
R-HSA-5423599,CNV,layer_2,14.7090025,R-HSA-212165,CNV,layer_3,14.7090025
R-HSA-5423599,CNV,layer_2,14.7090025,R-HSA-2980736,CNV,layer_3,14.7090025
R-HSA-5423599,CNV,layer_2,14.7090025,R-HSA-8981607,CNV,layer_3,14.7090025
R-HSA-5423599,CNV,layer_2,14.7090025,R-HSA-556833,CNV,layer_3,14.7090025
R-HSA-5423599,CNV,layer_2,14.7090025,R-HSA-72766,CNV,layer_3,14.7090025
R-HSA-5423599,CNV,layer_2,14.7090025,R-HSA-5683826,CNV,layer_3,14.7090025
R-HSA-5423599,CNV,layer_2,14.7090025,R-HSA-199991,CNV,layer_3,14.7090025
R-HSA-5423599,CNV,layer_2,14.7090025,R-HSA-425407,CNV,layer_3,14.7090025
R-HSA-5423599,CNV,layer_2,14.7090025,R-HSA-390522,CNV,layer_3,14.7090025
R-HSA-5423599,CNV,layer_2,14.7090025,R-HSA-69620,CNV,layer_3,14.7090025
R-HSA-447115,CNV,layer_1,10.269516,R-HSA-8868773,CNV,layer_2,10.269516
R-HSA-447115,CNV,layer_1,10.269516,R-HSA-9824443,CNV,layer_2,10.269516
R-HSA-447115,CNV,layer_1,10.269516,R-HSA-140834,CNV,layer_2,10.269516
R-HSA-447115,CNV,layer_1,10.269516,R-HSA-5423599,CNV,layer_2,10.269516
R-HSA-447115,CNV,layer_1,10.269516,R-HSA-75064,CNV,layer_2,10.269516
R-HSA-447115,CNV,layer_1,10.269516,R-HSA-500792,CNV,layer_2,10.269516
R-HSA-447115,CNV,layer_1,10.269516,R-HSA-209952,CNV,layer_2,10.269516
R-HSA-447115,CNV,layer_1,10.269516,R-HSA-140875,CNV,layer_2,10.269516
R-HSA-447115,CNV,layer_1,10.269516,R-HSA-2151201,CNV,layer_2,10.269516
R-HSA-447115,CNV,layer_1,10.269516,R-HSA-9907900,CNV,layer_2,10.269516
R-HSA-2151201,CNV,layer_2,7.5940056,R-HSA-556833,CNV,layer_3,7.5940056
R-HSA-2151201,CNV,layer_2,7.5940056,R-HSA-8981607,CNV,layer_3,7.5940056
R-HSA-2151201,CNV,layer_2,7.5940056,R-HSA-72766,CNV,layer_3,7.5940056
R-HSA-2151201,CNV,layer_2,7.5940056,R-HSA-5683826,CNV,layer_3,7.5940056
R-HSA-2151201,CNV,layer_2,7.5940056,R-HSA-390522,CNV,layer_3,7.5940056
R-HSA-2151201,CNV,layer_2,7.5940056,R-HSA-69620,CNV,layer_3,7.5940056
R-HSA-2151201,CNV,layer_2,7.5940056,R-HSA-212165,CNV,layer_3,7.5940056
R-HSA-2151201,CNV,layer_2,7.5940056,R-HSA-2980736,CNV,layer_3,7.5940056
R-HSA-2151201,CNV,layer_2,7.5940056,R-HSA-425407,CNV,layer_3,7.5940056
R-HSA-2151201,CNV,layer_2,7.5940056,R-HSA-199991,CNV,layer_3,7.5940056
R-HSA-5679090,CNV,layer_1,6.911196,R-HSA-500792,CNV,layer_2,6.911196
R-HSA-5679090,CNV,layer_1,6.911196,R-HSA-75064,CNV,layer_2,6.911196
R-HSA-5679090,CNV,layer_1,6.911196,R-HSA-9907900,CNV,layer_2,6.911196
R-HSA-5679090,CNV,layer_1,6.911196,R-HSA-8868773,CNV,layer_2,6.911196
R-HSA-5679090,CNV,layer_1,6.911196,R-HSA-140875,CNV,layer_2,6.911196
R-HSA-5679090,CNV,layer_1,6.911196,R-HSA-140834,CNV,layer_2,6.911196
R-HSA-5679090,CNV,layer_1,6.911196,R-HSA-2151201,CNV,layer_2,6.911196
R-HSA-5679090,CNV,layer_1,6.911196,R-HSA-5423599,CNV,layer_2,6.911196
R-HSA-5679090,CNV,layer_1,6.911196,R-HSA-209952,CNV,layer_2,6.911196
R-HSA-5679090,CNV,layer_1,6.911196,R-HSA-9824443,CNV,layer_2,6.911196
R-HSA-5683826,CNV,layer_3,6.5695753,R-HSA-109582,CNV,layer_4,6.5695753
R-HSA-5683826,CNV,layer_3,6.5695753,R-HSA-73894,CNV,layer_4,6.5695753
R-HSA-5683826,CNV,layer_3,6.5695753,R-HSA-162582,CNV,layer_4,6.5695753
R-HSA-5683826,CNV,layer_3,6.5695753,R-HSA-1474165,CNV,layer_4,6.5695753
R-HSA-5683826,CNV,layer_3,6.5695753,R-HSA-74160,CNV,layer_4,6.5695753
R-HSA-5683826,CNV,layer_3,6.5695753,R-HSA-392499,CNV,layer_4,6.5695753
R-HSA-5683826,CNV,layer_3,6.5695753,R-HSA-5357801,CNV,layer_4,6.5695753
R-HSA-5683826,CNV,layer_3,6.5695753,R-HSA-9609507,CNV,layer_4,6.5695753
R-HSA-5683826,CNV,layer_3,6.5695753,R-HSA-5653656,CNV,layer_4,6.5695753
R-HSA-5683826,CNV,layer_3,6.5695753,R-HSA-168256,CNV,layer_4,6.5695753
R-HSA-446652,CNV,layer_1,5.4609404,R-HSA-2151201,CNV,layer_2,5.4609404
R-HSA-446652,CNV,layer_1,5.4609404,R-HSA-9824443,CNV,layer_2,5.4609404
R-HSA-446652,CNV,layer_1,5.4609404,R-HSA-75064,CNV,layer_2,5.4609404
R-HSA-446652,CNV,layer_1,5.4609404,R-HSA-140834,CNV,layer_2,5.4609404
R-HSA-446652,CNV,layer_1,5.4609404,R-HSA-9907900,CNV,layer_2,5.4609404
R-HSA-446652,CNV,layer_1,5.4609404,R-HSA-500792,CNV,layer_2,5.4609404
R-HSA-446652,CNV,layer_1,5.4609404,R-HSA-8868773,CNV,layer_2,5.4609404
R-HSA-446652,CNV,layer_1,5.4609404,R-HSA-140875,CNV,layer_2,5.4609404
R-HSA-446652,CNV,layer_1,5.4609404,R-HSA-209952,CNV,layer_2,5.4609404
