id,name,layer,omics,importance
SNV_layer_1_600,R-HSA-176974,layer_1,SNV,36.949947
SNV_layer_3_117,R-HSA-5696398,layer_3,SNV,33.366055
SNV_layer_2_341,R-HSA-1236394,layer_2,SNV,33.235867
SNV_input_6991,SDHD,input,SNV,6.9477673
SNV_input_7629,SSR1,input,SNV,6.9477673
SNV_layer_1_226,R-HSA-198323,layer_1,SNV,6.1929207
SNV_layer_2_24,R-HSA-9033500,layer_2,SNV,5.4256043
SNV_input_3500,IGLV1-51,input,SNV,4.945095
SNV_layer_4_2,R-HSA-1266738,layer_4,SNV,4.5156736
SNV_layer_3_12,R-HSA-429914,layer_3,SNV,4.4983697
SNV_layer_1_40,R-HSA-879518,layer_1,SNV,4.094295
SNV_input_2271,EPOR,input,SNV,4.04126
SNV_input_4684,MSRB2,input,SNV,4.0186253
SNV_layer_1_52,R-HSA-192456,layer_1,SNV,3.8552582
SNV_input_8456,UGT1A7,input,SNV,3.5225139
SNV_input_5321,OR1E2,input,SNV,3.5225139
SNV_input_5218,OAZ1,input,SNV,3.5225139
SNV_input_4494,MFN2,input,SNV,3.5225139
SNV_input_759,BICD1,input,SNV,3.5221825
SNV_layer_2_31,R-HSA-388844,layer_2,SNV,3.3055232
SNV_layer_3_15,R-HSA-72306,layer_3,SNV,2.7448013
SNV_layer_1_49,R-HSA-77111,layer_1,SNV,2.413732
SNV_layer_1_38,R-HSA-804914,layer_1,SNV,2.0767972
SNV_layer_2_340,R-HSA-1227986,layer_2,SNV,2.0053294
SNV_layer_1_599,R-HSA-3215018,layer_1,SNV,1.8747699
SNV_layer_1_64,R-HSA-9680350,layer_1,SNV,1.801974
SNV_layer_1_75,R-HSA-9629569,layer_1,SNV,1.765726
SNV_layer_1_622,R-HSA-936837,layer_1,SNV,1.5769297
SNV_layer_2_42,R-HSA-3371497,layer_2,SNV,1.5146831
SNV_layer_3_20,R-HSA-1187000,layer_3,SNV,1.4004573
SNV_layer_4_7,R-HSA-162582,layer_4,SNV,1.1289074
SNV_layer_3_38,R-HSA-196854,layer_3,SNV,1.0108771
SNV_layer_2_48,R-HSA-9711123,layer_2,SNV,0.9896886
SNV_layer_2_106,R-HSA-203615,layer_2,SNV,0.86260545
SNV_layer_2_100,R-HSA-9857492,layer_2,SNV,0.7074024
SNV_layer_3_40,R-HSA-211859,layer_3,SNV,0.6189016
SNV_layer_4_3,R-HSA-1430728,layer_4,SNV,0.58955467
SNV_layer_2_36,R-HSA-5619102,layer_2,SNV,0.5692661
SNV_layer_2_96,R-HSA-8873719,layer_2,SNV,0.43872857
SNV_layer_3_17,R-HSA-75072,layer_3,SNV,0.3526349
SNV_layer_4_24,R-HSA-8963743,layer_4,SNV,0.33543542
SNV_layer_3_39,R-HSA-202131,layer_3,SNV,0.2280402
SNV_layer_3_106,R-HSA-3247509,layer_3,SNV,0.21850754
SNV_layer_4_19,R-HSA-69306,layer_4,SNV,0.1840248
SNV_layer_3_43,R-HSA-71291,layer_3,SNV,0.17662464
SNV_layer_4_8,R-HSA-1640170,layer_4,SNV,0.1034374
SNV_layer_4_14,R-HSA-397014,layer_4,SNV,0.06479354
SNV_layer_4_15,R-HSA-400253,layer_4,SNV,0.041804202
SNV_layer_4_9,R-HSA-1643685,layer_4,SNV,0.028944293
SNV_layer_4_28,R-HSA-9748784,layer_4,SNV,0.025564257
