Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
R-HSA-176974,SNV,layer_1,36.949947,R-HSA-3371497,SNV,layer_2,36.949947
R-HSA-176974,SNV,layer_1,36.949947,R-HSA-9711123,SNV,layer_2,36.949947
R-HSA-176974,SNV,layer_1,36.949947,R-HSA-1236394,SNV,layer_2,36.949947
R-HSA-176974,SNV,layer_1,36.949947,R-HSA-9033500,SNV,layer_2,36.949947
R-HSA-176974,SNV,layer_1,36.949947,R-HSA-8873719,SNV,layer_2,36.949947
R-HSA-176974,SNV,layer_1,36.949947,R-HSA-5619102,SNV,layer_2,36.949947
R-HSA-176974,SNV,layer_1,36.949947,R-HSA-203615,SNV,layer_2,36.949947
R-HSA-176974,SNV,layer_1,36.949947,R-HSA-9857492,SNV,layer_2,36.949947
R-HSA-176974,SNV,layer_1,36.949947,R-HSA-1227986,SNV,layer_2,36.949947
R-HSA-176974,SNV,layer_1,36.949947,R-HSA-388844,SNV,layer_2,36.949947
R-HSA-5696398,SNV,layer_3,33.366055,R-HSA-397014,SNV,layer_4,33.366055
R-HSA-5696398,SNV,layer_3,33.366055,R-HSA-400253,SNV,layer_4,33.366055
R-HSA-5696398,SNV,layer_3,33.366055,R-HSA-1643685,SNV,layer_4,33.366055
R-HSA-5696398,SNV,layer_3,33.366055,R-HSA-9748784,SNV,layer_4,33.366055
R-HSA-5696398,SNV,layer_3,33.366055,R-HSA-1266738,SNV,layer_4,33.366055
R-HSA-5696398,SNV,layer_3,33.366055,R-HSA-162582,SNV,layer_4,33.366055
R-HSA-5696398,SNV,layer_3,33.366055,R-HSA-69306,SNV,layer_4,33.366055
R-HSA-5696398,SNV,layer_3,33.366055,R-HSA-1640170,SNV,layer_4,33.366055
R-HSA-5696398,SNV,layer_3,33.366055,R-HSA-8963743,SNV,layer_4,33.366055
R-HSA-5696398,SNV,layer_3,33.366055,R-HSA-1430728,SNV,layer_4,33.366055
R-HSA-1236394,SNV,layer_2,33.235867,R-HSA-1187000,SNV,layer_3,33.235867
R-HSA-1236394,SNV,layer_2,33.235867,R-HSA-72306,SNV,layer_3,33.235867
R-HSA-1236394,SNV,layer_2,33.235867,R-HSA-429914,SNV,layer_3,33.235867
R-HSA-1236394,SNV,layer_2,33.235867,R-HSA-5696398,SNV,layer_3,33.235867
R-HSA-1236394,SNV,layer_2,33.235867,R-HSA-71291,SNV,layer_3,33.235867
R-HSA-1236394,SNV,layer_2,33.235867,R-HSA-3247509,SNV,layer_3,33.235867
R-HSA-1236394,SNV,layer_2,33.235867,R-HSA-211859,SNV,layer_3,33.235867
R-HSA-1236394,SNV,layer_2,33.235867,R-HSA-196854,SNV,layer_3,33.235867
R-HSA-1236394,SNV,layer_2,33.235867,R-HSA-202131,SNV,layer_3,33.235867
R-HSA-1236394,SNV,layer_2,33.235867,R-HSA-75072,SNV,layer_3,33.235867
SSR1,SNV,input,6.9477673,R-HSA-3215018,SNV,layer_1,6.9477673
SSR1,SNV,input,6.9477673,R-HSA-9680350,SNV,layer_1,6.9477673
SSR1,SNV,input,6.9477673,R-HSA-9629569,SNV,layer_1,6.9477673
SSR1,SNV,input,6.9477673,R-HSA-936837,SNV,layer_1,6.9477673
SDHD,SNV,input,6.9477673,R-HSA-9629569,SNV,layer_1,6.9477673
SDHD,SNV,input,6.9477673,R-HSA-936837,SNV,layer_1,6.9477673
SSR1,SNV,input,6.9477673,R-HSA-176974,SNV,layer_1,6.9477673
SSR1,SNV,input,6.9477673,R-HSA-198323,SNV,layer_1,6.9477673
SSR1,SNV,input,6.9477673,R-HSA-879518,SNV,layer_1,6.9477673
SSR1,SNV,input,6.9477673,R-HSA-192456,SNV,layer_1,6.9477673
SSR1,SNV,input,6.9477673,R-HSA-77111,SNV,layer_1,6.9477673
SSR1,SNV,input,6.9477673,R-HSA-804914,SNV,layer_1,6.9477673
SDHD,SNV,input,6.9477673,R-HSA-176974,SNV,layer_1,6.9477673
SDHD,SNV,input,6.9477673,R-HSA-198323,SNV,layer_1,6.9477673
SDHD,SNV,input,6.9477673,R-HSA-879518,SNV,layer_1,6.9477673
SDHD,SNV,input,6.9477673,R-HSA-192456,SNV,layer_1,6.9477673
SDHD,SNV,input,6.9477673,R-HSA-77111,SNV,layer_1,6.9477673
SDHD,SNV,input,6.9477673,R-HSA-804914,SNV,layer_1,6.9477673
SDHD,SNV,input,6.9477673,R-HSA-3215018,SNV,layer_1,6.9477673
SDHD,SNV,input,6.9477673,R-HSA-9680350,SNV,layer_1,6.9477673
R-HSA-198323,SNV,layer_1,6.1929207,R-HSA-8873719,SNV,layer_2,6.1929207
R-HSA-198323,SNV,layer_1,6.1929207,R-HSA-5619102,SNV,layer_2,6.1929207
R-HSA-198323,SNV,layer_1,6.1929207,R-HSA-9033500,SNV,layer_2,6.1929207
R-HSA-198323,SNV,layer_1,6.1929207,R-HSA-388844,SNV,layer_2,6.1929207
R-HSA-198323,SNV,layer_1,6.1929207,R-HSA-1227986,SNV,layer_2,6.1929207
R-HSA-198323,SNV,layer_1,6.1929207,R-HSA-3371497,SNV,layer_2,6.1929207
R-HSA-198323,SNV,layer_1,6.1929207,R-HSA-9711123,SNV,layer_2,6.1929207
R-HSA-198323,SNV,layer_1,6.1929207,R-HSA-1236394,SNV,layer_2,6.1929207
R-HSA-198323,SNV,layer_1,6.1929207,R-HSA-9857492,SNV,layer_2,6.1929207
R-HSA-198323,SNV,layer_1,6.1929207,R-HSA-203615,SNV,layer_2,6.1929207
R-HSA-9033500,SNV,layer_2,5.4256043,R-HSA-202131,SNV,layer_3,5.4256043
R-HSA-9033500,SNV,layer_2,5.4256043,R-HSA-3247509,SNV,layer_3,5.4256043
R-HSA-9033500,SNV,layer_2,5.4256043,R-HSA-5696398,SNV,layer_3,5.4256043
