id,name,layer,omics,importance
SNV_layer_1_600,R-HSA-176974,layer_1,SNV,36.949947
SNV_layer_3_117,R-HSA-5696398,layer_3,SNV,33.366055
SNV_layer_2_341,R-HSA-1236394,layer_2,SNV,33.235867
mrna_layer_1_619,R-HSA-8876725,layer_1,mrna,17.33926
CNV_layer_2_176,R-HSA-5423599,layer_2,CNV,14.7090025
mrna_layer_2_352,R-HSA-190236,layer_2,mrna,10.446382
CNV_layer_1_304,R-HSA-447115,layer_1,CNV,10.269516
mrna_layer_1_31,R-HSA-418594,layer_1,mrna,7.6033797
CNV_layer_2_258,R-HSA-2151201,layer_2,CNV,7.5940056
mrna_layer_1_411,R-HSA-68962,layer_1,mrna,7.5466514
SNV_input_7629,SSR1,input,SNV,6.9477673
SNV_input_6991,SDHD,input,SNV,6.9477673
CNV_layer_1_447,R-HSA-5679090,layer_1,CNV,6.911196
CNV_layer_3_101,R-HSA-5683826,layer_3,CNV,6.5695753
SNV_layer_1_226,R-HSA-198323,layer_1,SNV,6.1929207
CNV_layer_1_303,R-HSA-446652,layer_1,CNV,5.4609404
SNV_layer_2_24,R-HSA-9033500,layer_2,SNV,5.4256043
mrna_layer_2_7,R-HSA-9832991,layer_2,mrna,5.376211
mrna_layer_1_11,R-HSA-162699,layer_1,mrna,5.0779867
SNV_input_3500,IGLV1-51,input,SNV,4.945095
CNV_layer_1_186,R-HSA-5662702,layer_1,CNV,4.6602955
SNV_layer_4_2,R-HSA-1266738,layer_4,SNV,4.5156736
SNV_layer_3_12,R-HSA-429914,layer_3,SNV,4.4983697
mrna_layer_1_467,R-HSA-9633012,layer_1,mrna,4.404348
CNV_layer_1_228,R-HSA-198693,layer_1,CNV,4.3144255
mrna_layer_2_1,R-HSA-9843743,layer_2,mrna,4.2382746
CNV_layer_2_118,R-HSA-9824443,layer_2,CNV,4.1392837
SNV_layer_1_40,R-HSA-879518,layer_1,SNV,4.094295
mrna_layer_4_15,R-HSA-400253,layer_4,mrna,4.0769367
SNV_input_2271,EPOR,input,SNV,4.04126
CNV_layer_3_103,R-HSA-72766,layer_3,CNV,4.039007
SNV_input_4684,MSRB2,input,SNV,4.0186253
SNV_layer_1_52,R-HSA-192456,layer_1,SNV,3.8552582
CNV_layer_2_129,R-HSA-8868773,layer_2,CNV,3.5616117
mrna_layer_2_264,R-HSA-1502540,layer_2,mrna,3.3899
mrna_layer_2_212,R-HSA-8939211,layer_2,mrna,3.3148167
SNV_layer_2_31,R-HSA-388844,layer_2,SNV,3.3055232
mrna_input_1842,CTNNA2,input,mrna,3.097976
CNV_layer_2_104,R-HSA-9907900,layer_2,CNV,3.068947
mrna_layer_3_0,R-HSA-1474228,layer_3,mrna,2.9644632
SNV_layer_3_15,R-HSA-72306,layer_3,SNV,2.7448013
CNV_layer_3_48,R-HSA-425407,layer_3,CNV,2.7141123
mrna_input_1940,CYP2A6,input,mrna,2.4629743
mrna_layer_4_0,R-HSA-109582,layer_4,mrna,2.4397926
CNV_layer_3_23,R-HSA-199991,layer_3,CNV,2.4171095
SNV_layer_1_49,R-HSA-77111,layer_1,SNV,2.413732
mrna_layer_3_73,R-HSA-1632852,layer_3,mrna,2.3571992
CNV_layer_3_69,R-HSA-212165,layer_3,CNV,2.3554091
mrna_input_3501,H2AC7,input,mrna,2.2777379
mrna_input_1941,CYP2A7,input,mrna,2.0104306
SNV_layer_2_340,R-HSA-1227986,layer_2,SNV,2.0053294
CNV_layer_4_13,R-HSA-392499,layer_4,CNV,1.9549296
CNV_layer_4_4,R-HSA-1474165,layer_4,CNV,1.815823
mrna_layer_3_28,R-HSA-75205,layer_3,mrna,1.7515416
mrna_layer_3_79,R-HSA-5619507,layer_3,mrna,1.6326652
mrna_input_5941,OR2A4,input,mrna,1.6284235
SNV_layer_2_42,R-HSA-3371497,layer_2,SNV,1.5146831
CNV_input_790,BET1,input,CNV,1.475605
CNV_input_3131,GNG11,input,CNV,1.4744023
CNV_input_8879,TRDN,input,CNV,1.4449825
CNV_input_3140,GNGT1,input,CNV,1.4162985
SNV_layer_3_20,R-HSA-1187000,layer_3,SNV,1.4004573
CNV_input_7102,RBP3,input,CNV,1.3097768
mrna_layer_3_64,R-HSA-1296071,layer_3,mrna,1.2492425
SNV_layer_4_7,R-HSA-162582,layer_4,SNV,1.1289074
SNV_layer_3_38,R-HSA-196854,layer_3,SNV,1.0108771
mrna_layer_4_5,R-HSA-1474244,layer_4,mrna,1.0105519
SNV_layer_4_3,R-HSA-1430728,layer_4,SNV,0.58955467
CNV_layer_4_7,R-HSA-162582,layer_4,CNV,0.5570571
CNV_layer_4_10,R-HSA-168256,layer_4,CNV,0.53944653
mrna_layer_4_11,R-HSA-1852241,layer_4,mrna,0.3939403
mrna_layer_4_20,R-HSA-73894,layer_4,mrna,0.35031095
SNV_layer_4_24,R-HSA-8963743,layer_4,SNV,0.33543542
CNV_layer_4_25,R-HSA-9609507,layer_4,CNV,0.29974288
SNV_layer_4_19,R-HSA-69306,layer_4,SNV,0.1840248
