Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
R-HSA-176974,SNV,layer_1,36.949947,R-HSA-3371497,SNV,layer_2,36.949947
R-HSA-176974,SNV,layer_1,36.949947,R-HSA-9033500,SNV,layer_2,36.949947
R-HSA-176974,SNV,layer_1,36.949947,R-HSA-388844,SNV,layer_2,36.949947
R-HSA-176974,SNV,layer_1,36.949947,R-HSA-1227986,SNV,layer_2,36.949947
R-HSA-176974,SNV,layer_1,36.949947,R-HSA-1236394,SNV,layer_2,36.949947
R-HSA-5696398,SNV,layer_3,33.366055,R-HSA-69306,SNV,layer_4,33.366055
R-HSA-5696398,SNV,layer_3,33.366055,R-HSA-1430728,SNV,layer_4,33.366055
R-HSA-5696398,SNV,layer_3,33.366055,R-HSA-162582,SNV,layer_4,33.366055
R-HSA-5696398,SNV,layer_3,33.366055,R-HSA-1266738,SNV,layer_4,33.366055
R-HSA-5696398,SNV,layer_3,33.366055,R-HSA-8963743,SNV,layer_4,33.366055
R-HSA-1236394,SNV,layer_2,33.235867,R-HSA-196854,SNV,layer_3,33.235867
R-HSA-1236394,SNV,layer_2,33.235867,R-HSA-1187000,SNV,layer_3,33.235867
R-HSA-1236394,SNV,layer_2,33.235867,R-HSA-429914,SNV,layer_3,33.235867
R-HSA-1236394,SNV,layer_2,33.235867,R-HSA-5696398,SNV,layer_3,33.235867
R-HSA-1236394,SNV,layer_2,33.235867,R-HSA-72306,SNV,layer_3,33.235867
R-HSA-8876725,mrna,layer_1,17.33926,R-HSA-1502540,mrna,layer_2,17.33926
R-HSA-8876725,mrna,layer_1,17.33926,R-HSA-8939211,mrna,layer_2,17.33926
R-HSA-8876725,mrna,layer_1,17.33926,R-HSA-190236,mrna,layer_2,17.33926
R-HSA-8876725,mrna,layer_1,17.33926,R-HSA-9843743,mrna,layer_2,17.33926
R-HSA-8876725,mrna,layer_1,17.33926,R-HSA-9832991,mrna,layer_2,17.33926
R-HSA-5423599,CNV,layer_2,14.7090025,R-HSA-5683826,CNV,layer_3,14.7090025
R-HSA-5423599,CNV,layer_2,14.7090025,R-HSA-199991,CNV,layer_3,14.7090025
R-HSA-5423599,CNV,layer_2,14.7090025,R-HSA-212165,CNV,layer_3,14.7090025
R-HSA-5423599,CNV,layer_2,14.7090025,R-HSA-72766,CNV,layer_3,14.7090025
R-HSA-5423599,CNV,layer_2,14.7090025,R-HSA-425407,CNV,layer_3,14.7090025
R-HSA-190236,mrna,layer_2,10.446382,R-HSA-1632852,mrna,layer_3,10.446382
R-HSA-190236,mrna,layer_2,10.446382,R-HSA-1474228,mrna,layer_3,10.446382
R-HSA-190236,mrna,layer_2,10.446382,R-HSA-1296071,mrna,layer_3,10.446382
R-HSA-190236,mrna,layer_2,10.446382,R-HSA-75205,mrna,layer_3,10.446382
R-HSA-190236,mrna,layer_2,10.446382,R-HSA-5619507,mrna,layer_3,10.446382
R-HSA-447115,CNV,layer_1,10.269516,R-HSA-8868773,CNV,layer_2,10.269516
R-HSA-447115,CNV,layer_1,10.269516,R-HSA-5423599,CNV,layer_2,10.269516
R-HSA-447115,CNV,layer_1,10.269516,R-HSA-2151201,CNV,layer_2,10.269516
R-HSA-447115,CNV,layer_1,10.269516,R-HSA-9824443,CNV,layer_2,10.269516
R-HSA-447115,CNV,layer_1,10.269516,R-HSA-9907900,CNV,layer_2,10.269516
R-HSA-418594,mrna,layer_1,7.6033797,R-HSA-8939211,mrna,layer_2,7.6033797
R-HSA-418594,mrna,layer_1,7.6033797,R-HSA-1502540,mrna,layer_2,7.6033797
R-HSA-418594,mrna,layer_1,7.6033797,R-HSA-9832991,mrna,layer_2,7.6033797
R-HSA-418594,mrna,layer_1,7.6033797,R-HSA-190236,mrna,layer_2,7.6033797
R-HSA-418594,mrna,layer_1,7.6033797,R-HSA-9843743,mrna,layer_2,7.6033797
R-HSA-2151201,CNV,layer_2,7.5940056,R-HSA-5683826,CNV,layer_3,7.5940056
R-HSA-2151201,CNV,layer_2,7.5940056,R-HSA-72766,CNV,layer_3,7.5940056
R-HSA-2151201,CNV,layer_2,7.5940056,R-HSA-425407,CNV,layer_3,7.5940056
R-HSA-2151201,CNV,layer_2,7.5940056,R-HSA-212165,CNV,layer_3,7.5940056
R-HSA-2151201,CNV,layer_2,7.5940056,R-HSA-199991,CNV,layer_3,7.5940056
R-HSA-68962,mrna,layer_1,7.5466514,R-HSA-1502540,mrna,layer_2,7.5466514
R-HSA-68962,mrna,layer_1,7.5466514,R-HSA-9832991,mrna,layer_2,7.5466514
R-HSA-68962,mrna,layer_1,7.5466514,R-HSA-9843743,mrna,layer_2,7.5466514
