id,name,layer,omics,importance
mrna_layer_1_619,R-HSA-8876725,layer_1,mrna,17.33926
mrna_layer_2_352,R-HSA-190236,layer_2,mrna,10.446382
mrna_layer_1_31,R-HSA-418594,layer_1,mrna,7.6033797
mrna_layer_1_411,R-HSA-68962,layer_1,mrna,7.5466514
mrna_layer_2_7,R-HSA-9832991,layer_2,mrna,5.376211
mrna_layer_1_11,R-HSA-162699,layer_1,mrna,5.0779867
mrna_layer_1_467,R-HSA-9633012,layer_1,mrna,4.404348
mrna_layer_2_1,R-HSA-9843743,layer_2,mrna,4.2382746
mrna_layer_1_280,R-HSA-75205,layer_1,mrna,4.164036
mrna_layer_4_15,R-HSA-400253,layer_4,mrna,4.0769367
mrna_layer_1_4,R-HSA-9034015,layer_1,mrna,3.8938117
mrna_layer_1_354,R-HSA-975957,layer_1,mrna,3.8518105
mrna_layer_1_13,R-HSA-162791,layer_1,mrna,3.527152
mrna_layer_2_264,R-HSA-1502540,layer_2,mrna,3.3899
mrna_layer_2_212,R-HSA-8939211,layer_2,mrna,3.3148167
mrna_layer_1_320,R-HSA-72187,layer_1,mrna,3.1930323
mrna_input_1842,CTNNA2,input,mrna,3.097976
mrna_layer_3_0,R-HSA-1474228,layer_3,mrna,2.9644632
mrna_layer_2_181,R-HSA-109606,layer_2,mrna,2.8820307
mrna_input_1940,CYP2A6,input,mrna,2.4629743
mrna_layer_4_0,R-HSA-109582,layer_4,mrna,2.4397926
mrna_layer_2_162,R-HSA-76046,layer_2,mrna,2.3900688
mrna_layer_3_73,R-HSA-1632852,layer_3,mrna,2.3571992
mrna_input_3501,H2AC7,input,mrna,2.2777379
mrna_layer_2_13,R-HSA-69190,layer_2,mrna,2.1951582
mrna_input_1941,CYP2A7,input,mrna,2.0104306
mrna_layer_2_190,R-HSA-5693538,layer_2,mrna,1.9224142
mrna_layer_2_66,R-HSA-5578768,layer_2,mrna,1.8216596
mrna_layer_3_28,R-HSA-75205,layer_3,mrna,1.7515416
mrna_layer_3_79,R-HSA-5619507,layer_3,mrna,1.6326652
mrna_input_5941,OR2A4,input,mrna,1.6284235
mrna_input_3496,H2AC18,input,mrna,1.4894989
mrna_input_9628,VAMP8,input,mrna,1.482718
mrna_input_8877,TDRD1,input,mrna,1.4424999
mrna_input_4469,KRT72,input,mrna,1.4269339
mrna_input_6482,PEX13,input,mrna,1.4093182
mrna_layer_3_64,R-HSA-1296071,layer_3,mrna,1.2492425
mrna_layer_3_45,R-HSA-1480926,layer_3,mrna,1.169671
mrna_layer_3_57,R-HSA-9749641,layer_3,mrna,1.1608593
mrna_layer_3_23,R-HSA-199991,layer_3,mrna,1.1350696
mrna_layer_4_5,R-HSA-1474244,layer_4,mrna,1.0105519
mrna_layer_3_26,R-HSA-202733,layer_3,mrna,0.9528638
mrna_layer_3_80,R-HSA-5682910,layer_3,mrna,0.9219953
mrna_layer_4_11,R-HSA-1852241,layer_4,mrna,0.3939403
mrna_layer_4_20,R-HSA-73894,layer_4,mrna,0.35031095
mrna_layer_4_2,R-HSA-1266738,layer_4,mrna,0.1935374
mrna_layer_4_19,R-HSA-69306,layer_4,mrna,0.11390997
mrna_layer_4_18,R-HSA-5653656,layer_4,mrna,0.10487261
mrna_layer_4_6,R-HSA-1500931,layer_4,mrna,0.104200386
mrna_layer_4_7,R-HSA-162582,layer_4,mrna,0.08701752
