Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
R-HSA-8876725,mrna,layer_1,17.33926,R-HSA-109606,mrna,layer_2,17.33926
R-HSA-8876725,mrna,layer_1,17.33926,R-HSA-8939211,mrna,layer_2,17.33926
R-HSA-8876725,mrna,layer_1,17.33926,R-HSA-76046,mrna,layer_2,17.33926
R-HSA-8876725,mrna,layer_1,17.33926,R-HSA-69190,mrna,layer_2,17.33926
R-HSA-8876725,mrna,layer_1,17.33926,R-HSA-5578768,mrna,layer_2,17.33926
R-HSA-8876725,mrna,layer_1,17.33926,R-HSA-5693538,mrna,layer_2,17.33926
R-HSA-8876725,mrna,layer_1,17.33926,R-HSA-190236,mrna,layer_2,17.33926
R-HSA-8876725,mrna,layer_1,17.33926,R-HSA-9832991,mrna,layer_2,17.33926
R-HSA-8876725,mrna,layer_1,17.33926,R-HSA-9843743,mrna,layer_2,17.33926
R-HSA-8876725,mrna,layer_1,17.33926,R-HSA-1502540,mrna,layer_2,17.33926
R-HSA-190236,mrna,layer_2,10.446382,R-HSA-75205,mrna,layer_3,10.446382
R-HSA-190236,mrna,layer_2,10.446382,R-HSA-5619507,mrna,layer_3,10.446382
R-HSA-190236,mrna,layer_2,10.446382,R-HSA-1474228,mrna,layer_3,10.446382
R-HSA-190236,mrna,layer_2,10.446382,R-HSA-1632852,mrna,layer_3,10.446382
R-HSA-190236,mrna,layer_2,10.446382,R-HSA-199991,mrna,layer_3,10.446382
R-HSA-190236,mrna,layer_2,10.446382,R-HSA-9749641,mrna,layer_3,10.446382
R-HSA-190236,mrna,layer_2,10.446382,R-HSA-1480926,mrna,layer_3,10.446382
R-HSA-190236,mrna,layer_2,10.446382,R-HSA-1296071,mrna,layer_3,10.446382
R-HSA-190236,mrna,layer_2,10.446382,R-HSA-5682910,mrna,layer_3,10.446382
R-HSA-190236,mrna,layer_2,10.446382,R-HSA-202733,mrna,layer_3,10.446382
R-HSA-418594,mrna,layer_1,7.6033797,R-HSA-5578768,mrna,layer_2,7.6033797
R-HSA-418594,mrna,layer_1,7.6033797,R-HSA-5693538,mrna,layer_2,7.6033797
R-HSA-418594,mrna,layer_1,7.6033797,R-HSA-190236,mrna,layer_2,7.6033797
R-HSA-418594,mrna,layer_1,7.6033797,R-HSA-9832991,mrna,layer_2,7.6033797
R-HSA-418594,mrna,layer_1,7.6033797,R-HSA-9843743,mrna,layer_2,7.6033797
R-HSA-418594,mrna,layer_1,7.6033797,R-HSA-1502540,mrna,layer_2,7.6033797
R-HSA-418594,mrna,layer_1,7.6033797,R-HSA-8939211,mrna,layer_2,7.6033797
R-HSA-418594,mrna,layer_1,7.6033797,R-HSA-109606,mrna,layer_2,7.6033797
R-HSA-418594,mrna,layer_1,7.6033797,R-HSA-76046,mrna,layer_2,7.6033797
R-HSA-418594,mrna,layer_1,7.6033797,R-HSA-69190,mrna,layer_2,7.6033797
R-HSA-68962,mrna,layer_1,7.5466514,R-HSA-5693538,mrna,layer_2,7.5466514
R-HSA-68962,mrna,layer_1,7.5466514,R-HSA-5578768,mrna,layer_2,7.5466514
R-HSA-68962,mrna,layer_1,7.5466514,R-HSA-109606,mrna,layer_2,7.5466514
R-HSA-68962,mrna,layer_1,7.5466514,R-HSA-8939211,mrna,layer_2,7.5466514
R-HSA-68962,mrna,layer_1,7.5466514,R-HSA-9843743,mrna,layer_2,7.5466514
R-HSA-68962,mrna,layer_1,7.5466514,R-HSA-1502540,mrna,layer_2,7.5466514
R-HSA-68962,mrna,layer_1,7.5466514,R-HSA-69190,mrna,layer_2,7.5466514
R-HSA-68962,mrna,layer_1,7.5466514,R-HSA-76046,mrna,layer_2,7.5466514
