Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
Diseases of Mismatch Repair (MMR),CNV,layer_2,14.7090025,Epigenetic regulation of gene expression,CNV,layer_3,14.7090025
Diseases of Mismatch Repair (MMR),CNV,layer_2,14.7090025,Peptide hormone metabolism,CNV,layer_3,14.7090025
Diseases of Mismatch Repair (MMR),CNV,layer_2,14.7090025,Intracellular oxygen transport,CNV,layer_3,14.7090025
Diseases of Mismatch Repair (MMR),CNV,layer_2,14.7090025,Metabolism of lipids,CNV,layer_3,14.7090025
Diseases of Mismatch Repair (MMR),CNV,layer_2,14.7090025,Translation,CNV,layer_3,14.7090025
Diseases of Mismatch Repair (MMR),CNV,layer_2,14.7090025,Surfactant metabolism,CNV,layer_3,14.7090025
Diseases of Mismatch Repair (MMR),CNV,layer_2,14.7090025,Membrane Trafficking,CNV,layer_3,14.7090025
Diseases of Mismatch Repair (MMR),CNV,layer_2,14.7090025,SLC-mediated transmembrane transport,CNV,layer_3,14.7090025
Diseases of Mismatch Repair (MMR),CNV,layer_2,14.7090025,Striated Muscle Contraction,CNV,layer_3,14.7090025
Diseases of Mismatch Repair (MMR),CNV,layer_2,14.7090025,Cell Cycle Checkpoints,CNV,layer_3,14.7090025
Interleukin-12 family signaling,CNV,layer_1,10.269516,rRNA processing in the nucleus and cytosol,CNV,layer_2,10.269516
Interleukin-12 family signaling,CNV,layer_1,10.269516,Parasitic Infection Pathways,CNV,layer_2,10.269516
Interleukin-12 family signaling,CNV,layer_1,10.269516,Extrinsic Pathway of Fibrin Clot Formation,CNV,layer_2,10.269516
Interleukin-12 family signaling,CNV,layer_1,10.269516,Diseases of Mismatch Repair (MMR),CNV,layer_2,10.269516
Interleukin-12 family signaling,CNV,layer_1,10.269516,mRNA Editing: A to I Conversion,CNV,layer_2,10.269516
Interleukin-12 family signaling,CNV,layer_1,10.269516,GPCR ligand binding,CNV,layer_2,10.269516
Interleukin-12 family signaling,CNV,layer_1,10.269516,Peptide hormone biosynthesis,CNV,layer_2,10.269516
Interleukin-12 family signaling,CNV,layer_1,10.269516,Common Pathway of Fibrin Clot Formation,CNV,layer_2,10.269516
Interleukin-12 family signaling,CNV,layer_1,10.269516,Transcriptional activation of mitochondrial biogenesis,CNV,layer_2,10.269516
Interleukin-12 family signaling,CNV,layer_1,10.269516,Proteasome assembly,CNV,layer_2,10.269516
Transcriptional activation of mitochondrial biogenesis,CNV,layer_2,7.5940056,Metabolism of lipids,CNV,layer_3,7.5940056
Transcriptional activation of mitochondrial biogenesis,CNV,layer_2,7.5940056,Intracellular oxygen transport,CNV,layer_3,7.5940056
Transcriptional activation of mitochondrial biogenesis,CNV,layer_2,7.5940056,Translation,CNV,layer_3,7.5940056
Transcriptional activation of mitochondrial biogenesis,CNV,layer_2,7.5940056,Surfactant metabolism,CNV,layer_3,7.5940056
Transcriptional activation of mitochondrial biogenesis,CNV,layer_2,7.5940056,Striated Muscle Contraction,CNV,layer_3,7.5940056
Transcriptional activation of mitochondrial biogenesis,CNV,layer_2,7.5940056,Cell Cycle Checkpoints,CNV,layer_3,7.5940056
Transcriptional activation of mitochondrial biogenesis,CNV,layer_2,7.5940056,Epigenetic regulation of gene expression,CNV,layer_3,7.5940056
Transcriptional activation of mitochondrial biogenesis,CNV,layer_2,7.5940056,Peptide hormone metabolism,CNV,layer_3,7.5940056
Transcriptional activation of mitochondrial biogenesis,CNV,layer_2,7.5940056,SLC-mediated transmembrane transport,CNV,layer_3,7.5940056
Transcriptional activation of mitochondrial biogenesis,CNV,layer_2,7.5940056,Membrane Trafficking,CNV,layer_3,7.5940056
