Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
Unwinding of DNA,SNV,layer_1,36.949947,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,SNV,layer_2,36.949947
Unwinding of DNA,SNV,layer_1,36.949947,Cellular response to chemical stress,SNV,layer_2,36.949947
Unwinding of DNA,SNV,layer_1,36.949947,Signaling by ERBB4,SNV,layer_2,36.949947
Unwinding of DNA,SNV,layer_1,36.949947,TYSND1 cleaves peroxisomal proteins,SNV,layer_2,36.949947
Unwinding of DNA,SNV,layer_1,36.949947,RAB geranylgeranylation,SNV,layer_2,36.949947
Unwinding of DNA,SNV,layer_1,36.949947,SLC transporter disorders,SNV,layer_2,36.949947
Unwinding of DNA,SNV,layer_1,36.949947,eNOS activation,SNV,layer_2,36.949947
Unwinding of DNA,SNV,layer_1,36.949947,Protein lipoylation,SNV,layer_2,36.949947
Unwinding of DNA,SNV,layer_1,36.949947,Signaling by ERBB2,SNV,layer_2,36.949947
Unwinding of DNA,SNV,layer_1,36.949947,Receptor-type tyrosine-protein phosphatases,SNV,layer_2,36.949947
Nucleotide Excision Repair,SNV,layer_3,33.366055,Muscle contraction,SNV,layer_4,33.366055
Nucleotide Excision Repair,SNV,layer_3,33.366055,Circadian Clock,SNV,layer_4,33.366055
Nucleotide Excision Repair,SNV,layer_3,33.366055,Disease,SNV,layer_4,33.366055
Nucleotide Excision Repair,SNV,layer_3,33.366055,Drug ADME,SNV,layer_4,33.366055
Nucleotide Excision Repair,SNV,layer_3,33.366055,Developmental Biology,SNV,layer_4,33.366055
Nucleotide Excision Repair,SNV,layer_3,33.366055,Signal Transduction,SNV,layer_4,33.366055
Nucleotide Excision Repair,SNV,layer_3,33.366055,DNA Replication,SNV,layer_4,33.366055
Nucleotide Excision Repair,SNV,layer_3,33.366055,Cell Cycle,SNV,layer_4,33.366055
Nucleotide Excision Repair,SNV,layer_3,33.366055,Digestion and absorption,SNV,layer_4,33.366055
Nucleotide Excision Repair,SNV,layer_3,33.366055,Metabolism,SNV,layer_4,33.366055
Signaling by ERBB4,SNV,layer_2,33.235867,Fertilization,SNV,layer_3,33.235867
Signaling by ERBB4,SNV,layer_2,33.235867,tRNA processing,SNV,layer_3,33.235867
Signaling by ERBB4,SNV,layer_2,33.235867,Deadenylation-dependent mRNA decay,SNV,layer_3,33.235867
Signaling by ERBB4,SNV,layer_2,33.235867,Nucleotide Excision Repair,SNV,layer_3,33.235867
Signaling by ERBB4,SNV,layer_2,33.235867,Metabolism of amino acids and derivatives,SNV,layer_3,33.235867
Signaling by ERBB4,SNV,layer_2,33.235867,Chromatin modifying enzymes,SNV,layer_3,33.235867
Signaling by ERBB4,SNV,layer_2,33.235867,Biological oxidations,SNV,layer_3,33.235867
Signaling by ERBB4,SNV,layer_2,33.235867,Metabolism of vitamins and cofactors,SNV,layer_3,33.235867
Signaling by ERBB4,SNV,layer_2,33.235867,Metabolism of nitric oxide: NOS3 activation and regulation,SNV,layer_3,33.235867
Signaling by ERBB4,SNV,layer_2,33.235867,mRNA Editing,SNV,layer_3,33.235867
SSR1,SNV,input,6.9477673,Processing and activation of SUMO,SNV,layer_1,6.9477673
SSR1,SNV,input,6.9477673,Signaling by CSF1 (M-CSF) in myeloid cells,SNV,layer_1,6.9477673
SSR1,SNV,input,6.9477673,Protein hydroxylation,SNV,layer_1,6.9477673
SSR1,SNV,input,6.9477673,Ion transport by P-type ATPases,SNV,layer_1,6.9477673
SDHD,SNV,input,6.9477673,Protein hydroxylation,SNV,layer_1,6.9477673
SDHD,SNV,input,6.9477673,Ion transport by P-type ATPases,SNV,layer_1,6.9477673
SSR1,SNV,input,6.9477673,Unwinding of DNA,SNV,layer_1,6.9477673
SSR1,SNV,input,6.9477673,AKT phosphorylates targets in the cytosol,SNV,layer_1,6.9477673
SSR1,SNV,input,6.9477673,Transport of organic anions,SNV,layer_1,6.9477673
SSR1,SNV,input,6.9477673,Digestion of dietary lipid,SNV,layer_1,6.9477673
SSR1,SNV,input,6.9477673,Synthesis of Ketone Bodies,SNV,layer_1,6.9477673
SSR1,SNV,input,6.9477673,Transport of fatty acids,SNV,layer_1,6.9477673
SDHD,SNV,input,6.9477673,Unwinding of DNA,SNV,layer_1,6.9477673
SDHD,SNV,input,6.9477673,AKT phosphorylates targets in the cytosol,SNV,layer_1,6.9477673
SDHD,SNV,input,6.9477673,Transport of organic anions,SNV,layer_1,6.9477673
SDHD,SNV,input,6.9477673,Digestion of dietary lipid,SNV,layer_1,6.9477673
SDHD,SNV,input,6.9477673,Synthesis of Ketone Bodies,SNV,layer_1,6.9477673
SDHD,SNV,input,6.9477673,Transport of fatty acids,SNV,layer_1,6.9477673
SDHD,SNV,input,6.9477673,Processing and activation of SUMO,SNV,layer_1,6.9477673
SDHD,SNV,input,6.9477673,Signaling by CSF1 (M-CSF) in myeloid cells,SNV,layer_1,6.9477673
