Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
Unwinding of DNA,SNV,layer_1,36.949947,HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand,SNV,layer_2,36.949947
Unwinding of DNA,SNV,layer_1,36.949947,TYSND1 cleaves peroxisomal proteins,SNV,layer_2,36.949947
Unwinding of DNA,SNV,layer_1,36.949947,Receptor-type tyrosine-protein phosphatases,SNV,layer_2,36.949947
Unwinding of DNA,SNV,layer_1,36.949947,Signaling by ERBB2,SNV,layer_2,36.949947
Unwinding of DNA,SNV,layer_1,36.949947,Signaling by ERBB4,SNV,layer_2,36.949947
Nucleotide Excision Repair,SNV,layer_3,33.366055,DNA Replication,SNV,layer_4,33.366055
Nucleotide Excision Repair,SNV,layer_3,33.366055,Metabolism,SNV,layer_4,33.366055
Nucleotide Excision Repair,SNV,layer_3,33.366055,Signal Transduction,SNV,layer_4,33.366055
Nucleotide Excision Repair,SNV,layer_3,33.366055,Developmental Biology,SNV,layer_4,33.366055
Nucleotide Excision Repair,SNV,layer_3,33.366055,Digestion and absorption,SNV,layer_4,33.366055
Signaling by ERBB4,SNV,layer_2,33.235867,Metabolism of vitamins and cofactors,SNV,layer_3,33.235867
Signaling by ERBB4,SNV,layer_2,33.235867,Fertilization,SNV,layer_3,33.235867
Signaling by ERBB4,SNV,layer_2,33.235867,Deadenylation-dependent mRNA decay,SNV,layer_3,33.235867
Signaling by ERBB4,SNV,layer_2,33.235867,Nucleotide Excision Repair,SNV,layer_3,33.235867
Signaling by ERBB4,SNV,layer_2,33.235867,tRNA processing,SNV,layer_3,33.235867
Protein methylation,mrna,layer_1,17.33926,Signaling by Activin,mrna,layer_2,17.33926
Protein methylation,mrna,layer_1,17.33926,ESR-mediated signaling,mrna,layer_2,17.33926
Protein methylation,mrna,layer_1,17.33926,Signaling by FGFR,mrna,layer_2,17.33926
Protein methylation,mrna,layer_1,17.33926,Transcriptional regulation of brown and beige adipocyte differentiation,mrna,layer_2,17.33926
Protein methylation,mrna,layer_1,17.33926,Formation of the posterior neural plate,mrna,layer_2,17.33926
Diseases of Mismatch Repair (MMR),CNV,layer_2,14.7090025,Surfactant metabolism,CNV,layer_3,14.7090025
Diseases of Mismatch Repair (MMR),CNV,layer_2,14.7090025,Membrane Trafficking,CNV,layer_3,14.7090025
