id,name,layer,omics,importance
mrna_layer_1_619,Protein methylation,layer_1,mrna,17.33926
mrna_layer_2_352,Signaling by FGFR,layer_2,mrna,10.446382
mrna_layer_1_31,G alpha (i) signalling events,layer_1,mrna,7.6033797
mrna_layer_1_411,Activation of the pre-replicative complex,layer_1,mrna,7.5466514
mrna_layer_2_7,Formation of the posterior neural plate,layer_2,mrna,5.376211
mrna_layer_1_11,Synthesis of dolichyl-phosphate mannose,layer_1,mrna,5.0779867
mrna_layer_1_467,Response of EIF2AK4 (GCN2) to amino acid deficiency,layer_1,mrna,4.404348
mrna_layer_2_1,Transcriptional regulation of brown and beige adipocyte differentiation,layer_2,mrna,4.2382746
mrna_layer_1_280,Dissolution of Fibrin Clot,layer_1,mrna,4.164036
mrna_layer_4_15,Circadian Clock,layer_4,mrna,4.0769367
mrna_layer_1_4,Signaling by NTRK3 (TRKC),layer_1,mrna,3.8938117
mrna_layer_1_354,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),layer_1,mrna,3.8518105
mrna_layer_1_13,Attachment of GPI anchor to uPAR,layer_1,mrna,3.527152
mrna_layer_2_264,Signaling by Activin,layer_2,mrna,3.3899
mrna_layer_2_212,ESR-mediated signaling,layer_2,mrna,3.3148167
mrna_layer_1_320,mRNA 3'-end processing,layer_1,mrna,3.1930323
mrna_input_1842,CTNNA2,input,mrna,3.097976
mrna_layer_3_0,Degradation of the extracellular matrix,layer_3,mrna,2.9644632
mrna_layer_2_181,Intrinsic Pathway for Apoptosis,layer_2,mrna,2.8820307
mrna_input_1940,CYP2A6,input,mrna,2.4629743
mrna_layer_4_0,Hemostasis,layer_4,mrna,2.4397926
mrna_layer_2_162,RNA Polymerase III Transcription Initiation,layer_2,mrna,2.3900688
mrna_layer_3_73,Macroautophagy,layer_3,mrna,2.3571992
mrna_input_3501,H2AC7,input,mrna,2.2777379
mrna_layer_2_13,DNA strand elongation,layer_2,mrna,2.1951582
mrna_input_1941,CYP2A7,input,mrna,2.0104306
mrna_layer_2_190,Homology Directed Repair,layer_2,mrna,1.9224142
mrna_layer_2_66,Physiological factors,layer_2,mrna,1.8216596
mrna_layer_3_28,Dissolution of Fibrin Clot,layer_3,mrna,1.7515416
mrna_layer_3_79,Activation of HOX genes during differentiation,layer_3,mrna,1.6326652
mrna_input_5941,OR2A4,input,mrna,1.6284235
mrna_input_3496,H2AC18,input,mrna,1.4894989
mrna_input_9628,VAMP8,input,mrna,1.482718
mrna_input_8877,TDRD1,input,mrna,1.4424999
mrna_input_4469,KRT72,input,mrna,1.4269339
mrna_input_6482,PEX13,input,mrna,1.4093182
mrna_layer_3_64,Potassium Channels,layer_3,mrna,1.2492425
mrna_layer_3_45,O2/CO2 exchange in erythrocytes,layer_3,mrna,1.169671
mrna_layer_3_57,Aspirin ADME,layer_3,mrna,1.1608593
mrna_layer_3_23,Membrane Trafficking,layer_3,mrna,1.1350696
mrna_layer_4_5,Extracellular matrix organization,layer_4,mrna,1.0105519
mrna_layer_3_26,Cell surface interactions at the vascular wall,layer_3,mrna,0.9528638
mrna_layer_3_80,LGI-ADAM interactions,layer_3,mrna,0.9219953
mrna_layer_4_11,Organelle biogenesis and maintenance,layer_4,mrna,0.3939403
mrna_layer_4_20,DNA Repair,layer_4,mrna,0.35031095
mrna_layer_4_2,Developmental Biology,layer_4,mrna,0.1935374
mrna_layer_4_19,DNA Replication,layer_4,mrna,0.11390997
mrna_layer_4_18,Vesicle-mediated transport,layer_4,mrna,0.10487261
mrna_layer_4_6,Cell-Cell communication,layer_4,mrna,0.104200386
mrna_layer_4_7,Signal Transduction,layer_4,mrna,0.08701752
