Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
Protein methylation,mrna,layer_1,17.33926,Intrinsic Pathway for Apoptosis,mrna,layer_2,17.33926
Protein methylation,mrna,layer_1,17.33926,ESR-mediated signaling,mrna,layer_2,17.33926
Protein methylation,mrna,layer_1,17.33926,RNA Polymerase III Transcription Initiation,mrna,layer_2,17.33926
Protein methylation,mrna,layer_1,17.33926,DNA strand elongation,mrna,layer_2,17.33926
Protein methylation,mrna,layer_1,17.33926,Physiological factors,mrna,layer_2,17.33926
Protein methylation,mrna,layer_1,17.33926,Homology Directed Repair,mrna,layer_2,17.33926
Protein methylation,mrna,layer_1,17.33926,Signaling by FGFR,mrna,layer_2,17.33926
Protein methylation,mrna,layer_1,17.33926,Formation of the posterior neural plate,mrna,layer_2,17.33926
Protein methylation,mrna,layer_1,17.33926,Transcriptional regulation of brown and beige adipocyte differentiation,mrna,layer_2,17.33926
Protein methylation,mrna,layer_1,17.33926,Signaling by Activin,mrna,layer_2,17.33926
Signaling by FGFR,mrna,layer_2,10.446382,Dissolution of Fibrin Clot,mrna,layer_3,10.446382
Signaling by FGFR,mrna,layer_2,10.446382,Activation of HOX genes during differentiation,mrna,layer_3,10.446382
Signaling by FGFR,mrna,layer_2,10.446382,Degradation of the extracellular matrix,mrna,layer_3,10.446382
Signaling by FGFR,mrna,layer_2,10.446382,Macroautophagy,mrna,layer_3,10.446382
Signaling by FGFR,mrna,layer_2,10.446382,Membrane Trafficking,mrna,layer_3,10.446382
Signaling by FGFR,mrna,layer_2,10.446382,Aspirin ADME,mrna,layer_3,10.446382
Signaling by FGFR,mrna,layer_2,10.446382,O2/CO2 exchange in erythrocytes,mrna,layer_3,10.446382
Signaling by FGFR,mrna,layer_2,10.446382,Potassium Channels,mrna,layer_3,10.446382
Signaling by FGFR,mrna,layer_2,10.446382,LGI-ADAM interactions,mrna,layer_3,10.446382
Signaling by FGFR,mrna,layer_2,10.446382,Cell surface interactions at the vascular wall,mrna,layer_3,10.446382
G alpha (i) signalling events,mrna,layer_1,7.6033797,Physiological factors,mrna,layer_2,7.6033797
G alpha (i) signalling events,mrna,layer_1,7.6033797,Homology Directed Repair,mrna,layer_2,7.6033797
G alpha (i) signalling events,mrna,layer_1,7.6033797,Signaling by FGFR,mrna,layer_2,7.6033797
G alpha (i) signalling events,mrna,layer_1,7.6033797,Formation of the posterior neural plate,mrna,layer_2,7.6033797
G alpha (i) signalling events,mrna,layer_1,7.6033797,Transcriptional regulation of brown and beige adipocyte differentiation,mrna,layer_2,7.6033797
G alpha (i) signalling events,mrna,layer_1,7.6033797,Signaling by Activin,mrna,layer_2,7.6033797
G alpha (i) signalling events,mrna,layer_1,7.6033797,ESR-mediated signaling,mrna,layer_2,7.6033797
G alpha (i) signalling events,mrna,layer_1,7.6033797,Intrinsic Pathway for Apoptosis,mrna,layer_2,7.6033797
G alpha (i) signalling events,mrna,layer_1,7.6033797,RNA Polymerase III Transcription Initiation,mrna,layer_2,7.6033797
G alpha (i) signalling events,mrna,layer_1,7.6033797,DNA strand elongation,mrna,layer_2,7.6033797
Activation of the pre-replicative complex,mrna,layer_1,7.5466514,Homology Directed Repair,mrna,layer_2,7.5466514
Activation of the pre-replicative complex,mrna,layer_1,7.5466514,Physiological factors,mrna,layer_2,7.5466514
Activation of the pre-replicative complex,mrna,layer_1,7.5466514,Intrinsic Pathway for Apoptosis,mrna,layer_2,7.5466514
Activation of the pre-replicative complex,mrna,layer_1,7.5466514,ESR-mediated signaling,mrna,layer_2,7.5466514
Activation of the pre-replicative complex,mrna,layer_1,7.5466514,Transcriptional regulation of brown and beige adipocyte differentiation,mrna,layer_2,7.5466514
Activation of the pre-replicative complex,mrna,layer_1,7.5466514,Signaling by Activin,mrna,layer_2,7.5466514
Activation of the pre-replicative complex,mrna,layer_1,7.5466514,DNA strand elongation,mrna,layer_2,7.5466514
Activation of the pre-replicative complex,mrna,layer_1,7.5466514,RNA Polymerase III Transcription Initiation,mrna,layer_2,7.5466514
Activation of the pre-replicative complex,mrna,layer_1,7.5466514,Formation of the posterior neural plate,mrna,layer_2,7.5466514
Activation of the pre-replicative complex,mrna,layer_1,7.5466514,Signaling by FGFR,mrna,layer_2,7.5466514
Formation of the posterior neural plate,mrna,layer_2,5.376211,Membrane Trafficking,mrna,layer_3,5.376211
Formation of the posterior neural plate,mrna,layer_2,5.376211,Aspirin ADME,mrna,layer_3,5.376211
Formation of the posterior neural plate,mrna,layer_2,5.376211,Dissolution of Fibrin Clot,mrna,layer_3,5.376211
Formation of the posterior neural plate,mrna,layer_2,5.376211,Activation of HOX genes during differentiation,mrna,layer_3,5.376211
Formation of the posterior neural plate,mrna,layer_2,5.376211,O2/CO2 exchange in erythrocytes,mrna,layer_3,5.376211
Formation of the posterior neural plate,mrna,layer_2,5.376211,Potassium Channels,mrna,layer_3,5.376211
Formation of the posterior neural plate,mrna,layer_2,5.376211,LGI-ADAM interactions,mrna,layer_3,5.376211
Formation of the posterior neural plate,mrna,layer_2,5.376211,Cell surface interactions at the vascular wall,mrna,layer_3,5.376211
Formation of the posterior neural plate,mrna,layer_2,5.376211,Macroautophagy,mrna,layer_3,5.376211
Formation of the posterior neural plate,mrna,layer_2,5.376211,Degradation of the extracellular matrix,mrna,layer_3,5.376211
Synthesis of dolichyl-phosphate mannose,mrna,layer_1,5.0779867,Signaling by Activin,mrna,layer_2,5.0779867
Synthesis of dolichyl-phosphate mannose,mrna,layer_1,5.0779867,Transcriptional regulation of brown and beige adipocyte differentiation,mrna,layer_2,5.0779867
Synthesis of dolichyl-phosphate mannose,mrna,layer_1,5.0779867,Formation of the posterior neural plate,mrna,layer_2,5.0779867
Synthesis of dolichyl-phosphate mannose,mrna,layer_1,5.0779867,Signaling by FGFR,mrna,layer_2,5.0779867
Synthesis of dolichyl-phosphate mannose,mrna,layer_1,5.0779867,Physiological factors,mrna,layer_2,5.0779867
Synthesis of dolichyl-phosphate mannose,mrna,layer_1,5.0779867,Homology Directed Repair,mrna,layer_2,5.0779867
Synthesis of dolichyl-phosphate mannose,mrna,layer_1,5.0779867,Intrinsic Pathway for Apoptosis,mrna,layer_2,5.0779867
Synthesis of dolichyl-phosphate mannose,mrna,layer_1,5.0779867,ESR-mediated signaling,mrna,layer_2,5.0779867
Synthesis of dolichyl-phosphate mannose,mrna,layer_1,5.0779867,RNA Polymerase III Transcription Initiation,mrna,layer_2,5.0779867
Synthesis of dolichyl-phosphate mannose,mrna,layer_1,5.0779867,DNA strand elongation,mrna,layer_2,5.0779867
Response of EIF2AK4 (GCN2) to amino acid deficiency,mrna,layer_1,4.404348,Intrinsic Pathway for Apoptosis,mrna,layer_2,4.404348
Response of EIF2AK4 (GCN2) to amino acid deficiency,mrna,layer_1,4.404348,ESR-mediated signaling,mrna,layer_2,4.404348
Response of EIF2AK4 (GCN2) to amino acid deficiency,mrna,layer_1,4.404348,Homology Directed Repair,mrna,layer_2,4.404348
Response of EIF2AK4 (GCN2) to amino acid deficiency,mrna,layer_1,4.404348,Physiological factors,mrna,layer_2,4.404348
Response of EIF2AK4 (GCN2) to amino acid deficiency,mrna,layer_1,4.404348,Signaling by FGFR,mrna,layer_2,4.404348
Response of EIF2AK4 (GCN2) to amino acid deficiency,mrna,layer_1,4.404348,Formation of the posterior neural plate,mrna,layer_2,4.404348
