id,name,layer,omics,importance
CNV_layer_1_610,R-HSA-373756,layer_1,CNV,6.277917
CNV_layer_2_349,R-HSA-186797,layer_2,CNV,2.1119068
CNV_layer_1_32,R-HSA-5676934,layer_1,CNV,1.6238905
CNV_layer_1_33,R-HSA-450520,layer_1,CNV,1.0622523
CNV_layer_1_19,R-HSA-9772755,layer_1,CNV,1.0443113
CNV_layer_3_118,R-HSA-5696398,layer_3,CNV,0.88054943
CNV_input_7057,RAPGEF2,input,CNV,0.8308964
CNV_input_5058,MTNR1A,input,CNV,0.81487536
CNV_input_3333,GUCY1A3,input,CNV,0.81426525
CNV_input_5410,NOCT,input,CNV,0.8124129
CNV_input_1780,CTSO,input,CNV,0.8101576
CNV_input_8560,TDO2,input,CNV,0.8101576
CNV_input_3335,GUCY1B3,input,CNV,0.80951047
CNV_input_2708,FGB,input,CNV,0.80914265
CNV_input_2742,FGG,input,CNV,0.8089133
CNV_input_2707,FGA,input,CNV,0.80887514
CNV_layer_2_19,R-HSA-450520,layer_2,CNV,0.7762631
CNV_layer_2_18,R-HSA-450513,layer_2,CNV,0.7293185
CNV_layer_1_11,R-HSA-162699,layer_1,CNV,0.65085256
CNV_layer_1_574,R-HSA-162906,layer_1,CNV,0.62277627
CNV_layer_1_26,R-HSA-9832991,layer_1,CNV,0.59517443
CNV_layer_1_405,R-HSA-69275,layer_1,CNV,0.5294259
CNV_layer_1_577,R-HSA-9679506,layer_1,CNV,0.5039303
CNV_layer_1_22,R-HSA-975634,layer_1,CNV,0.4936379
CNV_layer_2_331,R-HSA-2029480,layer_2,CNV,0.48245603
CNV_layer_3_7,R-HSA-8941237,layer_3,CNV,0.43503958
CNV_layer_2_351,R-HSA-194138,layer_2,CNV,0.4204194
CNV_layer_4_24,R-HSA-8963743,layer_4,CNV,0.32286844
CNV_layer_2_309,R-HSA-2187335,layer_2,CNV,0.2735673
CNV_layer_2_15,R-HSA-9748787,layer_2,CNV,0.26850277
CNV_layer_2_367,R-HSA-3858494,layer_2,CNV,0.25400996
CNV_layer_4_0,R-HSA-109582,layer_4,CNV,0.25369248
CNV_layer_2_145,R-HSA-112308,layer_2,CNV,0.2289974
CNV_layer_2_358,R-HSA-69481,layer_2,CNV,0.22524852
CNV_layer_3_121,R-HSA-73942,layer_3,CNV,0.18159088
CNV_layer_3_115,R-HSA-5660526,layer_3,CNV,0.17088261
CNV_layer_3_108,R-HSA-9033241,layer_3,CNV,0.167366
CNV_layer_4_20,R-HSA-73894,layer_4,CNV,0.15529051
CNV_layer_3_56,R-HSA-9748787,layer_3,CNV,0.11746551
CNV_layer_3_110,R-HSA-9609523,layer_3,CNV,0.11308778
CNV_layer_3_73,R-HSA-1632852,layer_3,CNV,0.107894935
CNV_layer_3_138,R-HSA-372790,layer_3,CNV,0.10699398
CNV_layer_3_112,R-HSA-69239,layer_3,CNV,0.09306366
CNV_layer_4_12,R-HSA-382551,layer_4,CNV,0.058737352
CNV_layer_4_23,R-HSA-8953897,layer_4,CNV,0.042634435
CNV_layer_4_28,R-HSA-9748784,layer_4,CNV,0.042179193
CNV_layer_4_15,R-HSA-400253,layer_4,CNV,0.019335482
CNV_layer_4_10,R-HSA-168256,layer_4,CNV,0.013515969
CNV_layer_4_27,R-HSA-9709957,layer_4,CNV,0.0011547352
CNV_layer_4_8,R-HSA-1640170,layer_4,CNV,0.0008678348
