Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
R-HSA-373756,CNV,layer_1,6.277917,R-HSA-194138,CNV,layer_2,6.277917
R-HSA-373756,CNV,layer_1,6.277917,R-HSA-2187335,CNV,layer_2,6.277917
R-HSA-373756,CNV,layer_1,6.277917,R-HSA-9748787,CNV,layer_2,6.277917
R-HSA-373756,CNV,layer_1,6.277917,R-HSA-3858494,CNV,layer_2,6.277917
R-HSA-373756,CNV,layer_1,6.277917,R-HSA-112308,CNV,layer_2,6.277917
R-HSA-373756,CNV,layer_1,6.277917,R-HSA-69481,CNV,layer_2,6.277917
R-HSA-373756,CNV,layer_1,6.277917,R-HSA-450513,CNV,layer_2,6.277917
R-HSA-373756,CNV,layer_1,6.277917,R-HSA-2029480,CNV,layer_2,6.277917
R-HSA-373756,CNV,layer_1,6.277917,R-HSA-450520,CNV,layer_2,6.277917
R-HSA-373756,CNV,layer_1,6.277917,R-HSA-186797,CNV,layer_2,6.277917
R-HSA-186797,CNV,layer_2,2.1119068,R-HSA-9609523,CNV,layer_3,2.1119068
R-HSA-186797,CNV,layer_2,2.1119068,R-HSA-1632852,CNV,layer_3,2.1119068
R-HSA-186797,CNV,layer_2,2.1119068,R-HSA-372790,CNV,layer_3,2.1119068
R-HSA-186797,CNV,layer_2,2.1119068,R-HSA-69239,CNV,layer_3,2.1119068
R-HSA-186797,CNV,layer_2,2.1119068,R-HSA-5696398,CNV,layer_3,2.1119068
R-HSA-186797,CNV,layer_2,2.1119068,R-HSA-8941237,CNV,layer_3,2.1119068
R-HSA-186797,CNV,layer_2,2.1119068,R-HSA-73942,CNV,layer_3,2.1119068
R-HSA-186797,CNV,layer_2,2.1119068,R-HSA-5660526,CNV,layer_3,2.1119068
R-HSA-186797,CNV,layer_2,2.1119068,R-HSA-9033241,CNV,layer_3,2.1119068
R-HSA-186797,CNV,layer_2,2.1119068,R-HSA-9748787,CNV,layer_3,2.1119068
R-HSA-5676934,CNV,layer_1,1.6238905,R-HSA-450520,CNV,layer_2,1.6238905
R-HSA-5676934,CNV,layer_1,1.6238905,R-HSA-186797,CNV,layer_2,1.6238905
R-HSA-5676934,CNV,layer_1,1.6238905,R-HSA-2029480,CNV,layer_2,1.6238905
R-HSA-5676934,CNV,layer_1,1.6238905,R-HSA-450513,CNV,layer_2,1.6238905
R-HSA-5676934,CNV,layer_1,1.6238905,R-HSA-9748787,CNV,layer_2,1.6238905
R-HSA-5676934,CNV,layer_1,1.6238905,R-HSA-3858494,CNV,layer_2,1.6238905
R-HSA-5676934,CNV,layer_1,1.6238905,R-HSA-2187335,CNV,layer_2,1.6238905
R-HSA-5676934,CNV,layer_1,1.6238905,R-HSA-194138,CNV,layer_2,1.6238905
R-HSA-5676934,CNV,layer_1,1.6238905,R-HSA-112308,CNV,layer_2,1.6238905
R-HSA-5676934,CNV,layer_1,1.6238905,R-HSA-69481,CNV,layer_2,1.6238905
R-HSA-450520,CNV,layer_1,1.0622523,R-HSA-112308,CNV,layer_2,1.0622523
R-HSA-450520,CNV,layer_1,1.0622523,R-HSA-69481,CNV,layer_2,1.0622523
R-HSA-450520,CNV,layer_1,1.0622523,R-HSA-2029480,CNV,layer_2,1.0622523
R-HSA-450520,CNV,layer_1,1.0622523,R-HSA-450513,CNV,layer_2,1.0622523
R-HSA-450520,CNV,layer_1,1.0622523,R-HSA-450520,CNV,layer_2,1.0622523
R-HSA-450520,CNV,layer_1,1.0622523,R-HSA-186797,CNV,layer_2,1.0622523
R-HSA-450520,CNV,layer_1,1.0622523,R-HSA-3858494,CNV,layer_2,1.0622523
R-HSA-450520,CNV,layer_1,1.0622523,R-HSA-9748787,CNV,layer_2,1.0622523
R-HSA-450520,CNV,layer_1,1.0622523,R-HSA-2187335,CNV,layer_2,1.0622523
R-HSA-450520,CNV,layer_1,1.0622523,R-HSA-194138,CNV,layer_2,1.0622523
R-HSA-9772755,CNV,layer_1,1.0443113,R-HSA-450520,CNV,layer_2,1.0443113
R-HSA-9772755,CNV,layer_1,1.0443113,R-HSA-186797,CNV,layer_2,1.0443113
R-HSA-9772755,CNV,layer_1,1.0443113,R-HSA-2187335,CNV,layer_2,1.0443113
R-HSA-9772755,CNV,layer_1,1.0443113,R-HSA-194138,CNV,layer_2,1.0443113
R-HSA-9772755,CNV,layer_1,1.0443113,R-HSA-2029480,CNV,layer_2,1.0443113
R-HSA-9772755,CNV,layer_1,1.0443113,R-HSA-450513,CNV,layer_2,1.0443113
R-HSA-9772755,CNV,layer_1,1.0443113,R-HSA-69481,CNV,layer_2,1.0443113
R-HSA-9772755,CNV,layer_1,1.0443113,R-HSA-112308,CNV,layer_2,1.0443113
R-HSA-9772755,CNV,layer_1,1.0443113,R-HSA-3858494,CNV,layer_2,1.0443113
R-HSA-9772755,CNV,layer_1,1.0443113,R-HSA-9748787,CNV,layer_2,1.0443113
R-HSA-5696398,CNV,layer_3,0.88054943,R-HSA-400253,CNV,layer_4,0.88054943
R-HSA-5696398,CNV,layer_3,0.88054943,R-HSA-168256,CNV,layer_4,0.88054943
R-HSA-5696398,CNV,layer_3,0.88054943,R-HSA-8953897,CNV,layer_4,0.88054943
R-HSA-5696398,CNV,layer_3,0.88054943,R-HSA-9748784,CNV,layer_4,0.88054943
R-HSA-5696398,CNV,layer_3,0.88054943,R-HSA-73894,CNV,layer_4,0.88054943
R-HSA-5696398,CNV,layer_3,0.88054943,R-HSA-382551,CNV,layer_4,0.88054943
R-HSA-5696398,CNV,layer_3,0.88054943,R-HSA-9709957,CNV,layer_4,0.88054943
R-HSA-5696398,CNV,layer_3,0.88054943,R-HSA-1640170,CNV,layer_4,0.88054943
R-HSA-5696398,CNV,layer_3,0.88054943,R-HSA-109582,CNV,layer_4,0.88054943
R-HSA-5696398,CNV,layer_3,0.88054943,R-HSA-8963743,CNV,layer_4,0.88054943
RAPGEF2,CNV,input,0.8308964,R-HSA-9679506,CNV,layer_1,0.8308964
RAPGEF2,CNV,input,0.8308964,R-HSA-975634,CNV,layer_1,0.8308964
RAPGEF2,CNV,input,0.8308964,R-HSA-373756,CNV,layer_1,0.8308964
RAPGEF2,CNV,input,0.8308964,R-HSA-5676934,CNV,layer_1,0.8308964
RAPGEF2,CNV,input,0.8308964,R-HSA-450520,CNV,layer_1,0.8308964
RAPGEF2,CNV,input,0.8308964,R-HSA-9772755,CNV,layer_1,0.8308964
RAPGEF2,CNV,input,0.8308964,R-HSA-162699,CNV,layer_1,0.8308964
RAPGEF2,CNV,input,0.8308964,R-HSA-162906,CNV,layer_1,0.8308964
RAPGEF2,CNV,input,0.8308964,R-HSA-9832991,CNV,layer_1,0.8308964
RAPGEF2,CNV,input,0.8308964,R-HSA-69275,CNV,layer_1,0.8308964
MTNR1A,CNV,input,0.81487536,R-HSA-69275,CNV,layer_1,0.81487536
MTNR1A,CNV,input,0.81487536,R-HSA-975634,CNV,layer_1,0.81487536
MTNR1A,CNV,input,0.81487536,R-HSA-9679506,CNV,layer_1,0.81487536
MTNR1A,CNV,input,0.81487536,R-HSA-373756,CNV,layer_1,0.81487536
MTNR1A,CNV,input,0.81487536,R-HSA-162906,CNV,layer_1,0.81487536
MTNR1A,CNV,input,0.81487536,R-HSA-9772755,CNV,layer_1,0.81487536
MTNR1A,CNV,input,0.81487536,R-HSA-5676934,CNV,layer_1,0.81487536
MTNR1A,CNV,input,0.81487536,R-HSA-450520,CNV,layer_1,0.81487536
MTNR1A,CNV,input,0.81487536,R-HSA-162699,CNV,layer_1,0.81487536
MTNR1A,CNV,input,0.81487536,R-HSA-9832991,CNV,layer_1,0.81487536
GUCY1A3,CNV,input,0.81426525,R-HSA-450520,CNV,layer_1,0.81426525
GUCY1A3,CNV,input,0.81426525,R-HSA-5676934,CNV,layer_1,0.81426525
GUCY1A3,CNV,input,0.81426525,R-HSA-69275,CNV,layer_1,0.81426525
GUCY1A3,CNV,input,0.81426525,R-HSA-9772755,CNV,layer_1,0.81426525
GUCY1A3,CNV,input,0.81426525,R-HSA-373756,CNV,layer_1,0.81426525
GUCY1A3,CNV,input,0.81426525,R-HSA-162699,CNV,layer_1,0.81426525
GUCY1A3,CNV,input,0.81426525,R-HSA-162906,CNV,layer_1,0.81426525
GUCY1A3,CNV,input,0.81426525,R-HSA-9679506,CNV,layer_1,0.81426525
GUCY1A3,CNV,input,0.81426525,R-HSA-9832991,CNV,layer_1,0.81426525
GUCY1A3,CNV,input,0.81426525,R-HSA-975634,CNV,layer_1,0.81426525
NOCT,CNV,input,0.8124129,R-HSA-9832991,CNV,layer_1,0.8124129
NOCT,CNV,input,0.8124129,R-HSA-975634,CNV,layer_1,0.8124129
NOCT,CNV,input,0.8124129,R-HSA-9772755,CNV,layer_1,0.8124129
NOCT,CNV,input,0.8124129,R-HSA-450520,CNV,layer_1,0.8124129
NOCT,CNV,input,0.8124129,R-HSA-69275,CNV,layer_1,0.8124129
NOCT,CNV,input,0.8124129,R-HSA-373756,CNV,layer_1,0.8124129
NOCT,CNV,input,0.8124129,R-HSA-5676934,CNV,layer_1,0.8124129
NOCT,CNV,input,0.8124129,R-HSA-9679506,CNV,layer_1,0.8124129
NOCT,CNV,input,0.8124129,R-HSA-162699,CNV,layer_1,0.8124129
NOCT,CNV,input,0.8124129,R-HSA-162906,CNV,layer_1,0.8124129
TDO2,CNV,input,0.8101576,R-HSA-450520,CNV,layer_1,0.8101576
TDO2,CNV,input,0.8101576,R-HSA-9772755,CNV,layer_1,0.8101576
TDO2,CNV,input,0.8101576,R-HSA-162699,CNV,layer_1,0.8101576
CTSO,CNV,input,0.8101576,R-HSA-975634,CNV,layer_1,0.8101576
CTSO,CNV,input,0.8101576,R-HSA-69275,CNV,layer_1,0.8101576
CTSO,CNV,input,0.8101576,R-HSA-9679506,CNV,layer_1,0.8101576
TDO2,CNV,input,0.8101576,R-HSA-69275,CNV,layer_1,0.8101576
TDO2,CNV,input,0.8101576,R-HSA-9832991,CNV,layer_1,0.8101576
TDO2,CNV,input,0.8101576,R-HSA-162906,CNV,layer_1,0.8101576
CTSO,CNV,input,0.8101576,R-HSA-9832991,CNV,layer_1,0.8101576
CTSO,CNV,input,0.8101576,R-HSA-162906,CNV,layer_1,0.8101576
CTSO,CNV,input,0.8101576,R-HSA-162699,CNV,layer_1,0.8101576
TDO2,CNV,input,0.8101576,R-HSA-975634,CNV,layer_1,0.8101576
TDO2,CNV,input,0.8101576,R-HSA-9679506,CNV,layer_1,0.8101576
CTSO,CNV,input,0.8101576,R-HSA-9772755,CNV,layer_1,0.8101576
CTSO,CNV,input,0.8101576,R-HSA-450520,CNV,layer_1,0.8101576
CTSO,CNV,input,0.8101576,R-HSA-373756,CNV,layer_1,0.8101576
CTSO,CNV,input,0.8101576,R-HSA-5676934,CNV,layer_1,0.8101576
TDO2,CNV,input,0.8101576,R-HSA-373756,CNV,layer_1,0.8101576
TDO2,CNV,input,0.8101576,R-HSA-5676934,CNV,layer_1,0.8101576
GUCY1B3,CNV,input,0.80951047,R-HSA-9832991,CNV,layer_1,0.80951047
GUCY1B3,CNV,input,0.80951047,R-HSA-373756,CNV,layer_1,0.80951047
GUCY1B3,CNV,input,0.80951047,R-HSA-450520,CNV,layer_1,0.80951047
GUCY1B3,CNV,input,0.80951047,R-HSA-5676934,CNV,layer_1,0.80951047
GUCY1B3,CNV,input,0.80951047,R-HSA-9772755,CNV,layer_1,0.80951047
GUCY1B3,CNV,input,0.80951047,R-HSA-69275,CNV,layer_1,0.80951047
GUCY1B3,CNV,input,0.80951047,R-HSA-9679506,CNV,layer_1,0.80951047
GUCY1B3,CNV,input,0.80951047,R-HSA-975634,CNV,layer_1,0.80951047
GUCY1B3,CNV,input,0.80951047,R-HSA-162699,CNV,layer_1,0.80951047
GUCY1B3,CNV,input,0.80951047,R-HSA-162906,CNV,layer_1,0.80951047
FGB,CNV,input,0.80914265,R-HSA-373756,CNV,layer_1,0.80914265
FGB,CNV,input,0.80914265,R-HSA-5676934,CNV,layer_1,0.80914265
FGB,CNV,input,0.80914265,R-HSA-450520,CNV,layer_1,0.80914265
FGB,CNV,input,0.80914265,R-HSA-9772755,CNV,layer_1,0.80914265
FGB,CNV,input,0.80914265,R-HSA-9832991,CNV,layer_1,0.80914265
FGB,CNV,input,0.80914265,R-HSA-69275,CNV,layer_1,0.80914265
FGB,CNV,input,0.80914265,R-HSA-9679506,CNV,layer_1,0.80914265
FGB,CNV,input,0.80914265,R-HSA-975634,CNV,layer_1,0.80914265
FGB,CNV,input,0.80914265,R-HSA-162699,CNV,layer_1,0.80914265
FGB,CNV,input,0.80914265,R-HSA-162906,CNV,layer_1,0.80914265
FGG,CNV,input,0.8089133,R-HSA-9679506,CNV,layer_1,0.8089133
FGG,CNV,input,0.8089133,R-HSA-975634,CNV,layer_1,0.8089133
FGG,CNV,input,0.8089133,R-HSA-162906,CNV,layer_1,0.8089133
FGG,CNV,input,0.8089133,R-HSA-162699,CNV,layer_1,0.8089133
FGG,CNV,input,0.8089133,R-HSA-69275,CNV,layer_1,0.8089133
FGG,CNV,input,0.8089133,R-HSA-9832991,CNV,layer_1,0.8089133
FGG,CNV,input,0.8089133,R-HSA-373756,CNV,layer_1,0.8089133
FGG,CNV,input,0.8089133,R-HSA-5676934,CNV,layer_1,0.8089133
FGG,CNV,input,0.8089133,R-HSA-9772755,CNV,layer_1,0.8089133
FGG,CNV,input,0.8089133,R-HSA-450520,CNV,layer_1,0.8089133
FGA,CNV,input,0.80887514,R-HSA-69275,CNV,layer_1,0.80887514
FGA,CNV,input,0.80887514,R-HSA-9832991,CNV,layer_1,0.80887514
FGA,CNV,input,0.80887514,R-HSA-450520,CNV,layer_1,0.80887514
FGA,CNV,input,0.80887514,R-HSA-9772755,CNV,layer_1,0.80887514
FGA,CNV,input,0.80887514,R-HSA-975634,CNV,layer_1,0.80887514
FGA,CNV,input,0.80887514,R-HSA-9679506,CNV,layer_1,0.80887514
FGA,CNV,input,0.80887514,R-HSA-373756,CNV,layer_1,0.80887514
FGA,CNV,input,0.80887514,R-HSA-5676934,CNV,layer_1,0.80887514
FGA,CNV,input,0.80887514,R-HSA-162906,CNV,layer_1,0.80887514
FGA,CNV,input,0.80887514,R-HSA-162699,CNV,layer_1,0.80887514
R-HSA-450520,CNV,layer_2,0.7762631,R-HSA-73942,CNV,layer_3,0.7762631
R-HSA-450520,CNV,layer_2,0.7762631,R-HSA-5660526,CNV,layer_3,0.7762631
R-HSA-450520,CNV,layer_2,0.7762631,R-HSA-9748787,CNV,layer_3,0.7762631
R-HSA-450520,CNV,layer_2,0.7762631,R-HSA-9033241,CNV,layer_3,0.7762631
R-HSA-450520,CNV,layer_2,0.7762631,R-HSA-9609523,CNV,layer_3,0.7762631
R-HSA-450520,CNV,layer_2,0.7762631,R-HSA-1632852,CNV,layer_3,0.7762631
R-HSA-450520,CNV,layer_2,0.7762631,R-HSA-69239,CNV,layer_3,0.7762631
R-HSA-450520,CNV,layer_2,0.7762631,R-HSA-372790,CNV,layer_3,0.7762631
R-HSA-450520,CNV,layer_2,0.7762631,R-HSA-5696398,CNV,layer_3,0.7762631
R-HSA-450520,CNV,layer_2,0.7762631,R-HSA-8941237,CNV,layer_3,0.7762631
R-HSA-450513,CNV,layer_2,0.7293185,R-HSA-69239,CNV,layer_3,0.7293185
