id,name,layer,omics,importance
SNV_input_4736,MUC16,input,SNV,0.85501844
SNV_input_8329,TTN,input,SNV,0.8526961
SNV_input_4769,MYD88,input,SNV,0.84696454
SNV_input_7771,SYNE1,input,SNV,0.8421981
SNV_input_6905,RYR2,input,SNV,0.8389722
SNV_input_8147,TP53,input,SNV,0.7582868
SNV_input_7577,SPTA1,input,SNV,0.72007734
SNV_input_6906,RYR3,input,SNV,0.710041
SNV_input_3995,KMT2D,input,SNV,0.69481874
SNV_input_1134,CDH10,input,SNV,0.6834633
SNV_layer_1_60,R-HSA-2197563,layer_1,SNV,0.4948604
SNV_layer_1_600,R-HSA-176974,layer_1,SNV,0.36548373
SNV_layer_1_313,R-HSA-9609523,layer_1,SNV,0.32762083
SNV_layer_1_32,R-HSA-5676934,layer_1,SNV,0.32001543
SNV_layer_2_39,R-HSA-75205,layer_2,SNV,0.28304157
SNV_layer_1_0,R-HSA-1538133,layer_1,SNV,0.281467
SNV_layer_1_11,R-HSA-162710,layer_1,SNV,0.2576412
SNV_layer_1_415,R-HSA-5576892,layer_1,SNV,0.22095585
SNV_layer_1_226,R-HSA-198323,layer_1,SNV,0.21796247
SNV_layer_1_185,R-HSA-140875,layer_1,SNV,0.21277142
SNV_layer_1_196,R-HSA-9837999,layer_1,SNV,0.21269482
SNV_layer_2_177,R-HSA-109606,layer_2,SNV,0.17851141
SNV_layer_3_19,R-HSA-9836573,layer_3,SNV,0.17110755
SNV_layer_2_239,R-HSA-9609523,layer_2,SNV,0.13082112
SNV_layer_2_170,R-HSA-422085,layer_2,SNV,0.12070301
SNV_layer_2_131,R-HSA-418360,layer_2,SNV,0.1206814
SNV_layer_2_236,R-HSA-6784531,layer_2,SNV,0.120343715
SNV_layer_2_0,R-HSA-381340,layer_2,SNV,0.118529364
SNV_layer_3_92,R-HSA-391160,layer_3,SNV,0.11617867
SNV_layer_2_175,R-HSA-3000484,layer_2,SNV,0.11505743
SNV_layer_2_36,R-HSA-5619102,layer_2,SNV,0.114243306
SNV_layer_3_0,R-HSA-1474228,layer_3,SNV,0.11251826
SNV_layer_2_240,R-HSA-203927,layer_2,SNV,0.11043464
SNV_layer_3_5,R-HSA-3000157,layer_3,SNV,0.10133158
SNV_layer_3_72,R-HSA-74158,layer_3,SNV,0.099703416
SNV_layer_3_68,R-HSA-211000,layer_3,SNV,0.08056171
SNV_layer_3_4,R-HSA-216083,layer_3,SNV,0.080182016
SNV_layer_3_61,R-HSA-73886,layer_3,SNV,0.073869675
SNV_layer_3_65,R-HSA-6794362,layer_3,SNV,0.071973704
SNV_layer_3_41,R-HSA-2564830,layer_3,SNV,0.07195138
SNV_layer_4_13,R-HSA-392499,layer_4,SNV,0.07053175
SNV_layer_4_14,R-HSA-397014,layer_4,SNV,0.033469398
SNV_layer_4_26,R-HSA-9612973,layer_4,SNV,0.021202505
SNV_layer_4_1,R-HSA-112316,layer_4,SNV,0.017893478
SNV_layer_4_15,R-HSA-400253,layer_4,SNV,0.015410136
SNV_layer_4_24,R-HSA-8963743,layer_4,SNV,0.014225141
SNV_layer_4_2,R-HSA-1266738,layer_4,SNV,0.0010169536
SNV_layer_4_0,R-HSA-109582,layer_4,SNV,0.0009890515
SNV_layer_4_16,R-HSA-4839726,layer_4,SNV,0.0008137642
SNV_layer_4_23,R-HSA-8953897,layer_4,SNV,0.0006934337
