Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
MUC16,SNV,input,0.85501844,R-HSA-140875,SNV,layer_1,0.85501844
MUC16,SNV,input,0.85501844,R-HSA-9837999,SNV,layer_1,0.85501844
MUC16,SNV,input,0.85501844,R-HSA-9609523,SNV,layer_1,0.85501844
MUC16,SNV,input,0.85501844,R-HSA-176974,SNV,layer_1,0.85501844
MUC16,SNV,input,0.85501844,R-HSA-1538133,SNV,layer_1,0.85501844
MUC16,SNV,input,0.85501844,R-HSA-162710,SNV,layer_1,0.85501844
MUC16,SNV,input,0.85501844,R-HSA-5576892,SNV,layer_1,0.85501844
MUC16,SNV,input,0.85501844,R-HSA-198323,SNV,layer_1,0.85501844
MUC16,SNV,input,0.85501844,R-HSA-5676934,SNV,layer_1,0.85501844
MUC16,SNV,input,0.85501844,R-HSA-2197563,SNV,layer_1,0.85501844
TTN,SNV,input,0.8526961,R-HSA-198323,SNV,layer_1,0.8526961
TTN,SNV,input,0.8526961,R-HSA-9837999,SNV,layer_1,0.8526961
TTN,SNV,input,0.8526961,R-HSA-9609523,SNV,layer_1,0.8526961
TTN,SNV,input,0.8526961,R-HSA-176974,SNV,layer_1,0.8526961
TTN,SNV,input,0.8526961,R-HSA-2197563,SNV,layer_1,0.8526961
TTN,SNV,input,0.8526961,R-HSA-5676934,SNV,layer_1,0.8526961
TTN,SNV,input,0.8526961,R-HSA-162710,SNV,layer_1,0.8526961
TTN,SNV,input,0.8526961,R-HSA-1538133,SNV,layer_1,0.8526961
TTN,SNV,input,0.8526961,R-HSA-5576892,SNV,layer_1,0.8526961
TTN,SNV,input,0.8526961,R-HSA-140875,SNV,layer_1,0.8526961
MYD88,SNV,input,0.84696454,R-HSA-162710,SNV,layer_1,0.84696454
MYD88,SNV,input,0.84696454,R-HSA-1538133,SNV,layer_1,0.84696454
MYD88,SNV,input,0.84696454,R-HSA-2197563,SNV,layer_1,0.84696454
MYD88,SNV,input,0.84696454,R-HSA-5576892,SNV,layer_1,0.84696454
MYD88,SNV,input,0.84696454,R-HSA-5676934,SNV,layer_1,0.84696454
MYD88,SNV,input,0.84696454,R-HSA-9837999,SNV,layer_1,0.84696454
MYD88,SNV,input,0.84696454,R-HSA-198323,SNV,layer_1,0.84696454
MYD88,SNV,input,0.84696454,R-HSA-140875,SNV,layer_1,0.84696454
MYD88,SNV,input,0.84696454,R-HSA-9609523,SNV,layer_1,0.84696454
MYD88,SNV,input,0.84696454,R-HSA-176974,SNV,layer_1,0.84696454
SYNE1,SNV,input,0.8421981,R-HSA-5576892,SNV,layer_1,0.8421981
SYNE1,SNV,input,0.8421981,R-HSA-176974,SNV,layer_1,0.8421981
SYNE1,SNV,input,0.8421981,R-HSA-140875,SNV,layer_1,0.8421981
