id,name,layer,omics,importance
CNV_layer_1_610,R-HSA-373756,layer_1,CNV,6.277917
CNV_layer_2_349,R-HSA-186797,layer_2,CNV,2.1119068
mrna_layer_1_189,R-HSA-5662702,layer_1,mrna,1.760116
CNV_layer_1_32,R-HSA-5676934,layer_1,CNV,1.6238905
mrna_layer_1_86,R-HSA-202433,layer_1,mrna,1.2283707
mrna_layer_1_411,R-HSA-68962,layer_1,mrna,1.1583506
CNV_layer_1_33,R-HSA-450520,layer_1,CNV,1.0622523
CNV_layer_1_19,R-HSA-9772755,layer_1,CNV,1.0443113
mrna_input_5559,NKX2-5,input,mrna,0.91324323
mrna_input_6627,PITX2,input,mrna,0.89572895
mrna_layer_1_311,R-HSA-6783589,layer_1,mrna,0.89170057
mrna_input_186,ADH7,input,mrna,0.8830627
CNV_layer_3_118,R-HSA-5696398,layer_3,CNV,0.88054943
mrna_input_6374,PCDH19,input,mrna,0.8796126
mrna_input_1309,CDKN2A,input,mrna,0.87849814
SNV_input_4736,MUC16,input,SNV,0.85501844
SNV_input_8329,TTN,input,SNV,0.8526961
SNV_input_4769,MYD88,input,SNV,0.84696454
SNV_input_7771,SYNE1,input,SNV,0.8421981
SNV_input_6905,RYR2,input,SNV,0.8389722
CNV_input_7057,RAPGEF2,input,CNV,0.8308964
CNV_input_5058,MTNR1A,input,CNV,0.81487536
CNV_input_3333,GUCY1A3,input,CNV,0.81426525
CNV_input_5410,NOCT,input,CNV,0.8124129
CNV_input_1780,CTSO,input,CNV,0.8101576
CNV_layer_2_19,R-HSA-450520,layer_2,CNV,0.7762631
CNV_layer_2_18,R-HSA-450513,layer_2,CNV,0.7293185
mrna_layer_1_33,R-HSA-5676934,layer_1,mrna,0.68282443
CNV_layer_1_11,R-HSA-162699,layer_1,CNV,0.65085256
SNV_layer_1_60,R-HSA-2197563,layer_1,SNV,0.4948604
CNV_layer_2_331,R-HSA-2029480,layer_2,CNV,0.48245603
CNV_layer_3_7,R-HSA-8941237,layer_3,CNV,0.43503958
CNV_layer_2_351,R-HSA-194138,layer_2,CNV,0.4204194
mrna_layer_2_212,R-HSA-8939211,layer_2,mrna,0.39910072
SNV_layer_1_600,R-HSA-176974,layer_1,SNV,0.36548373
mrna_layer_2_85,R-HSA-9831926,layer_2,mrna,0.33558404
SNV_layer_1_313,R-HSA-9609523,layer_1,SNV,0.32762083
CNV_layer_4_24,R-HSA-8963743,layer_4,CNV,0.32286844
SNV_layer_1_32,R-HSA-5676934,layer_1,SNV,0.32001543
SNV_layer_2_39,R-HSA-75205,layer_2,SNV,0.28304157
SNV_layer_1_0,R-HSA-1538133,layer_1,SNV,0.281467
CNV_layer_4_0,R-HSA-109582,layer_4,CNV,0.25369248
mrna_layer_2_107,R-HSA-9821993,layer_2,mrna,0.2417699
mrna_layer_2_189,R-HSA-5617472,layer_2,mrna,0.20636247
mrna_layer_2_53,R-HSA-6806667,layer_2,mrna,0.18989255
CNV_layer_3_121,R-HSA-73942,layer_3,CNV,0.18159088
SNV_layer_2_177,R-HSA-109606,layer_2,SNV,0.17851141
SNV_layer_3_19,R-HSA-9836573,layer_3,SNV,0.17110755
CNV_layer_3_115,R-HSA-5660526,layer_3,CNV,0.17088261
mrna_layer_3_81,R-HSA-6805567,layer_3,mrna,0.16852027
CNV_layer_3_108,R-HSA-9033241,layer_3,CNV,0.167366
CNV_layer_4_20,R-HSA-73894,layer_4,CNV,0.15529051
mrna_layer_3_76,R-HSA-186712,layer_3,mrna,0.14043878
SNV_layer_2_239,R-HSA-9609523,layer_2,SNV,0.13082112
mrna_layer_3_115,R-HSA-5660526,layer_3,mrna,0.12528269
SNV_layer_2_170,R-HSA-422085,layer_2,SNV,0.12070301
SNV_layer_2_131,R-HSA-418360,layer_2,SNV,0.1206814
SNV_layer_3_92,R-HSA-391160,layer_3,SNV,0.11617867
SNV_layer_3_0,R-HSA-1474228,layer_3,SNV,0.11251826
SNV_layer_3_5,R-HSA-3000157,layer_3,SNV,0.10133158
mrna_layer_3_86,R-HSA-9733709,layer_3,mrna,0.10063936
SNV_layer_3_72,R-HSA-74158,layer_3,SNV,0.099703416
mrna_layer_3_34,R-HSA-1483249,layer_3,mrna,0.09165201
SNV_layer_4_13,R-HSA-392499,layer_4,SNV,0.07053175
CNV_layer_4_12,R-HSA-382551,layer_4,CNV,0.058737352
mrna_layer_4_18,R-HSA-5653656,layer_4,mrna,0.054556984
CNV_layer_4_23,R-HSA-8953897,layer_4,CNV,0.042634435
SNV_layer_4_14,R-HSA-397014,layer_4,SNV,0.033469398
mrna_layer_4_7,R-HSA-162582,layer_4,mrna,0.026539268
SNV_layer_4_26,R-HSA-9612973,layer_4,SNV,0.021202505
SNV_layer_4_1,R-HSA-112316,layer_4,SNV,0.017893478
SNV_layer_4_15,R-HSA-400253,layer_4,SNV,0.015410136
mrna_layer_4_4,R-HSA-1474165,layer_4,mrna,0.014396157
mrna_layer_4_11,R-HSA-1852241,layer_4,mrna,0.011518694
mrna_layer_4_15,R-HSA-400253,layer_4,mrna,0.001450444
