Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
R-HSA-373756,CNV,layer_1,6.277917,R-HSA-450520,CNV,layer_2,6.277917
R-HSA-373756,CNV,layer_1,6.277917,R-HSA-186797,CNV,layer_2,6.277917
R-HSA-373756,CNV,layer_1,6.277917,R-HSA-194138,CNV,layer_2,6.277917
R-HSA-373756,CNV,layer_1,6.277917,R-HSA-2029480,CNV,layer_2,6.277917
R-HSA-373756,CNV,layer_1,6.277917,R-HSA-450513,CNV,layer_2,6.277917
R-HSA-186797,CNV,layer_2,2.1119068,R-HSA-9033241,CNV,layer_3,2.1119068
R-HSA-186797,CNV,layer_2,2.1119068,R-HSA-8941237,CNV,layer_3,2.1119068
R-HSA-186797,CNV,layer_2,2.1119068,R-HSA-5660526,CNV,layer_3,2.1119068
R-HSA-186797,CNV,layer_2,2.1119068,R-HSA-73942,CNV,layer_3,2.1119068
R-HSA-186797,CNV,layer_2,2.1119068,R-HSA-5696398,CNV,layer_3,2.1119068
R-HSA-5662702,mrna,layer_1,1.760116,R-HSA-9821993,mrna,layer_2,1.760116
R-HSA-5662702,mrna,layer_1,1.760116,R-HSA-8939211,mrna,layer_2,1.760116
R-HSA-5662702,mrna,layer_1,1.760116,R-HSA-9831926,mrna,layer_2,1.760116
R-HSA-5662702,mrna,layer_1,1.760116,R-HSA-5617472,mrna,layer_2,1.760116
R-HSA-5662702,mrna,layer_1,1.760116,R-HSA-6806667,mrna,layer_2,1.760116
R-HSA-5676934,CNV,layer_1,1.6238905,R-HSA-2029480,CNV,layer_2,1.6238905
R-HSA-5676934,CNV,layer_1,1.6238905,R-HSA-450513,CNV,layer_2,1.6238905
R-HSA-5676934,CNV,layer_1,1.6238905,R-HSA-194138,CNV,layer_2,1.6238905
R-HSA-5676934,CNV,layer_1,1.6238905,R-HSA-450520,CNV,layer_2,1.6238905
R-HSA-5676934,CNV,layer_1,1.6238905,R-HSA-186797,CNV,layer_2,1.6238905
R-HSA-202433,mrna,layer_1,1.2283707,R-HSA-5617472,mrna,layer_2,1.2283707
R-HSA-202433,mrna,layer_1,1.2283707,R-HSA-9831926,mrna,layer_2,1.2283707
R-HSA-202433,mrna,layer_1,1.2283707,R-HSA-6806667,mrna,layer_2,1.2283707
R-HSA-202433,mrna,layer_1,1.2283707,R-HSA-9821993,mrna,layer_2,1.2283707
R-HSA-202433,mrna,layer_1,1.2283707,R-HSA-8939211,mrna,layer_2,1.2283707
R-HSA-68962,mrna,layer_1,1.1583506,R-HSA-6806667,mrna,layer_2,1.1583506
R-HSA-68962,mrna,layer_1,1.1583506,R-HSA-8939211,mrna,layer_2,1.1583506
R-HSA-68962,mrna,layer_1,1.1583506,R-HSA-5617472,mrna,layer_2,1.1583506
R-HSA-68962,mrna,layer_1,1.1583506,R-HSA-9821993,mrna,layer_2,1.1583506
R-HSA-68962,mrna,layer_1,1.1583506,R-HSA-9831926,mrna,layer_2,1.1583506
R-HSA-450520,CNV,layer_1,1.0622523,R-HSA-450513,CNV,layer_2,1.0622523
R-HSA-450520,CNV,layer_1,1.0622523,R-HSA-194138,CNV,layer_2,1.0622523
R-HSA-450520,CNV,layer_1,1.0622523,R-HSA-450520,CNV,layer_2,1.0622523
R-HSA-450520,CNV,layer_1,1.0622523,R-HSA-186797,CNV,layer_2,1.0622523
R-HSA-450520,CNV,layer_1,1.0622523,R-HSA-2029480,CNV,layer_2,1.0622523
R-HSA-9772755,CNV,layer_1,1.0443113,R-HSA-194138,CNV,layer_2,1.0443113
R-HSA-9772755,CNV,layer_1,1.0443113,R-HSA-450513,CNV,layer_2,1.0443113
R-HSA-9772755,CNV,layer_1,1.0443113,R-HSA-450520,CNV,layer_2,1.0443113
R-HSA-9772755,CNV,layer_1,1.0443113,R-HSA-186797,CNV,layer_2,1.0443113
