id,name,layer,omics,importance
mrna_layer_1_189,R-HSA-5662702,layer_1,mrna,1.760116
mrna_layer_1_86,R-HSA-202433,layer_1,mrna,1.2283707
mrna_layer_1_411,R-HSA-68962,layer_1,mrna,1.1583506
mrna_input_5559,NKX2-5,input,mrna,0.91324323
mrna_input_6627,PITX2,input,mrna,0.89572895
mrna_layer_1_311,R-HSA-6783589,layer_1,mrna,0.89170057
mrna_input_186,ADH7,input,mrna,0.8830627
mrna_input_6374,PCDH19,input,mrna,0.8796126
mrna_input_1309,CDKN2A,input,mrna,0.87849814
mrna_input_8480,SPRR3,input,mrna,0.8758299
mrna_input_1617,COL11A1,input,mrna,0.8753941
mrna_input_8828,TBC1D24,input,mrna,0.87502974
mrna_input_6432,PDGFB,input,mrna,0.87370616
mrna_input_4686,LRP1,input,mrna,0.8733945
mrna_layer_1_33,R-HSA-5676934,layer_1,mrna,0.68282443
mrna_layer_1_261,R-HSA-2022377,layer_1,mrna,0.67512184
mrna_layer_1_150,R-HSA-174577,layer_1,mrna,0.6513532
mrna_layer_1_4,R-HSA-9034015,layer_1,mrna,0.57390696
mrna_layer_1_5,R-HSA-9036866,layer_1,mrna,0.5057547
mrna_layer_1_198,R-HSA-381426,layer_1,mrna,0.50205946
mrna_layer_2_212,R-HSA-8939211,layer_2,mrna,0.39910072
mrna_layer_2_85,R-HSA-9831926,layer_2,mrna,0.33558404
mrna_layer_2_107,R-HSA-9821993,layer_2,mrna,0.2417699
mrna_layer_2_189,R-HSA-5617472,layer_2,mrna,0.20636247
mrna_layer_2_53,R-HSA-6806667,layer_2,mrna,0.18989255
mrna_layer_2_111,R-HSA-156842,layer_2,mrna,0.18321754
mrna_layer_3_81,R-HSA-6805567,layer_3,mrna,0.16852027
mrna_layer_2_4,R-HSA-9793380,layer_2,mrna,0.1616663
mrna_layer_2_25,R-HSA-9033500,layer_2,mrna,0.14100331
mrna_layer_3_76,R-HSA-186712,layer_3,mrna,0.14043878
mrna_layer_3_115,R-HSA-5660526,layer_3,mrna,0.12528269
mrna_layer_2_196,R-HSA-428157,layer_2,mrna,0.12132329
mrna_layer_2_0,R-HSA-381340,layer_2,mrna,0.1159388
mrna_layer_3_86,R-HSA-9733709,layer_3,mrna,0.10063936
mrna_layer_3_34,R-HSA-1483249,layer_3,mrna,0.09165201
mrna_layer_3_107,R-HSA-1268020,layer_3,mrna,0.089523785
mrna_layer_3_12,R-HSA-429914,layer_3,mrna,0.08480332
mrna_layer_3_45,R-HSA-1480926,layer_3,mrna,0.08102775
mrna_layer_3_119,R-HSA-73884,layer_3,mrna,0.07872864
mrna_layer_3_149,R-HSA-2187338,layer_3,mrna,0.07816611
mrna_layer_4_18,R-HSA-5653656,layer_4,mrna,0.054556984
mrna_layer_4_7,R-HSA-162582,layer_4,mrna,0.026539268
mrna_layer_4_4,R-HSA-1474165,layer_4,mrna,0.014396157
mrna_layer_4_11,R-HSA-1852241,layer_4,mrna,0.011518694
mrna_layer_4_15,R-HSA-400253,layer_4,mrna,0.001450444
mrna_layer_4_23,R-HSA-8953897,layer_4,mrna,0.0007615361
mrna_layer_4_8,R-HSA-1640170,layer_4,mrna,0.00073314377
mrna_layer_4_10,R-HSA-168256,layer_4,mrna,0.00068385294
mrna_layer_4_26,R-HSA-9612973,layer_4,mrna,0.0006826855
mrna_layer_4_6,R-HSA-1500931,layer_4,mrna,0.00065591396
