Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
R-HSA-5662702,mrna,layer_1,1.760116,R-HSA-6806667,mrna,layer_2,1.760116
R-HSA-5662702,mrna,layer_1,1.760116,R-HSA-156842,mrna,layer_2,1.760116
R-HSA-5662702,mrna,layer_1,1.760116,R-HSA-5617472,mrna,layer_2,1.760116
R-HSA-5662702,mrna,layer_1,1.760116,R-HSA-9821993,mrna,layer_2,1.760116
R-HSA-5662702,mrna,layer_1,1.760116,R-HSA-428157,mrna,layer_2,1.760116
R-HSA-5662702,mrna,layer_1,1.760116,R-HSA-381340,mrna,layer_2,1.760116
R-HSA-5662702,mrna,layer_1,1.760116,R-HSA-9831926,mrna,layer_2,1.760116
R-HSA-5662702,mrna,layer_1,1.760116,R-HSA-8939211,mrna,layer_2,1.760116
R-HSA-5662702,mrna,layer_1,1.760116,R-HSA-9793380,mrna,layer_2,1.760116
R-HSA-5662702,mrna,layer_1,1.760116,R-HSA-9033500,mrna,layer_2,1.760116
R-HSA-202433,mrna,layer_1,1.2283707,R-HSA-156842,mrna,layer_2,1.2283707
R-HSA-202433,mrna,layer_1,1.2283707,R-HSA-6806667,mrna,layer_2,1.2283707
R-HSA-202433,mrna,layer_1,1.2283707,R-HSA-8939211,mrna,layer_2,1.2283707
R-HSA-202433,mrna,layer_1,1.2283707,R-HSA-9831926,mrna,layer_2,1.2283707
R-HSA-202433,mrna,layer_1,1.2283707,R-HSA-9033500,mrna,layer_2,1.2283707
R-HSA-202433,mrna,layer_1,1.2283707,R-HSA-9793380,mrna,layer_2,1.2283707
R-HSA-202433,mrna,layer_1,1.2283707,R-HSA-381340,mrna,layer_2,1.2283707
R-HSA-202433,mrna,layer_1,1.2283707,R-HSA-428157,mrna,layer_2,1.2283707
R-HSA-202433,mrna,layer_1,1.2283707,R-HSA-5617472,mrna,layer_2,1.2283707
R-HSA-202433,mrna,layer_1,1.2283707,R-HSA-9821993,mrna,layer_2,1.2283707
R-HSA-68962,mrna,layer_1,1.1583506,R-HSA-6806667,mrna,layer_2,1.1583506
R-HSA-68962,mrna,layer_1,1.1583506,R-HSA-156842,mrna,layer_2,1.1583506
R-HSA-68962,mrna,layer_1,1.1583506,R-HSA-9793380,mrna,layer_2,1.1583506
R-HSA-68962,mrna,layer_1,1.1583506,R-HSA-9033500,mrna,layer_2,1.1583506
R-HSA-68962,mrna,layer_1,1.1583506,R-HSA-5617472,mrna,layer_2,1.1583506
R-HSA-68962,mrna,layer_1,1.1583506,R-HSA-9821993,mrna,layer_2,1.1583506
R-HSA-68962,mrna,layer_1,1.1583506,R-HSA-9831926,mrna,layer_2,1.1583506
R-HSA-68962,mrna,layer_1,1.1583506,R-HSA-8939211,mrna,layer_2,1.1583506
R-HSA-68962,mrna,layer_1,1.1583506,R-HSA-428157,mrna,layer_2,1.1583506
R-HSA-68962,mrna,layer_1,1.1583506,R-HSA-381340,mrna,layer_2,1.1583506
NKX2-5,mrna,input,0.91324323,R-HSA-5662702,mrna,layer_1,0.91324323
NKX2-5,mrna,input,0.91324323,R-HSA-202433,mrna,layer_1,0.91324323
NKX2-5,mrna,input,0.91324323,R-HSA-5676934,mrna,layer_1,0.91324323
NKX2-5,mrna,input,0.91324323,R-HSA-2022377,mrna,layer_1,0.91324323
NKX2-5,mrna,input,0.91324323,R-HSA-68962,mrna,layer_1,0.91324323
NKX2-5,mrna,input,0.91324323,R-HSA-6783589,mrna,layer_1,0.91324323
NKX2-5,mrna,input,0.91324323,R-HSA-9036866,mrna,layer_1,0.91324323
NKX2-5,mrna,input,0.91324323,R-HSA-381426,mrna,layer_1,0.91324323
NKX2-5,mrna,input,0.91324323,R-HSA-174577,mrna,layer_1,0.91324323
NKX2-5,mrna,input,0.91324323,R-HSA-9034015,mrna,layer_1,0.91324323
PITX2,mrna,input,0.89572895,R-HSA-68962,mrna,layer_1,0.89572895
PITX2,mrna,input,0.89572895,R-HSA-6783589,mrna,layer_1,0.89572895
PITX2,mrna,input,0.89572895,R-HSA-5662702,mrna,layer_1,0.89572895
PITX2,mrna,input,0.89572895,R-HSA-202433,mrna,layer_1,0.89572895
PITX2,mrna,input,0.89572895,R-HSA-174577,mrna,layer_1,0.89572895
PITX2,mrna,input,0.89572895,R-HSA-9034015,mrna,layer_1,0.89572895
PITX2,mrna,input,0.89572895,R-HSA-5676934,mrna,layer_1,0.89572895
PITX2,mrna,input,0.89572895,R-HSA-2022377,mrna,layer_1,0.89572895
PITX2,mrna,input,0.89572895,R-HSA-9036866,mrna,layer_1,0.89572895
PITX2,mrna,input,0.89572895,R-HSA-381426,mrna,layer_1,0.89572895
R-HSA-6783589,mrna,layer_1,0.89170057,R-HSA-9821993,mrna,layer_2,0.89170057
R-HSA-6783589,mrna,layer_1,0.89170057,R-HSA-5617472,mrna,layer_2,0.89170057
R-HSA-6783589,mrna,layer_1,0.89170057,R-HSA-9033500,mrna,layer_2,0.89170057
R-HSA-6783589,mrna,layer_1,0.89170057,R-HSA-9793380,mrna,layer_2,0.89170057
R-HSA-6783589,mrna,layer_1,0.89170057,R-HSA-6806667,mrna,layer_2,0.89170057
R-HSA-6783589,mrna,layer_1,0.89170057,R-HSA-156842,mrna,layer_2,0.89170057
R-HSA-6783589,mrna,layer_1,0.89170057,R-HSA-381340,mrna,layer_2,0.89170057
R-HSA-6783589,mrna,layer_1,0.89170057,R-HSA-428157,mrna,layer_2,0.89170057
R-HSA-6783589,mrna,layer_1,0.89170057,R-HSA-8939211,mrna,layer_2,0.89170057
R-HSA-6783589,mrna,layer_1,0.89170057,R-HSA-9831926,mrna,layer_2,0.89170057
ADH7,mrna,input,0.8830627,R-HSA-6783589,mrna,layer_1,0.8830627
ADH7,mrna,input,0.8830627,R-HSA-68962,mrna,layer_1,0.8830627
ADH7,mrna,input,0.8830627,R-HSA-202433,mrna,layer_1,0.8830627
ADH7,mrna,input,0.8830627,R-HSA-5662702,mrna,layer_1,0.8830627
ADH7,mrna,input,0.8830627,R-HSA-9034015,mrna,layer_1,0.8830627
ADH7,mrna,input,0.8830627,R-HSA-174577,mrna,layer_1,0.8830627
ADH7,mrna,input,0.8830627,R-HSA-381426,mrna,layer_1,0.8830627
ADH7,mrna,input,0.8830627,R-HSA-9036866,mrna,layer_1,0.8830627
ADH7,mrna,input,0.8830627,R-HSA-5676934,mrna,layer_1,0.8830627
ADH7,mrna,input,0.8830627,R-HSA-2022377,mrna,layer_1,0.8830627
PCDH19,mrna,input,0.8796126,R-HSA-174577,mrna,layer_1,0.8796126
PCDH19,mrna,input,0.8796126,R-HSA-9034015,mrna,layer_1,0.8796126
PCDH19,mrna,input,0.8796126,R-HSA-68962,mrna,layer_1,0.8796126
PCDH19,mrna,input,0.8796126,R-HSA-6783589,mrna,layer_1,0.8796126
PCDH19,mrna,input,0.8796126,R-HSA-5676934,mrna,layer_1,0.8796126
PCDH19,mrna,input,0.8796126,R-HSA-2022377,mrna,layer_1,0.8796126
PCDH19,mrna,input,0.8796126,R-HSA-5662702,mrna,layer_1,0.8796126
PCDH19,mrna,input,0.8796126,R-HSA-202433,mrna,layer_1,0.8796126
PCDH19,mrna,input,0.8796126,R-HSA-9036866,mrna,layer_1,0.8796126
PCDH19,mrna,input,0.8796126,R-HSA-381426,mrna,layer_1,0.8796126
CDKN2A,mrna,input,0.87849814,R-HSA-5676934,mrna,layer_1,0.87849814
CDKN2A,mrna,input,0.87849814,R-HSA-2022377,mrna,layer_1,0.87849814
CDKN2A,mrna,input,0.87849814,R-HSA-174577,mrna,layer_1,0.87849814
CDKN2A,mrna,input,0.87849814,R-HSA-9034015,mrna,layer_1,0.87849814
CDKN2A,mrna,input,0.87849814,R-HSA-381426,mrna,layer_1,0.87849814
CDKN2A,mrna,input,0.87849814,R-HSA-9036866,mrna,layer_1,0.87849814
CDKN2A,mrna,input,0.87849814,R-HSA-68962,mrna,layer_1,0.87849814
CDKN2A,mrna,input,0.87849814,R-HSA-6783589,mrna,layer_1,0.87849814
CDKN2A,mrna,input,0.87849814,R-HSA-5662702,mrna,layer_1,0.87849814
CDKN2A,mrna,input,0.87849814,R-HSA-202433,mrna,layer_1,0.87849814
SPRR3,mrna,input,0.8758299,R-HSA-5676934,mrna,layer_1,0.8758299
SPRR3,mrna,input,0.8758299,R-HSA-2022377,mrna,layer_1,0.8758299
SPRR3,mrna,input,0.8758299,R-HSA-68962,mrna,layer_1,0.8758299
SPRR3,mrna,input,0.8758299,R-HSA-6783589,mrna,layer_1,0.8758299
SPRR3,mrna,input,0.8758299,R-HSA-381426,mrna,layer_1,0.8758299
SPRR3,mrna,input,0.8758299,R-HSA-9036866,mrna,layer_1,0.8758299
SPRR3,mrna,input,0.8758299,R-HSA-202433,mrna,layer_1,0.8758299
SPRR3,mrna,input,0.8758299,R-HSA-5662702,mrna,layer_1,0.8758299
SPRR3,mrna,input,0.8758299,R-HSA-9034015,mrna,layer_1,0.8758299
