Source_Molecule,Source_Omics,Source_Layer,Source_Importance,Target_Molecule,Target_Omics,Target_Layer,Connection_Strength
SDK interactions,CNV,layer_1,6.277917,Signaling by VEGF,CNV,layer_2,6.277917
SDK interactions,CNV,layer_1,6.277917,The retinoid cycle in cones (daylight vision),CNV,layer_2,6.277917
SDK interactions,CNV,layer_1,6.277917,Azathioprine ADME,CNV,layer_2,6.277917
SDK interactions,CNV,layer_1,6.277917,Beta-catenin independent WNT signaling,CNV,layer_2,6.277917
SDK interactions,CNV,layer_1,6.277917,Presynaptic depolarization and calcium channel opening,CNV,layer_2,6.277917
SDK interactions,CNV,layer_1,6.277917,G2/M Checkpoints,CNV,layer_2,6.277917
SDK interactions,CNV,layer_1,6.277917,"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA",CNV,layer_2,6.277917
SDK interactions,CNV,layer_1,6.277917,Fcgamma receptor (FCGR) dependent phagocytosis,CNV,layer_2,6.277917
SDK interactions,CNV,layer_1,6.277917,HuR (ELAVL1) binds and stabilizes mRNA,CNV,layer_2,6.277917
SDK interactions,CNV,layer_1,6.277917,Signaling by PDGF,CNV,layer_2,6.277917
Signaling by PDGF,CNV,layer_2,2.1119068,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,CNV,layer_3,2.1119068
Signaling by PDGF,CNV,layer_2,2.1119068,Macroautophagy,CNV,layer_3,2.1119068
Signaling by PDGF,CNV,layer_2,2.1119068,Signaling by GPCR,CNV,layer_3,2.1119068
Signaling by PDGF,CNV,layer_2,2.1119068,Synthesis of DNA,CNV,layer_3,2.1119068
Signaling by PDGF,CNV,layer_2,2.1119068,Nucleotide Excision Repair,CNV,layer_3,2.1119068
Signaling by PDGF,CNV,layer_2,2.1119068,Invadopodia formation,CNV,layer_3,2.1119068
Signaling by PDGF,CNV,layer_2,2.1119068,DNA Damage Reversal,CNV,layer_3,2.1119068
Signaling by PDGF,CNV,layer_2,2.1119068,Response to metal ions,CNV,layer_3,2.1119068
Signaling by PDGF,CNV,layer_2,2.1119068,Peroxisomal protein import,CNV,layer_3,2.1119068
Signaling by PDGF,CNV,layer_2,2.1119068,Azathioprine ADME,CNV,layer_3,2.1119068
Protein repair,CNV,layer_1,1.6238905,HuR (ELAVL1) binds and stabilizes mRNA,CNV,layer_2,1.6238905
Protein repair,CNV,layer_1,1.6238905,Signaling by PDGF,CNV,layer_2,1.6238905
Protein repair,CNV,layer_1,1.6238905,Fcgamma receptor (FCGR) dependent phagocytosis,CNV,layer_2,1.6238905
Protein repair,CNV,layer_1,1.6238905,"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA",CNV,layer_2,1.6238905
Protein repair,CNV,layer_1,1.6238905,Azathioprine ADME,CNV,layer_2,1.6238905
Protein repair,CNV,layer_1,1.6238905,Beta-catenin independent WNT signaling,CNV,layer_2,1.6238905
Protein repair,CNV,layer_1,1.6238905,The retinoid cycle in cones (daylight vision),CNV,layer_2,1.6238905
Protein repair,CNV,layer_1,1.6238905,Signaling by VEGF,CNV,layer_2,1.6238905
Protein repair,CNV,layer_1,1.6238905,Presynaptic depolarization and calcium channel opening,CNV,layer_2,1.6238905
Protein repair,CNV,layer_1,1.6238905,G2/M Checkpoints,CNV,layer_2,1.6238905
HuR (ELAVL1) binds and stabilizes mRNA,CNV,layer_1,1.0622523,Presynaptic depolarization and calcium channel opening,CNV,layer_2,1.0622523
HuR (ELAVL1) binds and stabilizes mRNA,CNV,layer_1,1.0622523,G2/M Checkpoints,CNV,layer_2,1.0622523
HuR (ELAVL1) binds and stabilizes mRNA,CNV,layer_1,1.0622523,Fcgamma receptor (FCGR) dependent phagocytosis,CNV,layer_2,1.0622523
HuR (ELAVL1) binds and stabilizes mRNA,CNV,layer_1,1.0622523,"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA",CNV,layer_2,1.0622523
HuR (ELAVL1) binds and stabilizes mRNA,CNV,layer_1,1.0622523,HuR (ELAVL1) binds and stabilizes mRNA,CNV,layer_2,1.0622523
